Country,Global Economic Bloc,Emerging Alliance,European Group,Trade & Regional Pacts,Region
Argentina,G20,,,,AMER
Australia,"G20, OECD",,,CPTPP,APAC
Austria,OECD,BRI,"EU27, EA20",,EMEA
Belgium,"G10, OECD",,"EU27, EA20",,EMEA
Brazil,G20,BRICS,,,AMER
Bulgaria,,,EU27,,EMEA
Canada,"G7, G10, G20, OECD",,,"CPTPP, USMCA",AMER
Chile,OECD,BRI,,CPTPP,AMER
China,G20,"BRICS, BRI",,,APAC
Colombia,OECD,,,,AMER
Costa Rica,OECD,BRI,,,AMER
Croatia,,BRI,"EU27, EA20",,EMEA
Cyprus,,BRI,"EU27, EA20",,EMEA
Czechia,OECD,BRI,EU27,,EMEA
Denmark,OECD,,EU27,,EMEA
Egypt,,BRI,,,EMEA
Estonia,OECD,BRI,"EU27, EA20",,EMEA
Euro Area,,,,,EMEA
Finland,OECD,,"EU27, EA20",,EMEA
France,"G7, G10, G20, OECD",,"EU27, EA20",,EMEA
Germany,"G7, G10, G20, OECD",,"EU27, EA20",,EMEA
Greece,OECD,BRI,"EU27, EA20",,EMEA
Hong Kong Sar,,,,,APAC
Hungary,OECD,BRI,EU27,,EMEA
Iceland,OECD,,,,EMEA
India,G20,BRICS,,,APAC
Ireland,OECD,,"EU27, EA20",,EMEA
Israel,OECD,,,,EMEA
Italy,"G7, G10, G20, OECD",BRI,"EU27, EA20",,EMEA
Japan,"G7, G10, G20, OECD",,,CPTPP,APAC
Latvia,OECD,BRI,"EU27, EA20",,EMEA
Lithuania,OECD,BRI,"EU27, EA20",,EMEA
Luxembourg,OECD,BRI,"EU27, EA20",,EMEA
Malta,,BRI,"EU27, EA20",,EMEA
Mexico,"G20, OECD",,,"CPTPP, USMCA",AMER
Netherlands,"G10, OECD",,"EU27, EA20",,EMEA
New Zealand,OECD,BRI,,CPTPP,APAC
Nigeria,,BRI,,OPEC,EMEA
Norway,OECD,,,,EMEA
Pakistan,,,,,APAC
Peru,,BRI,,CPTPP,AMER
Poland,OECD,BRI,EU27,,EMEA
Portugal,OECD,BRI,"EU27, EA20",,EMEA
Romania,,BRI,EU27,,EMEA
Russia Federation,G20,"BRICS, BRI, CIS",,,EMEA
Saudi Arabia,G20,BRI,,OPEC,EMEA
Slovakia,OECD,BRI,"EU27, EA20",,EMEA
Slovenia,OECD,BRI,"EU27, EA20",,EMEA
South Africa,G20,"BRICS, BRI",,,EMEA
South Korea,"G20, OECD",,,,APAC
Spain,OECD,,"EU27, EA20",,EMEA
Sri Lanka,,BRI,,,APAC
Sweden,"G10, OECD",,EU27,,EMEA
Switzerland,"G10, OECD",,,,EMEA
Taiwan,,,,,APAC
Turkey,"G20, OECD",BRI,,,EMEA
United Kingdom,"G7, G10, G20, OECD",,,CPTPP,EMEA
United States,"G7, G10, G20, OECD",,,USMCA,AMER
