Index,Regions,Sub-Regions,Country,Company Name,Refinitiv,FIT Industry,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
1,Americas,Latin America,Argentina,Adecoagro Sa,Food & Tobacco,Food & Beverage,,,B65BNQ6,,,AGRO,XNYS,New York Stock Exchange,USD
2,Americas,Latin America,Argentina,Arcos Dorados Holdings Inc.,Hotels & Entertainment Services,"Leisure, Hospitality & Travel",,,B529PQ0,,,ARCO,XNYS,New York Stock Exchange,USD
3,Americas,Latin America,Argentina,Banco Bbva Argentina Sa,Banking Services,Banking,,,BKT4TC7,,,BBAR,XNYS,New York Stock Exchange,USD
4,Americas,Latin America,Argentina,Bioceres Crop Solutions Corp.,Chemicals,Chemicals,,,BJT1RX8,,,BIOX,XNAS,Nasdaq Stock Market,USD
5,Americas,Latin America,Argentina,Banco Macro Sa,Banking Services,Banking,,,B0Y62M9,,,BMA,XNYS,New York Stock Exchange,USD
6,Americas,Latin America,Argentina,Corporacion America Airports Sa,Transport Infrastructure,Transportation Infrastructure,,,BD45SN0,,,CAAP,XNYS,New York Stock Exchange,USD
7,Americas,Latin America,Argentina,Central Puerto Sa,Electrical Utilities & IPPs,Utilities,,,BDVP1Y5,,,CEPU,XNYS,New York Stock Exchange,USD
8,Americas,Latin America,Argentina,Cresud Inc.,Food & Tobacco,Food & Beverage,,,2226893,,,CRESY,XNAS,Nasdaq Stock Market,USD
9,Americas,Latin America,Argentina,"Despegar.Com, Corp.",Hotels & Entertainment Services,"Leisure, Hospitality & Travel",,,BDFS4G3,,,DESP,XNYS,New York Stock Exchange,USD
10,Americas,Latin America,Argentina,Empresa Distribuidora Y Comercializadora Norte Sa,Electrical Utilities & IPPs,Utilities,,,B1W9D79,,,EDN,XNYS,New York Stock Exchange,USD
11,Americas,Latin America,Argentina,Grupo Financiero Galicia Sa,Banking Services,Banking,,,2613570,,,GGAL,XNAS,Nasdaq Stock Market,USD
12,Americas,Latin America,Argentina,Irsa Investments And Representations Inc.,Real Estate Operations,Real Estate,,,2473020,,,IRS,XNYS,New York Stock Exchange,USD
13,Americas,Latin America,Argentina,Lithium Americas Corp.,Metals & Mining,Mining,,,BF4X225,,,LAC,XNYS,New York Stock Exchange,USD
14,Americas,Latin America,Argentina,Loma Negra Compania Industrial Argentina Sa,Construction Materials,Construction Materials,,,BYP6YP3,,,LOMA,XNYS,New York Stock Exchange,USD
15,Americas,Latin America,Argentina,"Mercadolibre, Inc.",Software & IT Services,Software & Digital Services,,,B23X1H3,,,MELI,XNAS,Nasdaq Stock Market,USD
16,Americas,Latin America,Argentina,Pampa Energia Sa,Electrical Utilities & IPPs,Utilities,,,B41HK52,,,PAM,XNYS,New York Stock Exchange,USD
17,Americas,Latin America,Argentina,Ssr Mining Inc.,Metals & Mining,Mining,,,BF7MPL9,,,SSRM,XNAS,Nasdaq Stock Market,USD
18,Americas,Latin America,Argentina,Grupo Supervielle Sa,Banking Services,Banking,,,BYZJRN1,,,SUPV,XNYS,New York Stock Exchange,USD
19,Americas,Latin America,Argentina,Telecom Argentina Sa,Telecommunications Services,Telecommunications,,,2878829,,,TEO,XNYS,New York Stock Exchange,USD
20,Americas,Latin America,Argentina,Transportadora De Gas Del Sur Sa,Oil & Gas,Oil & Gas,,,2902944,,,TGS,XNYS,New York Stock Exchange,USD
21,Americas,Latin America,Argentina,"United Breweries Company, Inc",Oil & Gas Related Equipment and Services,Energy Equipment & Services,,,2196189,,,TGS,XNYS,New York Stock Exchange,USD
22,Americas,Latin America,Argentina,Ypf Sa,Oil & Gas,Oil & Gas,,,2985945,,,YPF,XNYS,New York Stock Exchange,USD
23,Americas,Latin America,Brazil,Allianca Saude E Participacoes Sa,Healthcare Providers & Services,Healthcare Providers & Services,,BRAALRACNOR6,BYX8VJ4,,,AALR3,BVMF,B3 - Brazil Stock Exchange,BRL
24,Americas,Latin America,Brazil,Banco Abc Brasil Sa,Banking Services,Banking,,BRABCBACNPR4,B23DMP8,,,ABCB4,BVMF,B3 - Brazil Stock Exchange,BRL
25,Americas,Latin America,Brazil,Ambev Sa,Beverages,Food & Beverage,,BRABEVACNOR1,BG7ZWY7,,,ABEV3,BVMF,B3 - Brazil Stock Exchange,BRL
26,Americas,Latin America,Brazil,Aes Brasil Energia Sa,Utilities,Utilities,,BRAESBACNOR7,BMYVVL0,,,AESB3,BVMF,B3 - Brazil Stock Exchange,BRL
27,Americas,Latin America,Brazil,Brasilagro - Brazilian Agricultural Real Estate Company,Food & Tobacco,Food & Beverage,,BRAGROACNOR7,B1428Z9,,,AGRO3,BVMF,B3 - Brazil Stock Exchange,BRL
28,Americas,Latin America,Brazil,Alpargatas Sa,Textiles & Apparel,Textiles & Apparel,,BRALPAACNPR7,B07C796,,,ALPA4,BVMF,B3 - Brazil Stock Exchange,BRL
29,Americas,Latin America,Brazil,Aliansce Sonae Shopping Centers Sa,"Machinery, Equipment & Components",Machinery,,BRALSOACNOR5,BJVHGR1,,,ALSO3,BVMF,B3 - Brazil Stock Exchange,BRL
30,Americas,Latin America,Brazil,Ambipar Participacoes E Empreendimentos Sa,Professional & Commercial Services,Professional Services,,BRAMBPACNOR6,BN2R805,,,AMBP3,BVMF,B3 - Brazil Stock Exchange,BRL
31,Americas,Latin America,Brazil,Armac Locacao Logistica E Servicos Sa,Professional & Commercial Services,Professional Services,,BRARMLACNOR1,BN94NV5,,,ARML3,BVMF,B3 - Brazil Stock Exchange,BRL
32,Americas,Latin America,Brazil,Arezzo Industria E Comercio Sa,Textiles & Apparel,Textiles & Apparel,,BRARZZACNOR3,B3NS1W0,,,ARZZ3,BVMF,B3 - Brazil Stock Exchange,BRL
