Index,Regions,Sub-Regions,Country,Company Name,Source Industry,FIT Industry,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
1,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,ASSECO POLAND SA,Software & IT Solutions / Digital Services,Software & Digital Services,S59789537,PLSOFTB00016,5978953,,,ACP,XWAR,Warsaw Stock Exchange,PLN
2,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,ALLEGRO SA,Diversified Retail,Retail,,LU2237380790,BMBQDF6,,,ALE,XWAR,Warsaw Stock Exchange,PLN
3,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,ALIOR BANK SA,Banking Services,Banking,,PLALIOR00045,B8W8F13,,,ALR,XWAR,Warsaw Stock Exchange,PLN
4,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,GRUPA AZOTY SA,Chemicals,Chemicals,,PLZATRM00012,B3B61Y8,,,ATT,XWAR,Warsaw Stock Exchange,PLN
5,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,BUDIMEX SA,Construction & Engineering,Construction & Engineering,S41493305,PLBUDMX00013,4149330,,,BDX,XWAR,Warsaw Stock Exchange,PLN
6,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,CCC SA,Specialty Retailers,Retail,,PLCCC0000016,B04QR13,,,CCC,XWAR,Warsaw Stock Exchange,PLN
7,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,CD PROJEKT SA,Software & IT Solutions / Digital Services,Software & Digital Services,S73022154,PLOPTTC00011,7302215,,,CDR,XWAR,Warsaw Stock Exchange,PLN
8,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,CIECH SA,Chemicals,Chemicals,,PLCIECH00018,B0663T1,,,CIE,XWAR,Warsaw Stock Exchange,PLN
9,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,CYFROWY POLSAT SA,Telecommunications Services,Telecommunications,,PLCFRPT00013,B2QRCM4,,,CPS,XWAR,Warsaw Stock Exchange,PLN
10,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,DINO POLSKA SA,Food & Drug Retailing,Food Retail,,PLDINPL00011,BD0YVN2,,,DNP,XWAR,Warsaw Stock Exchange,PLN
11,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,AMREST HOLDINGS,Hotels & Entertainment Services,"Leisure, Hospitality & Travel",,ES0105375002,BGT2VX8,,,EAT,XWAR,Warsaw Stock Exchange,PLN
12,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,ENEA SA,Electrical Utilities & IPPs,Utilities,,PLENEA000013,B3F97B2,,,ENA,XWAR,Warsaw Stock Exchange,PLN
13,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,EUROCASH SA,Food & Drug Retailing,Food Retail,,PLEURCH00011,B064B91,,,EUR,XWAR,Warsaw Stock Exchange,PLN
14,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,GRUPA PRACUJ SA,Professional & Commercial Services,Professional Services,,PLGRPRC00015,BMHYG44,,,GPP,XWAR,Warsaw Stock Exchange,PLN
15,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,GPW SA,Investment & Securities Firms,Investment Services,,PLGPW0000017,B55XKV9,,,GPW,XWAR,Warsaw Stock Exchange,PLN
16,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,JASTRZEBSKA SPOLKA WEGLOWA SA,Coal,Mining,,PLJSW0000015,B6R2S06,,,JSW,XWAR,Warsaw Stock Exchange,PLN
17,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,KGHM POLSKA MIEDZ SA,Metals & Mining,Mining,S52632510,PLKGHM000017,5263251,,,KGH,XWAR,Warsaw Stock Exchange,PLN
18,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,KRUK SA,Banking Services,Banking,,PLKRK0000010,B4PTLY0,,,KRU,XWAR,Warsaw Stock Exchange,PLN
19,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,LPP SA,Specialty Retailers,Retail,S71279798,PLLPP0000011,7127979,,,LPP,XWAR,Warsaw Stock Exchange,PLN
20,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,LIVECHAT SOFTWARE SA,Software & IT Solutions / Digital Services,Software & Digital Services,,PLLVTSF00010,BL0RRT5,,,LVC,XWAR,Warsaw Stock Exchange,PLN
21,"Europe, The Middle East and Africa",Central and Eastern Europe,Poland,BANK MILLENNIUM SA,Banking Services,Banking,S40773236,PLBIG0000016,4077323,,,MIL,XWAR,Warsaw Stock Exchange,PLN
