Index,Index Membership,Regions,Sub-Regions,Country,Company Name,Refinitiv,FIT Industry,Primary Business Tag,Business Tags,Business Overview,NACE Industry,ESI Survey Component,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
1,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Accor Sa,Hotels & Entertainment Services,"Leisure, Hospitality & Travel",hospitality,hospitality;travel_services;hotel_management,"Operates, manages and franchises hotels, with additional activities or exposure across digital hospitality and travel services.",Accommodation and food service activities,SERV,S58528423,FR0000120404,5852842,,,AC,XPAR,Euronext Paris,EUR
2,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Credit Agricole Sa,Banking Services,Banking,banking,banking;insurance;asset_management;private_banking,"Provides retail, commercial and investment banking services, with additional activities or exposure across insurance, asset management and private banking.",Financial and insurance activities,SERV,S72626104,FR0000045072,7262610,,,ACA,XPAR,Euronext Paris,EUR
3,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Lair Liquide Societe Anonyme Pour,Chemicals,Chemicals,industrial_gases,industrial_gases;engineering_services;medical_gases,"Produces industrial and medical gases, equipment and related engineering services.",Manufacturing,INDU,,FR0000120073,B1YXBJ7,,,AI,XPAR,Euronext Paris,EUR
4,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Airbus Group,Aerospace & Defense,Aerospace & Defense,aerospace_defense,aerospace_defense;commercial_aircraft;helicopters;space_technology,"Designs, manufactures and services commercial aircraft, helicopters, defence systems and space technologies.",Manufacturing,INDU,S40122509,NL0000235190,4012250,,,AIR,XPAR,Euronext Paris,EUR
5,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Danone Sa,Aerospace & Defense,Aerospace & Defense,aerospace_defense,aerospace_defense;commercial_aircraft;helicopters;space_technology,"Designs, manufactures and services commercial aircraft, helicopters, defence systems and space technologies.",Manufacturing,INDU,,FR0000120644,B1Y9TB3,,,BN,XPAR,Euronext Paris,EUR
6,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Bnp Paribas Sa,Food & Tobacco,Food & Beverage,food_beverage,food_beverage;nutrition;bottled_water,"Develops, manufactures and markets dairy, plant-based, nutrition and bottled-water products.",Financial and insurance activities,SERV,S73096810,FR0000131104,7309681,,,BNP,XPAR,Euronext Paris,EUR
7,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Bureau Veritas Sa,Banking Services,Banking,banking,banking;investment_banking;asset_management;wealth_management,"Provides retail, commercial and investment banking services, with additional activities or exposure across asset management and wealth management.","Professional, scientific and technical activities",SERV,,FR0006174348,B28DTJ6,,,BVI,XPAR,Euronext Paris,EUR
8,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Carrefour Sa,Professional & Commercial Services,Professional Services,testing_certification,testing_certification;inspection;consulting,"Provides testing, inspection, certification and regulatory-compliance services.",Accommodation and food service activities,SERV,S56415672,FR0000120172,5641567,,,CA,XPAR,Euronext Paris,EUR
9,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Capgemini,Food & Drug Retailing,Food Retail,food_retail,food_retail;ecommerce;financial_services,"Operates grocery and general-merchandise retail businesses, with additional activities or exposure across e-commerce and financial services.",Information and communication,SERV,S41634379,FR0000125338,4163437,,,CAP,XPAR,Euronext Paris,EUR
10,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Axa Sa,Software & IT Services,Software & Digital Services,it_consulting,it_consulting;enterprise_software;digital_transformation,"Provides consulting, digital transformation, engineering and managed technology services.",Financial and insurance activities,SERV,S70884291,FR0000120628,7088429,,,CS,XPAR,Euronext Paris,EUR
