refinitiv_industry,fit_industry
Aerospace & Defense,Aerospace & Defense
Automobiles & Auto Parts,Automotive
Banking Services,Banking
Beverages,Food & Beverage
Biotechnology & Life Sciences,Biotechnology
Biotechnology & Medical Research,Biotechnology
Capital Markets & Advisory,Capital Markets & Advisory
Chemicals,Chemicals
Collective Investments,Investment Services
Coal,Mining
Communications & Networking,Communications Equipment
"Computers, Phones & Household Electronics",Consumer Electronics
Construction & Engineering,Construction & Engineering
Consumer Electronics,Consumer Electronics
Construction Materials,Construction Materials
Consumer & Household Products,Household Products
Consumer Electronics,Consumer Electronics
Consumer Goods Conglomerates,Diversified Consumer Goods
Containers & Packaging,Packaging
Diversified Industrial Goods Wholesale,Industrial Distribution
Diversified Retail,Retail
Electrical Utilities & IPPs,Utilities
Electronic Components & Systems,Communications Equipment
Electronic Equipment & Parts,Communications Equipment
Energy Equipment & Services,Energy Equipment & Services
Financial Technology (Fintech) & Infrastructure,FinTech
Fintech Services / Digital Financial Platforms,FinTech
Food & Drug Retailing,Food Retail
Food & Tobacco,Food & Beverage
Freight & Logistics Services,Logistics
Healthcare Equipment & Supplies,Medical Devices
Healthcare Providers & Services,Healthcare Providers & Services
Holding Companies,Holding Companies
Homebuilding & Construction Supplies,Residential Construction
Hotels & Entertainment Services,"Leisure, Hospitality & Travel"
Household Goods,Household Products
Industrial Distributors,Industrial Distribution
Insurance,Insurance
Integrated Hardware & Software,Technology Platforms
Integrated Utilities,Utilities
Investment & Securities Firms,Investment Services
Investment Banking & Investment Services,Investment Services
Leisure Products,Leisure Products
"Machinery, Equipment & Components",Machinery
Media & Publishing,Media
Medical Devices & Supplies,Medical Devices
Metals & Mining,Mining
Miscellaneous Educational Service Providers,Education Services
Multiline Utilities,Utilities
Natural Gas Utilities,Utilities
Office Equipment,Office Equipment
Oil & Gas,Oil & Gas
Oil & Gas Related Equipment and Services,Energy Equipment & Services
Paper & Forest Products,Paper & Forest Products
Passenger Transportation Services,Transportation
Personal & Household Products & Services,Household Products
Pharmaceuticals,Pharmaceuticals
Pooled Investment Vehicles,Investment Services
Professional & Business Education,Education Services
Professional & Commercial Services,Professional Services
Real Estate Investment Trusts (REITs),Real Estate Investment Trusts (REITs)
Real Estate Operations,Real Estate
Renewable Energy,Renewable Energy
Residential & Commercial REIT,Real Estate Investment Trusts (REITs)
Residential Construction & Materials,Construction Materials
"School,  College & University",Education Services
Semiconductors & Chip Technologies,Semiconductors
Semiconductors & Semiconductor Equipment,Semiconductors
Software & IT Services,Software & Digital Services
Software & IT Solutions / Digital Services,Software & Digital Services
Specialty Retailers,Retail
Tech Platform Infrastructure,Technology Platforms
Telecommunications Services,Telecommunications
Textiles & Apparel,Textiles & Apparel
Transport Infrastructure,Transportation Infrastructure
Uranium,Uranium
Water Utilities,Water Utilities
