date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1955-01-01,134886,4666,74229,,,,41853
1955-04-01,134924,4688,74710,,,,41599
1955-07-01,137592,4862,75770,,,,41395
1955-10-01,136813,4953,75291,,,,40937
1956-01-01,138343,5086,75511,,,,40784
1956-04-01,138200,5155,75399,,,,40937
1956-07-01,138030,5235,75514,,,,41344
1956-10-01,138850,5368,75723,,,,41141
1957-01-01,141445,5380,76221,,,,41659
1957-04-01,141405,5461,76905,,,,40351
1957-07-01,140528,5578,77740,,,,40257
1957-10-01,140929,5685,78182,,,,39837
1958-01-01,144031,5800,78731,,,,39366
1958-04-01,140418,5724,78691,,,,39409
1958-07-01,143508,5824,79628,,,,39453
1958-10-01,143947,5872,81139,,,,39807
1959-01-01,144808,5885,81183,,,,39795
1959-04-01,147145,6079,82733,,,,40219
1959-07-01,150275,6103,83145,,,,40474
1959-10-01,154093,6321,85300,,,,40559
1960-01-01,157940,6425,86290,,,,40729
1960-04-01,156809,6484,86004,,,,40973
1960-07-01,159143,6578,86577,,,,41095
1960-10-01,160135,6714,86600,,,,41542
1961-01-01,162724,6881,88138,,,,41967
1961-04-01,163392,6881,88178,,,,42477
1961-07-01,162575,7119,88584,,,,42987
1961-10-01,162283,7037,88628,,,,42948
1962-01-01,162993,7132,89348,,,,43573
1962-04-01,164524,7307,90841,,,,43912
1962-07-01,165498,7381,90253,,,,43987
1962-10-01,164936,7415,91296,,,,44288
1963-01-01,165693,7365,91804,,,,45011
1963-04-01,172858,7750,94634,,,,44575
1963-07-01,173616,7869,95697,,,,44503
1963-10-01,177557,8115,95452,,,,45519
1964-01-01,178735,8142,96882,,,,45585
1964-04-01,182076,8433,97204,,,,45658
1964-07-01,182725,8618,97747,,,,46174
1964-10-01,185535,8854,98740,,,,46027
1965-01-01,185031,9019,98570,,,,44761
1965-04-01,185142,9062,98216,,,,48071
