date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2000-01-01,351882,168608,172944,65667,81041,46788,64783
2000-04-01,355304,170857,174411,64801,82492,46828,64639
2000-07-01,356301,175080,176367,60422,87117,46674,64373
2000-10-01,354898,174196,177440,52970,84614,45312,64292
2001-01-01,358245,179072,179005,55292,86599,44691,64797
2001-04-01,361385,180917,180066,55554,87932,43918,66129
2001-07-01,365519,184647,180526,58292,86626,43690,66511
2001-10-01,369880,187133,181898,59720,84258,44668,66783
2002-01-01,372763,191286,184204,62310,86354,46453,67103
2002-04-01,379182,194598,187101,65587,87324,48220,67833
2002-07-01,380118,197262,189666,67108,86890,49007,67963
2002-10-01,383312,200533,190589,70600,87734,52538,68199
2003-01-01,384195,202726,191715,71683,87704,52496,69627
2003-04-01,385697,204699,193173,71570,83971,53146,69876
2003-07-01,392275,209422,195769,74405,84867,54823,70974
2003-10-01,398941,214673,200296,77098,87575,57348,71701
2004-01-01,401918,218833,204222,77955,88263,60928,71799
2004-04-01,404879,222270,205404,78091,90198,62056,73584
2004-07-01,407620,225361,207829,78286,89045,62967,73467
2004-10-01,410742,229295,210683,80693,89906,65727,73817
2005-01-01,414115,233631,209979,80286,91909,66924,74228
2005-04-01,415961,238560,213766,84147,92182,68931,75342
2005-07-01,420475,244095,215051,85606,91366,68775,74994
2005-10-01,424019,249501,215597,88123,93939,70609,76601
2006-01-01,424302,252482,218058,87313,93375,72271,76661
2006-04-01,425319,255786,221464,88944,95210,75277,77920
2006-07-01,431834,263275,223975,87115,96164,73904,78287
2006-10-01,437260,270301,226908,88116,97184,77785,78873
2007-01-01,443222,277175,231761,93458,97661,81699,79413
2007-04-01,445997,281230,233696,96035,98423,83281,79029
2007-07-01,451368,285703,237749,97277,99245,84797,80127
2007-10-01,453019,291102,240547,97754,99244,88461,81002
2008-01-01,458046,298851,241808,100621,102731,92517,81983
2008-04-01,459602,306615,240834,101596,103863,96768,82231
2008-07-01,462856,316397,240096,101704,103836,96726,83611
2008-10-01,460883,316940,239618,101284,102550,89085,84818
2009-01-01,465520,318420,240725,98304,105219,81485,84834
2009-04-01,468394,313814,244539,97933,103287,81789,85556
2009-07-01,470051,314857,245667,94636,105133,85521,85320
2009-10-01,473826,321978,248968,98222,107277,92425,85375
2010-01-01,475933,329458,250171,95040,109961,95901,86291
2010-04-01,478897,341052,253795,97369,112062,99649,87414
2010-07-01,482264,346004,256335,98072,110416,98195,87011
2010-10-01,486297,352108,259200,99171,112091,103091,88114
2011-01-01,484878,358016,260732,103529,106390,103780,89547
2011-04-01,490737,366940,262484,106616,109235,107421,90476
2011-07-01,497577,373550,264235,114441,112603,113186,91339
2011-10-01,503105,374487,265385,111717,115137,113116,91886
2012-01-01,508341,375467,269320,120073,113284,116731,92235
2012-04-01,511995,380782,270480,122561,117276,116097,93195
2012-07-01,515128,381810,271290,123141,118503,115955,92074
2012-10-01,517404,383403,271887,119090,119669,117508,92052
2013-01-01,520081,387289,273552,120512,119317,112403,93223
2013-04-01,522053,391607,274291,125350,125126,116612,93413
2013-07-01,526342,395717,276681,121242,124855,114173,93991
2013-10-01,530446,401766,277930,119035,126771,112624,95062
2014-01-01,534591,405001,280126,120240,129593,109742,93926
2014-04-01,537254,404519,281366,121625,130715,112811,93901
2014-07-01,539398,404382,283963,117807,133742,114058,94915
2014-10-01,541381,406901,285727,117281,136599,112836,95467
2015-01-01,546642,409873,286815,117031,140629,114380,96973
2015-04-01,547282,408970,288596,114358,136240,115401,97832
2015-07-01,552609,413524,291247,112679,142393,115223,99023
2015-10-01,556036,413712,292694,111040,144257,114862,99881
2016-01-01,561151,416080,295148,110249,147530,112637,101379
2016-04-01,564835,420965,296579,107450,148120,114431,103396
2016-07-01,564776,426421,298415,105551,150288,116857,104950
2016-10-01,571355,440633,300483,106924,156118,118691,104664
2017-01-01,573166,448526,302060,107797,151872,123633,106319
2017-04-01,576581,448452,303777,106708,156044,123358,107537
2017-07-01,582037,454277,305889,112229,158762,126329,107446
2017-10-01,584341,456808,308865,111069,155699,127277,109257
2018-01-01,590417,465751,310945,113078,161618,132043,110724
2018-04-01,594782,472034,313027,112904,163592,132630,111040
2018-07-01,597022,479439,313507,111607,164684,130099,112116
2018-10-01,598495,484296,314327,109889,164638,130585,114044
2019-01-01,602916,491618,315458,108944,165671,129964,115322
2019-04-01,604738,499182,316421,107122,169757,130273,119009
2019-07-01,608280,505945,315906,108255,170113,129869,120252
2019-10-01,611781,504918,316939,108157,169383,129384,121958
2020-01-01,610556,506538,312742,107573,163365,122122,124797
2020-04-01,569344,470104,272882,101684,150534,105334,127460
2020-07-01,589183,490282,293594,102602,144324,111766,130136
2020-10-01,609035,512601,307199,107940,152019,117868,131281
2021-01-01,622470,533922,311621,114902,153432,119852,131604
2021-04-01,627440,553404,314834,117008,148035,122257,133919
2021-07-01,616735,551387,299953,117893,148114,118024,138155
2021-10-01,638926,569584,319407,118957,146916,120986,139419
2022-01-01,645231,594939,327146,119599,147402,132007,143129
2022-04-01,651357,623644,333524,119022,153378,135337,142487
2022-07-01,654444,631907,336902,119347,153762,141183,142100
2022-10-01,660010,640784,340383,118853,157560,138237,142978
2023-01-01,663318,652577,342701,120862,159757,142543,143358
2023-04-01,665945,650825,344286,123352,164741,145913,144673
2023-07-01,668453,658359,343537,123319,166345,149439,146244
2023-10-01,668942,667845,344052,124181,163112,145742,146686
2024-01-01,670670,675961,345874,123898,165576,153922,149168
2024-04-01,671960,678389,344952,124860,164829,154542,151417
2024-07-01,673927,680514,345261,124396,165051,154294,154019
2024-10-01,677564,691341,347085,125548,165821,154718,155317
2025-01-01,680085,700064,348751,126279,165500,154888,155346
2025-04-01,685076,704868,352059,126502,169244,158480,156773
2025-07-01,687757,717042,353842,130223,170995,160845,158014
