date,EWA
2015-01-01,21.92
2015-02-01,23.68
2015-03-01,22.86
2015-04-01,23.32
2015-05-01,22.54
2015-06-01,21.03
2015-07-01,20.92
2015-08-01,18.65
2015-09-01,17.92
2015-10-01,18.92
2015-11-01,19.09
2015-12-01,18.96
2016-01-01,17.64
2016-02-01,17.28
2016-03-01,19.32
2016-04-01,19.93
2016-05-01,19.45
2016-06-01,19.45
2016-07-01,20.89
2016-08-01,20.22
2016-09-01,20.9
2016-10-01,20.28
2016-11-01,20.44
2016-12-01,20.23
2017-01-01,21.24
2017-02-01,21.95
2017-03-01,22.61
2017-04-01,22.46
2017-05-01,21.49
2017-06-01,21.68
2017-07-01,22.7
2017-08-01,22.65
2017-09-01,22.44
2017-10-01,22.7
2017-11-01,22.77
2017-12-01,23.17
2018-01-01,23.77
2018-02-01,22.82
2018-03-01,22.02
2018-04-01,22.19
2018-05-01,22.57
2018-06-01,22.61
2018-07-01,22.92
2018-08-01,22.49
2018-09-01,22.12
2018-10-01,20.6
2018-11-01,20.8
2018-12-01,19.25
2019-01-01,20.59
2019-02-01,21.28
2019-03-01,21.52
2019-04-01,21.77
2019-05-01,21.8
2019-06-01,22.54
2019-07-01,22.41
2019-08-01,21.68
2019-09-01,22.25
2019-10-01,22.53
2019-11-01,22.83
2019-12-01,22.64
2020-01-01,22.26
2020-02-01,20.12
2020-03-01,15.54
2020-04-01,17.04
2020-05-01,18.06
2020-06-01,19.27
2020-07-01,19.91
2020-08-01,20.79
2020-09-01,19.72
2020-10-01,19.77
2020-11-01,22.72
2020-12-01,23.95
2021-01-01,23.75
2021-02-01,24.51
2021-03-01,24.79
2021-04-01,25.88
2021-05-01,26.74
2021-06-01,25.98
2021-07-01,25.77
2021-08-01,25.92
2021-09-01,24.82
2021-10-01,26.46
2021-11-01,24.46
2021-12-01,24.83
2022-01-01,22.84
2022-02-01,24.05
2022-03-01,26.43
2022-04-01,24.58
2022-05-01,24.68
2022-06-01,21.22
2022-07-01,22.74
2022-08-01,21.91
2022-09-01,19.62
2022-10-01,20.72
2022-11-01,23.69
2022-12-01,22.23
2023-01-01,24.86
2023-02-01,22.88
2023-03-01,22.94
2023-04-01,23.14
2023-05-01,21.87
2023-06-01,22.55
2023-07-01,23.36
2023-08-01,22.21
2023-09-01,21.51
2023-10-01,20.74
2023-11-01,22.45
2023-12-01,24.34
2024-01-01,23.62
2024-02-01,23.92
2024-03-01,24.66
2024-04-01,23.34
2024-05-01,24.65
2024-06-01,24.43
2024-07-01,25.02
2024-08-01,25.87
2024-09-01,27.11
2024-10-01,25.35
2024-11-01,26.43
2024-12-01,23.86
2025-01-01,24.61
2025-02-01,23.99
2025-03-01,23.44
2025-04-01,24.67
2025-05-01,25.81
2025-06-01,26.32
2025-07-01,26.02
2025-08-01,27.08
2025-09-01,27
2025-10-01,26.77
2025-11-01,25.85
2025-12-01,26.19
2026-01-01,27.75
2026-02-01,30.09
2026-03-01,27.76
2026-04-01,29.49
2026-05-01,29.25
2026-06-01,28.16
