date,AU2YT,AU10YT
2015-01-01,1.997,2.474
2015-01-02,1.818,2.485
2015-01-03,1.71,2.331
2015-01-04,1.979,2.662
2015-01-05,1.889,2.738
2015-01-06,2.019,2.99
2015-01-07,1.882,2.765
2015-01-08,1.792,2.685
2015-01-09,1.828,2.6
2015-01-10,1.782,2.633
2015-01-11,2.013,2.855
2015-01-12,2.033,2.889
2016-01-01,1.922,2.67
2016-01-02,1.779,2.399
2016-01-03,1.895,2.489
2016-01-04,1.868,2.521
2016-01-05,1.691,2.303
2016-01-06,1.608,2.007
2016-01-07,1.518,1.871
2016-01-08,1.45,1.895
2016-01-09,1.563,1.972
2016-01-10,1.665,2.362
2016-01-11,1.856,2.74
2016-01-12,1.913,2.773
2017-01-01,1.811,2.731
2017-01-02,1.817,2.742
2017-01-03,1.778,2.719
2017-01-04,1.668,2.586
2017-01-05,1.554,2.395
2017-01-06,1.749,2.603
2017-01-07,1.81,2.695
2017-01-08,1.898,2.724
2017-01-09,1.967,2.842
2017-01-10,1.831,2.681
2017-01-11,1.756,2.51
2017-01-12,1.987,2.663
2018-01-01,2.062,2.8
2018-01-02,2.007,2.785
2018-01-03,2.009,2.583
2018-01-04,2.065,2.785
2018-01-05,1.985,2.658
2018-01-06,2.01,2.652
2018-01-07,2.031,2.672
2018-01-08,1.971,2.525
2018-01-09,2.039,2.671
2018-01-10,1.979,2.616
2018-01-11,2.004,2.59
2018-01-12,1.906,2.322
2019-01-01,1.854,2.233
2019-01-02,1.713,2.105
2019-01-03,1.465,1.776
2019-01-04,1.343,1.804
2019-01-05,1.122,1.476
2019-01-06,0.971,1.319
2019-01-07,0.859,1.203
2019-01-08,0.724,0.892
2019-01-09,0.738,0.97
2019-01-10,0.85,1.144
2019-01-11,0.682,1.024
2019-01-12,0.932,1.373
2020-01-01,0.659,0.958
2020-01-02,0.569,0.848
2020-01-03,0.251,0.827
2020-01-04,0.238,0.925
2020-01-05,0.281,0.892
2020-01-06,0.272,0.888
2020-01-07,0.277,0.836
2020-01-08,0.27,0.986
2020-01-09,0.184,0.855
2020-01-10,0.12,0.826
2020-01-11,0.099,0.899
2020-01-12,0.074,0.978
2021-01-01,0.114,1.092
2021-01-02,0.127,1.757
2021-01-03,0.089,1.83
2021-01-04,0.09,1.697
2021-01-05,0.069,1.64
2021-01-06,0.072,1.506
2021-01-07,0.027,1.189
2021-01-08,0.024,1.155
2021-01-09,0.045,1.481
2021-01-10,0.623,1.995
2021-01-11,0.349,1.75
2021-01-12,0.373,1.676
2022-01-01,0.928,1.912
2022-01-02,1.144,2.178
2022-01-03,1.792,2.77
2022-01-04,2.491,3.177
2022-01-05,2.728,3.354
2022-01-06,2.995,3.694
2022-01-07,2.558,3.082
2022-01-08,3.148,3.625
2022-01-09,3.53,3.975
2022-01-10,3.239,3.762
2022-01-11,3.128,3.566
2022-01-12,3.416,4.034
2023-01-01,3.144,3.529
2023-01-02,3.633,3.845
2023-01-03,3.086,3.329
2023-01-04,3.083,3.398
2023-01-05,3.581,3.63
2023-01-06,4.198,4.002
2023-01-07,4.027,4.032
2023-01-08,3.812,4.038
2023-01-09,4.115,4.513
2023-01-10,4.452,4.918
2023-01-11,4.083,4.362
2023-01-12,3.717,3.967
2024-01-01,3.753,4.074
2024-01-02,3.736,4.15
2024-01-03,3.691,4.001
2024-01-04,4.1,4.416
2024-01-05,4.112,4.399
2024-01-06,4.192,4.351
2024-01-07,3.869,4.116
2024-01-08,3.621,3.974
2024-01-09,3.58,3.966
2024-01-10,4.059,4.518
2024-01-11,3.98,4.372
2024-01-12,3.882,4.367
2025-01-01,3.825,4.431
2025-01-02,3.743,4.308
2025-01-03,3.683,4.38
2025-01-04,3.27,4.112
2025-01-05,3.322,4.294
2025-01-06,3.226,4.166
2025-01-07,3.359,4.274
2025-01-08,3.348,4.296
2025-01-09,3.512,4.324
2025-01-10,3.574,4.31
2025-01-11,3.821,4.533
2025-01-12,4.064,4.76
2026-01-01,4.2,4.805
2026-01-02,4.194,4.654
2026-01-03,4.66,4.975
2026-01-04,4.646,4.954
