date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1996-01-01,,189.323,,,12.306,14.773,
1996-04-01,,204.611,,,14.576,17.47,
1996-07-01,,221.513,,,15.56,20.928,
1996-10-01,,239.316,,,15.085,22.949,
1997-01-01,,219.117,,,13.162,19.333,
1997-04-01,,232.89,,,17.402,22.57,
1997-07-01,,246.178,,,18.529,25.171,
1997-10-01,,253.904,,,17.398,24.255,
1998-01-01,,235.701,,,16.099,21.714,
1998-04-01,,251.936,,,18.805,22.896,
1998-07-01,,258.043,,,18.786,25.366,
1998-10-01,,256.671,,,16.781,24.326,
1999-01-01,,250.668,,,22.153,25.847,
1999-04-01,,268.709,,,24.728,29.001,
1999-07-01,,274.126,,,27.646,32.971,
1999-10-01,,294.208,,,29.511,36.368,
2000-01-01,,276.927,,,26.402,31.107,
2000-04-01,,292.789,,,30.239,34.983,
2000-07-01,,308.896,,,33.768,40.155,
2000-10-01,,320.481,,,31.756,43.062,
2001-01-01,,312.47,,,33.576,42.902,
2001-04-01,,323.724,,,40.837,48.577,
2001-07-01,,332.524,,,45.701,51.523,
2001-10-01,,347.038,,,42.667,48.633,
2002-01-01,,342.297,,,34.812,38.735,
2002-04-01,,367.363,,,38.896,42.244,
2002-07-01,,379.795,,,65.894,56.182,
2002-10-01,,399.333,,,72.262,62.154,
2003-01-01,,397.242,,,63.031,58.016,
2003-04-01,,418.987,,,62.162,52.474,
2003-07-01,,439.35,,,66.754,54.391,
2003-10-01,,462.372,,,68.852,57.759,
2004-01-01,,444.783,,,66.313,54.67,
2004-04-01,,481.795,,,82.95,63.518,
2004-07-01,,505.252,,,90.341,69.346,
2004-10-01,,525.92,,,84.321,69.567,
2005-01-01,,499.71,,,77.093,61.656,
2005-04-01,,535.557,,,82.694,64.902,
2005-07-01,,552.859,,,88.087,66.125,
2005-10-01,,582.458,,,83.006,64.378,
2006-01-01,,554.27,,,76.051,62.79,
2006-04-01,,581.977,,,79.742,66.712,
2006-07-01,,617.848,,,98.608,76.558,
2006-10-01,,655.355,,,91.941,75.06,
2007-01-01,,631.423,,,85.074,75.983,
2007-04-01,,670.655,,,89.585,77.52,
2007-07-01,,691.846,,,95.807,85.912,
2007-10-01,,726.339,,,92.083,86.063,
2008-01-01,,712.055,,,80.459,86.426,
2008-04-01,,769.525,,,98.393,98.761,
2008-07-01,,812.603,,,115.435,114.297,
2008-10-01,,815.62,,,126.594,127.292,
2009-01-01,,756.127,,,87.415,93.767,
2009-04-01,,803.577,,,93.9,88.904,
2009-07-01,,852.843,,,92.906,95.863,
2009-10-01,,920.492,,,87.46,96.585,
2010-01-01,,886.397,,,86.801,101.274,
2010-04-01,,944.145,,,105.294,111.182,
2010-07-01,,997.935,,,114.225,126.847,
2010-10-01,,1057.37,,,115.9,123.369,
2011-01-01,,1016.531,,,103.744,116.374,
2011-04-01,,1086.712,,,124.993,130.951,
2011-07-01,,1112.334,,,137.086,141.579,
2011-10-01,,1160.805,,,141.072,151.662,
2012-01-01,,1129.474,,,119.043,137.048,
2012-04-01,,1183.126,,,146.496,160.923,
2012-07-01,,1230.449,,,153.303,162.814,
2012-10-01,,1271.711,,,153.034,176.532,
2013-01-01,,1241.614,,,125.321,164.28,
2013-04-01,,1322.58,,,156.293,181.369,
2013-07-01,,1354.134,,,169.81,201.819,
2013-10-01,,1413.291,,,174.627,201.29,
2014-01-01,,1385.981,,,144.492,190.907,
2014-04-01,,1422.322,,,162.059,189.517,
2014-07-01,,1462.125,,,171.655,204.433,
2014-10-01,,1508.525,,,158.169,205.327,
2015-01-01,,1456.659,,,153.346,201.721,
2015-04-01,,1479.97,,,189.848,204.928,
2015-07-01,,1508.228,,,212.638,219.745,
2015-10-01,,1550.93,,,217.635,216.219,
2016-01-01,,1500.299,,,195.363,195.819,
2016-04-01,,1559.05,,,208.11,192.726,
2016-07-01,,1577.17,,,192.894,184.595,
2016-10-01,,1632.808,,,185.21,183.38,
2017-01-01,,1585.673,,,192.344,184.018,
2017-04-01,,1630.73,,,216.288,185.048,
2017-07-01,,1648.635,,,210.484,200.3,
2017-10-01,,1720.441,,,205.319,207.771,
2018-01-01,,1682.083,,,212.288,211.695,
2018-04-01,,1734.099,,,248.769,226.871,
2018-07-01,,1767.856,,,288.213,290.843,
2018-10-01,,1820.103,,,275.786,268.065,
2019-01-01,,1757.554,,,230.569,244.462,
2019-04-01,,1826.761,,,263.403,259.391,
2019-07-01,,1880.61,,,278.699,300.767,
2019-10-01,,1924.206,,,270.89,286.558,
2020-01-01,,1868.095,,,259.853,298.667,
2020-04-01,,1752.724,,,322.289,274.297,
2020-07-01,,1929.323,,,334.871,283.335,
