date,EWZ
2015-01-01,34.31
2015-02-01,35.38
2015-03-01,31.37
2015-04-01,36.21
2015-05-01,32.27
2015-06-01,32.77
2015-07-01,28.69
2015-08-01,24.88
2015-09-01,21.95
2015-10-01,22.87
2015-11-01,22.52
2015-12-01,20.68
2016-01-01,19.83
2016-02-01,20.49
2016-03-01,26.3
2016-04-01,29.51
2016-05-01,25.44
2016-06-01,30.18
2016-07-01,33.24
2016-08-01,33.52
2016-09-01,33.73
2016-10-01,37.76
2016-11-01,33.49
2016-12-01,33.34
2017-01-01,36.87
2017-02-01,37.73
2017-03-01,37.46
2017-04-01,37.17
2017-05-01,35.17
2017-06-01,34.14
2017-07-01,37.8
2017-08-01,40
2017-09-01,41.69
2017-10-01,40.17
2017-11-01,38.7
2017-12-01,40.45
2018-01-01,46.59
2018-02-01,45.48
2018-03-01,44.88
2018-04-01,42.3
2018-05-01,35.62
2018-06-01,32.05
2018-07-01,36.1
2018-08-01,32.45
2018-09-01,33.73
2018-10-01,40.15
2018-11-01,39.8
2018-12-01,38.2
2019-01-01,45.37
2019-02-01,43
2019-03-01,40.99
2019-04-01,41.39
2019-05-01,41.65
2019-06-01,43.72
2019-07-01,44.5
2019-08-01,40.99
2019-09-01,42.13
2019-10-01,44.6
2019-11-01,42.47
2019-12-01,47.45
2020-01-01,43.76
2020-02-01,38.36
2020-03-01,23.56
2020-04-01,24.67
2020-05-01,27.19
2020-06-01,28.76
2020-07-01,32.54
2020-08-01,29.82
2020-09-01,27.66
2020-10-01,26.86
2020-11-01,33.25
2020-12-01,37.07
2021-01-01,34.19
2021-02-01,31.9
2021-03-01,33.45
2021-04-01,35.56
2021-05-01,38.91
2021-06-01,40.54
2021-07-01,37.4
2021-08-01,36.4
2021-09-01,32.13
2021-10-01,29.32
2021-11-01,28.99
2021-12-01,28.07
2022-01-01,31.62
2022-02-01,32.89
2022-03-01,37.81
2022-04-01,32.77
2022-05-01,35.25
2022-06-01,27.39
2022-07-01,29.02
2022-08-01,30.52
2022-09-01,29.63
2022-10-01,32.67
2022-11-01,31.48
2022-12-01,27.97
2023-01-01,30.34
2023-02-01,27.27
2023-03-01,27.38
2023-04-01,28.27
2023-05-01,28.82
2023-06-01,32.43
2023-07-01,33.87
2023-08-01,30.85
2023-09-01,30.67
2023-10-01,29.77
2023-11-01,34.01
2023-12-01,34.96
2024-01-01,32.92
2024-02-01,33.01
2024-03-01,32.42
2024-04-01,31.03
2024-05-01,29.6
2024-06-01,27.33
2024-07-01,27.77
2024-08-01,29.87
2024-09-01,29.49
2024-10-01,27.78
2024-11-01,25.52
2024-12-01,22.51
2025-01-01,25.33
2025-02-01,24.11
2025-03-01,25.85
2025-04-01,27.04
2025-05-01,27.21
2025-06-01,28.85
2025-07-01,26.55
2025-08-01,29.5
2025-09-01,31
2025-10-01,31.17
2025-11-01,33.61
2025-12-01,31.77
2026-01-01,37.04
2026-02-01,38.73
2026-03-01,38.39
2026-04-01,39.7
2026-05-01,35.91
