date,BR2YT,BR10YT
2015-01-01,12.56,11.97
2015-02-01,12.81,12.43
2015-03-01,13.42,13.055
2015-04-01,13.525,12.8
2015-05-01,13.35,12.255
2015-06-01,13.97,12.63
2015-07-01,13.465,12.98
2015-08-01,14.325,14.28
2015-09-01,15.94,15.47
2015-10-01,15.8,15.89
2015-11-01,16.17,15.815
2015-12-01,16.47,16.49
2016-01-01,14.99,16
2016-02-01,14.6,15.935
2016-03-01,13.67,14
2016-04-01,12.74,12.45
2016-05-01,12.88,13.05
2016-06-01,12.695,12.19
2016-07-01,12.63,11.83
2016-08-01,12.5,12.11
2016-09-01,11.895,11.63
2016-10-01,11.695,11.47
2016-11-01,11.685,11.9
2016-12-01,11.12,11.46
2017-01-01,10.46,10.935
2017-02-01,9.9,10.25
2017-03-01,9.56,10.11
2017-04-01,9.5,10.315
2017-05-01,9.655,10.74
2017-06-01,9.235,10.53
2017-07-01,8.42,10.015
2017-08-01,8.185,9.955
2017-09-01,7.69,9.745
2017-10-01,8.16,9.9
2017-11-01,8.14,10.39
2017-12-01,7.775,10.27
2018-01-01,7.98,9.72
2018-02-01,7.57,9.62
2018-03-01,7.285,9.455
2018-04-01,7.24,9.67
2018-05-01,7.94,11.22
2018-06-01,8.56,11.62
2018-07-01,8.38,11.09
2018-08-01,9.26,12.19
2018-09-01,9.02,11.635
2018-10-01,8.22,10.24
2018-11-01,8.03,9.93
2018-12-01,7.35,9.32
2019-01-01,7.1,8.87
2019-02-01,7.24,9.02
2019-03-01,7.32,8.985
2019-04-01,7.345,8.965
2019-05-01,6.655,8.47
2019-06-01,5.985,7.48
2019-07-01,5.72,7.25
2019-08-01,5.85,7.44
2019-09-01,5.28,7.045
2019-10-01,4.824,6.44
2019-11-01,5.21,6.885
2019-12-01,5.13,6.805
2020-01-01,4.87,6.7
2020-02-01,4.53,6.78
2020-03-01,4.425,7.65
2020-04-01,4.04,7.58
2020-05-01,3.51,6.96
2020-06-01,3.305,6.71
2020-07-01,3.28,6.3
2020-08-01,3.605,6.92
2020-09-01,3.485,7.34
2020-10-01,4.035,7.61
2020-11-01,3.87,7.62
2020-12-01,4.41,6.9
2021-01-01,4.99,7.58
2021-02-01,6.41,8.19
2021-03-01,7.265,8.89
2021-04-01,7.03,9.125
2021-05-01,7.38,8.77
2021-06-01,7.71,9.115
2021-07-01,8.365,9.12
2021-08-01,9.145,10.55
2021-09-01,9.915,11.165
2021-10-01,12.63,12.245
2021-11-01,12.135,11.41
2021-12-01,11.715,10.31
2022-01-01,12,11.08
2022-02-01,12.245,11.32
2022-03-01,12.39,11.25
2022-04-01,12.685,12.25
2022-05-01,12.7,12.55
2022-06-01,13.155,13.05
2022-07-01,13.1,13.04
2022-08-01,12.5,12.19
2022-09-01,12.145,12
2022-10-01,12.255,11.905
2022-11-01,13.535,12.81
2022-12-01,13.055,12.76
2023-01-01,13.175,13.07
2023-02-01,13.005,13.31
2023-03-01,12.06,12.822
2023-04-01,12.005,12.364
2023-05-01,11.3,11.553
2023-06-01,10.409,10.679
2023-07-01,10.305,10.851
2023-08-01,10.31,11.23
2023-09-01,10.73,11.87
2023-10-01,11.1,11.88
2023-11-01,10.125,10.97
2023-12-01,9.727,10.361
2024-01-01,9.685,10.66
2024-02-01,9.845,10.771
2024-03-01,9.953,10.977
2024-04-01,10.75,11.795
2024-05-01,10.96,11.84
2024-06-01,11.642,12.33
2024-07-01,11.775,11.985
2024-08-01,11.927,12.19
2024-09-01,12.43,12.41
2024-10-01,12.898,12.85
2024-11-01,14.06,13.472
2024-12-01,15.785,15.145
2025-01-01,15.055,14.795
2025-02-01,15.035,15.267
2025-03-01,15.084,15.105
2025-04-01,13.865,14.1
2025-05-01,14.015,13.993
2025-06-01,13.875,13.59
2025-07-01,13.955,14.113
2025-08-01,13.585,13.927
2025-09-01,13.64,13.725
2025-10-01,13.43,13.785
2025-11-01,13.108,13.41
2025-12-01,13.284,13.774
2026-01-01,12.72,13.435
2026-02-01,12.615,13.427
2026-03-01,13.82,14.055
2026-04-01,13.74,13.89
2026-05-01,13.805,14.13
2026-06-01,13.98,14.33
