date,EWC
2015-01-01,26.44
2015-01-02,28.02
2015-01-03,27.18
2015-01-04,29.12
2015-01-05,27.78
2015-01-06,26.67
2015-01-07,25.55
2015-01-08,24.27
2015-01-09,23
2015-01-10,23.8
2015-01-11,23.27
2015-01-12,21.5
2016-01-01,20.91
2016-01-02,21.63
2016-01-03,23.71
2016-01-04,25.4
2016-01-05,24.48
2016-01-06,24.51
2016-01-07,25.24
2016-01-08,25.31
2016-01-09,25.69
2016-01-10,25.35
2016-01-11,26.01
2016-01-12,26.15
2017-01-01,27.18
2017-01-02,26.69
2017-01-03,26.88
2017-01-04,26.26
2017-01-05,26.16
2017-01-06,26.76
2017-01-07,27.9
2017-01-08,27.87
2017-01-09,28.94
2017-01-10,28.79
2017-01-11,28.94
2017-01-12,29.64
2018-01-01,29.88
2018-01-02,27.79
2018-01-03,27.56
2018-01-04,28.13
2018-01-05,28.74
2018-01-06,28.51
2018-01-07,29.21
2018-01-08,28.8
2018-01-09,28.78
2018-01-10,26.51
2018-01-11,26.64
2018-01-12,23.96
2019-01-01,27.05
2019-01-02,27.85
2019-01-03,27.64
2019-01-04,28.55
2019-01-05,27.33
2019-01-06,28.62
2019-01-07,28.39
2019-01-08,28.19
2019-01-09,28.9
2019-01-10,28.78
2019-01-11,29.63
2019-01-12,29.89
2020-01-01,29.67
2020-01-02,27.59
2020-01-03,21.85
2020-01-04,24.28
2020-01-05,25.14
2020-01-06,25.88
2020-01-07,27.31
2020-01-08,28.71
2020-01-09,27.41
2020-01-10,26.47
2020-01-11,30.28
2020-01-12,30.84
2021-01-01,30.6
2021-01-02,32.17
2021-01-03,34.05
2021-01-04,35.61
2021-01-05,37.87
2021-01-06,37.27
2021-01-07,37.33
2021-01-08,37.34
2021-01-09,36.3
2021-01-10,39.18
2021-01-11,37.38
2021-01-12,38.43
2022-01-01,38.19
2022-01-02,38.22
2022-01-03,40.21
2022-01-04,37.05
2022-01-05,37.83
2022-01-06,33.68
2022-01-07,35.31
2022-01-08,33.69
2022-01-09,30.76
2022-01-10,33.03
2022-01-11,35.19
2022-01-12,32.73
2023-01-01,35.83
2023-01-02,34.05
2023-01-03,34.18
2023-01-04,35.2
2023-01-05,33.26
2023-01-06,34.99
2023-01-07,36.08
2023-01-08,34.69
2023-01-09,33.46
2023-01-10,31.74
2023-01-11,34.98
2023-01-12,36.68
2024-01-01,36.35
2024-01-02,36.77
2024-01-03,38.28
2024-01-04,36.92
2024-01-05,38.26
2024-01-06,37.09
2024-01-07,38.92
2024-01-08,40.49
2024-01-09,41.52
2024-01-10,40.63
2024-01-11,43.25
2024-01-12,40.3
2025-01-01,41.22
2025-01-02,41.23
2025-01-03,40.75
2025-01-04,42.45
2025-01-05,44.96
2025-01-06,46.2
2025-01-07,46.18
2025-01-08,48.79
2025-01-09,50.55
2025-01-10,50.74
2025-01-11,52.7
2025-01-12,53.93
2026-01-01,54.26
2026-01-02,57.98
2026-01-03,54.79
2026-01-04,58.6
2026-01-05,58.81
