date,CA2YT,CA10YT
2015-01-01,0.392,1.251
2015-01-02,0.472,1.3
2015-01-03,0.507,1.356
2015-01-04,0.678,1.58
2015-01-05,0.571,1.622
2015-01-06,0.483,1.686
2015-01-07,0.409,1.441
2015-01-08,0.441,1.492
2015-01-09,0.518,1.432
2015-01-10,0.576,1.541
2015-01-11,0.631,1.571
2015-01-12,0.476,1.393
2016-01-01,0.42,1.22
2016-01-02,0.521,1.19
2016-01-03,0.541,1.227
2016-01-04,0.692,1.514
2016-01-05,0.613,1.32
2016-01-06,0.517,1.06
2016-01-07,0.54,1.028
2016-01-08,0.579,1.024
2016-01-09,0.522,0.997
2016-01-10,0.553,1.196
2016-01-11,0.703,1.584
2016-01-12,0.746,1.714
2017-01-01,0.77,1.758
2017-01-02,0.758,1.634
2017-01-03,0.748,1.624
2017-01-04,0.725,1.55
2017-01-05,0.695,1.416
2017-01-06,1.1,1.762
2017-01-07,1.315,2.056
2017-01-08,1.275,1.849
2017-01-09,1.518,2.098
2017-01-10,1.393,1.952
2017-01-11,1.431,1.885
2017-01-12,1.685,2.042
2018-01-01,1.839,2.289
2018-01-02,1.787,2.233
2018-01-03,1.776,2.092
2018-01-04,1.894,2.307
2018-01-05,1.919,2.246
2018-01-06,1.912,2.167
2018-01-07,2.068,2.311
2018-01-08,2.07,2.228
2018-01-09,2.214,2.427
2018-01-10,2.338,2.493
2018-01-11,2.161,2.268
2018-01-12,1.862,1.965
2019-01-01,1.775,1.879
2019-01-02,1.78,1.943
2019-01-03,1.55,1.617
2019-01-04,1.564,1.712
2019-01-05,1.43,1.488
2019-01-06,1.474,1.466
2019-01-07,1.546,1.478
2019-01-08,1.353,1.164
2019-01-09,1.58,1.361
2019-01-10,1.516,1.412
2019-01-11,1.586,1.462
2019-01-12,1.699,1.704
2020-01-01,1.433,1.276
2020-01-02,1.153,1.128
2020-01-03,0.424,0.697
2020-01-04,0.329,0.548
2020-01-05,0.307,0.54
2020-01-06,0.286,0.527
2020-01-07,0.27,0.468
2020-01-08,0.276,0.624
2020-01-09,0.248,0.566
2020-01-10,0.278,0.667
2020-01-11,0.263,0.68
2020-01-12,0.203,0.675
2021-01-01,0.158,0.889
2021-01-02,0.304,1.357
2021-01-03,0.228,1.561
2021-01-04,0.303,1.546
2021-01-05,0.331,1.483
2021-01-06,0.453,1.388
2021-01-07,0.449,1.203
2021-01-08,0.436,1.218
2021-01-09,0.527,1.508
2021-01-10,1.099,1.723
2021-01-11,0.984,1.566
2021-01-12,0.95,1.43
2022-01-01,1.277,1.77
2022-01-02,1.436,1.815
2022-01-03,2.291,2.401
2022-01-04,2.622,2.872
2022-01-05,2.663,2.89
2022-01-06,3.093,3.225
2022-01-07,2.963,2.611
2022-01-08,3.653,3.124
2022-01-09,3.798,3.17
2022-01-10,3.896,3.25
2022-01-11,3.874,2.935
2022-01-12,4.052,3.291
2023-01-01,3.763,2.918
2023-01-02,4.211,3.338
2023-01-03,3.753,2.899
2023-01-04,3.671,2.84
2023-01-05,4.228,3.186
2023-01-06,4.585,3.271
2023-01-07,4.674,3.502
2023-01-08,4.646,3.565
2023-01-09,4.875,4.032
2023-01-10,4.644,4.07
2023-01-11,4.185,3.548
2023-01-12,3.889,3.107
2024-01-01,3.968,3.319
2024-01-02,4.185,3.493
2024-01-03,4.187,3.467
2024-01-04,4.346,3.818
2024-01-05,4.181,3.633
2024-01-06,3.998,3.507
2024-01-07,3.452,3.162
2024-01-08,3.33,3.16
2024-01-09,2.907,2.954
2024-01-10,3.07,3.22
2024-01-11,3.035,3.083
2024-01-12,2.934,3.225
2025-01-01,2.647,3.063
2025-01-02,2.57,2.898
2025-01-03,2.467,2.967
2025-01-04,2.483,3.098
2025-01-05,2.59,3.2
2025-01-06,2.594,3.274
2025-01-07,2.774,3.467
2025-01-08,2.64,3.375
2025-01-09,2.474,3.185
2025-01-10,2.399,3.121
2025-01-11,2.422,3.152
2025-01-12,2.59,3.435
2026-01-01,2.557,3.42
2026-01-02,2.393,3.128
2026-01-03,2.826,3.474
2026-01-04,2.961,3.543
2026-01-05,2.936,3.528
