date,EWL
2015-01-01,31.75
2015-01-02,33.32
2015-01-03,33.21
2015-01-04,34.54
2015-01-05,35.4
2015-01-06,32.75
2015-01-07,34.1
2015-01-08,31.82
2015-01-09,30.59
2015-01-10,31.77
2015-01-11,30.89
2015-01-12,31.04
2016-01-01,29.16
2016-01-02,28.33
2016-01-03,29.73
2016-01-04,30.61
2016-01-05,30.54
2016-01-06,29.65
2016-01-07,30.21
2016-01-08,30.18
2016-01-09,30.55
2016-01-10,29.01
2016-01-11,28.35
2016-01-12,29.46
2017-01-01,30.73
2017-01-02,31.04
2017-01-03,31.98
2017-01-04,33.24
2017-01-05,34.93
2017-01-06,34.31
2017-01-07,34.47
2017-01-08,34.31
2017-01-09,35.03
2017-01-10,34.53
2017-01-11,34.98
2017-01-12,35.58
2018-01-01,37.17
2018-01-02,34.92
2018-01-03,34.37
2018-01-04,34.04
2018-01-05,33.27
2018-01-06,32.58
2018-01-07,34.7
2018-01-08,34.77
2018-01-09,34.69
2018-01-10,33.1
2018-01-11,33.21
2018-01-12,31.52
2019-01-01,33.32
2019-01-02,34.57
2019-01-03,35.37
2019-01-04,36.2
2019-01-05,35.96
2019-01-06,37.56
2019-01-07,37.17
2019-01-08,37.47
2019-01-09,37.7
2019-01-10,38.58
2019-01-11,38.9
2019-01-12,40.64
2020-01-01,40.74
2020-01-02,37.88
2020-01-03,35.36
2020-01-04,36.88
2020-01-05,38.31
2020-01-06,38.96
2020-01-07,40.53
2020-01-08,41.73
2020-01-09,41.07
2020-01-10,38.93
2020-01-11,42.53
2020-01-12,44.68
2021-01-01,44.03
2021-01-02,43.23
2021-01-03,44.21
2021-01-04,46.29
2021-01-05,48.73
2021-01-06,48.63
2021-01-07,50.24
2021-01-08,50.84
2021-01-09,46.58
2021-01-10,49.83
2021-01-11,49.38
2021-01-12,52.73
2022-01-01,49.33
2022-01-02,47.94
2022-01-03,49.1
2022-01-04,46.4
2022-01-05,45.55
2022-01-06,41.53
2022-01-07,43.49
2022-01-08,40.61
2022-01-09,37.45
2022-01-10,39.11
2022-01-11,42.89
2022-01-12,41.93
2023-01-01,45.25
2023-01-02,43.37
2023-01-03,45.32
2023-01-04,48.09
2023-01-05,46.27
2023-01-06,46.21
2023-01-07,47.71
2023-01-08,46.13
2023-01-09,43.57
2023-01-10,41.92
2023-01-11,45.42
2023-01-12,48.27
2024-01-01,47.51
2024-01-02,46.82
2024-01-03,47.6
2024-01-04,45.36
2024-01-05,49.16
2024-01-06,48.21
2024-01-07,50.42
2024-01-08,52.85
2024-01-09,52.1
2024-01-10,49.35
2024-01-11,48.19
2024-01-12,45.96
2025-01-01,49.57
2025-01-02,51.73
2025-01-03,51.79
2025-01-04,53.86
2025-01-05,55.18
2025-01-06,54.81
2025-01-07,52.72
2025-01-08,55.33
2025-01-09,55.24
2025-01-10,55.36
2025-01-11,57.82
2025-01-12,59.96
2026-01-01,61.54
2026-01-02,65.08
2026-01-03,58.81
2026-01-04,61.37
2026-01-05,63.13
