date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2020-03-31,,20570000,,,,,
2020-06-30,,25340000,,,,,
2020-09-30,,26990000,,,,,
2020-12-31,,30180000,,,,,
2021-03-31,,25510000,,,,,
2021-06-30,,28800000,,,,,
2021-09-30,,29800000,,,,,
2021-12-31,,33280000,,,,,
2022-03-31,,27720000,,,,,
2022-06-30,,29910000,,,,,
2022-09-30,,31540000,,,,,
2022-12-31,,34230000,,,,,
2023-03-31,,29240000,,,,,
2023-06-30,,31620000,,,,,
2023-09-30,,32840000,,,,,
2023-12-31,,35720000,,,,,
2024-03-31,,30480000,,,,,
2024-06-30,,32880000,,,,,
2024-09-30,,34180000,,,,,
2024-12-31,,37370000,,,,,
2025-03-31,,31880000,,,,,
