date,MCHI
2015-01-01,49.86
2015-02-01,52.49
2015-03-01,53.92
2015-04-01,62.01
2015-05-01,59.21
2015-06-01,55.44
2015-07-01,49.5
2015-08-01,43.63
2015-09-01,43.34
2015-10-01,46.79
2015-11-01,46.25
2015-12-01,44.14
2016-01-01,38.86
2016-02-01,37.94
2016-03-01,42.05
2016-04-01,41.82
2016-05-01,41.8
2016-06-01,41.94
2016-07-01,43.55
2016-08-01,46.26
2016-09-01,47.98
2016-10-01,46.57
2016-11-01,46.12
2016-12-01,43.26
2017-01-01,46.51
2017-02-01,48.19
2017-03-01,49.39
2017-04-01,50.61
2017-05-01,53.19
2017-06-01,54.1
2017-07-01,58.77
2017-08-01,61.34
2017-09-01,62.41
2017-10-01,64.6
2017-11-01,65.53
2017-12-01,65.83
2018-01-01,74.01
2018-02-01,68.46
2018-03-01,67.83
2018-04-01,66.13
2018-05-01,68.09
2018-06-01,63.91
2018-07-01,63.14
2018-08-01,60.09
2018-09-01,59.25
2018-10-01,52.68
2018-11-01,56.86
2018-12-01,52.06
2019-01-01,58.67
2019-02-01,60.06
2019-03-01,61.76
2019-04-01,62.84
2019-05-01,54.74
2019-06-01,58.81
2019-07-01,57.84
2019-08-01,55.82
2019-09-01,55.48
2019-10-01,57.84
2019-11-01,59.02
2019-12-01,63.4
2020-01-01,59.47
2020-02-01,61.46
2020-03-01,56.64
2020-04-01,59.34
2020-05-01,60.35
2020-06-01,64.75
2020-07-01,70.74
2020-08-01,74.84
2020-09-01,73.37
2020-10-01,76.89
2020-11-01,78.95
2020-12-01,80.1
2021-01-01,86.58
2021-02-01,86.18
2021-03-01,80.82
2021-04-01,81.1
2021-05-01,80.96
2021-06-01,81.56
2021-07-01,70.51
2021-08-01,70.03
2021-09-01,66.81
2021-10-01,68.5
2021-11-01,64.51
2021-12-01,62.1
2022-01-01,61.93
2022-02-01,57.98
2022-03-01,52.32
2022-04-01,49.92
2022-05-01,51.23
2022-06-01,55.4
2022-07-01,49.32
2022-08-01,49.32
2022-09-01,42.25
2022-10-01,35.32
2022-11-01,46.66
2022-12-01,47.15
2023-01-01,53.19
2023-02-01,47.51
2023-03-01,49.52
2023-04-01,47.37
2023-05-01,42.92
2023-06-01,44.74
2023-07-01,49.8
2023-08-01,44.91
2023-09-01,43.29
2023-10-01,41.81
2023-11-01,42.68
2023-12-01,40.74
2024-01-01,36.54
2024-02-01,38.99
2024-03-01,39.73
2024-04-01,41.87
2024-05-01,43.82
2024-06-01,42.17
2024-07-01,41.52
2024-08-01,41.83
2024-09-01,50.91
2024-10-01,49.25
2024-11-01,47.32
2024-12-01,46.86
2025-01-01,48.41
2025-02-01,53.58
2025-03-01,54.4
2025-04-01,51.66
2025-05-01,52.82
2025-06-01,55.1
2025-07-01,57.43
2025-08-01,61.31
2025-09-01,65.85
2025-10-01,63.57
2025-11-01,62.2
2025-12-01,60.07
2026-01-01,62.4
2026-02-01,59.06
2026-03-01,56.18
2026-04-01,57.57
2026-05-01,55.1
