date,CN2YT,CN10YT
2015-01-01,3.22,3.514
2015-02-01,3.141,3.379
2015-03-01,3.256,3.623
2015-04-01,2.978,3.422
2015-05-01,2.226,3.591
2015-06-01,2.477,3.629
2015-07-01,2.63,3.474
2015-08-01,2.56,3.394
2015-09-01,2.751,3.276
2015-10-01,2.63,3.087
2015-11-01,2.754,3.088
2015-12-01,2.473,2.862
2016-01-01,2.584,2.909
2016-02-01,2.498,2.909
2016-03-01,2.357,2.886
2016-04-01,2.591,2.946
2016-05-01,2.585,2.995
2016-06-01,2.538,2.875
2016-07-01,2.447,2.805
2016-08-01,2.38,2.805
2016-09-01,2.363,2.769
2016-10-01,2.357,2.744
2016-11-01,2.505,2.943
2016-12-01,2.798,3.066
2017-01-01,2.819,3.363
2017-02-01,2.872,3.358
2017-03-01,2.971,3.31
2017-04-01,3.251,3.477
2017-05-01,3.62,3.67
2017-06-01,3.491,3.578
2017-07-01,3.473,3.629
2017-08-01,3.547,3.675
2017-09-01,3.545,3.638
2017-10-01,3.652,3.916
2017-11-01,3.749,3.917
2017-12-01,3.824,3.915
2018-01-01,3.623,3.944
2018-02-01,3.35,3.857
2018-03-01,3.519,3.778
2018-04-01,3.13,3.653
2018-05-01,3.2,3.646
2018-06-01,3.33,3.543
2018-07-01,3.064,3.533
2018-08-01,3.149,3.6
2018-09-01,3.265,3.655
2018-10-01,3.075,3.533
2018-11-01,2.837,3.398
2018-12-01,2.897,3.27
2019-01-01,2.7,3.13
2019-02-01,2.732,3.208
2019-03-01,2.603,3.075
2019-04-01,2.923,3.416
2019-05-01,2.838,3.297
2019-06-01,2.833,3.279
2019-07-01,2.777,3.183
2019-08-01,2.674,3.068
2019-09-01,2.767,3.155
2019-10-01,2.898,3.281
2019-11-01,2.788,3.192
2019-12-01,2.745,3.173
2020-01-01,2.545,3.05
2020-02-01,2.36,2.798
2020-03-01,1.978,2.663
2020-04-01,1.325,2.51
2020-05-01,1.84,2.707
2020-06-01,2.257,2.895
2020-07-01,2.433,2.973
2020-08-01,2.715,3.053
2020-09-01,2.827,3.155
2020-10-01,2.864,3.192
2020-11-01,2.974,3.28
2020-12-01,2.764,3.203
2021-01-01,2.85,3.227
2021-02-01,2.774,3.289
2021-03-01,2.854,3.201
2021-04-01,2.753,3.176
2021-05-01,2.729,3.077
2021-06-01,2.656,3.083
2021-07-01,2.425,2.845
2021-08-01,2.465,2.857
2021-09-01,2.488,2.874
2021-10-01,2.612,2.976
2021-11-01,2.54,2.867
2021-12-01,2.37,2.783
2022-01-01,2.15,2.749
2022-02-01,2.221,2.791
2022-03-01,2.299,2.817
2022-04-01,2.333,2.841
2022-05-01,2.235,2.803
2022-06-01,2.253,2.824
2022-07-01,2.104,2.759
2022-08-01,2.054,2.649
2022-09-01,2.195,2.782
2022-10-01,2.054,2.65
2022-11-01,2.338,2.923
2022-12-01,2.343,2.884
2023-01-01,2.345,2.928
2023-02-01,2.51,2.913
2023-03-01,2.37,2.861
2023-04-01,2.292,2.785
2023-05-01,2.168,2.714
2023-06-01,2.115,2.683
2023-07-01,2.103,2.697
2023-08-01,2.119,2.589
2023-09-01,2.245,2.715
2023-10-01,2.365,2.709
2023-11-01,2.422,2.686
2023-12-01,2.204,2.579
2024-01-01,2.113,2.43
2024-02-01,2.04,2.363
2024-03-01,1.898,2.301
2024-04-01,1.932,2.309
2024-05-01,1.776,2.32
2024-06-01,1.652,2.208
2024-07-01,1.519,2.148
2024-08-01,1.537,2.183
2024-09-01,1.41,2.13
2024-10-01,1.45,2.13
2024-11-01,1.37,2.04
2024-12-01,1.08,1.67
2025-01-01,1.25,1.64
2025-02-01,1.42,1.77
2025-03-01,1.45,1.87
2025-04-01,1.456,1.626
2025-05-01,1.477,1.7
2025-06-01,1.371,1.651
2025-07-01,1.442,1.728
2025-08-01,1.417,1.785
2025-09-01,1.438,1.878
2025-10-01,1.425,1.764
2025-11-01,1.423,1.832
2025-12-01,1.343,1.862
2026-01-01,1.383,1.803
2026-02-01,1.38,1.83
2026-03-01,1.268,1.818
2026-04-01,1.285,1.753
2026-05-01,1.285,1.73
2026-06-01,1.285,1.738
