date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2000-03-31,702911.67,529375,391636.84,154162.84,165533.34,155981.2,134044.54
2000-06-30,708519.05,533170,395090.61,154162.84,171709.19,160561.15,133371.62
2000-09-30,709036.65,534089,395046.91,155654.2,174510.26,165841.23,132910.21
2000-12-31,706017.32,533250,394697.15,153831.43,183757.19,174301.02,133929.19
2001-03-31,721006.32,547492,399342.36,154885.62,183183.47,167737.32,134159.89
2001-06-30,719194.77,547604,396369.38,151755.5,183959.66,168204.06,133679.24
2001-09-30,719194.75,549871,398118.2,149380.29,183487.19,164936.82,133160.14
2001-12-31,716951.87,553495,399473.5,147520.65,185849.54,162690.61,135159.67
2002-03-31,713608.89,551668,396533.37,144059.39,184904.61,157163.13,134832.82
2002-06-30,716369.45,553587,393604.16,141905.13,190540.51,160488.4,135313.47
2002-09-30,721286.77,560474,396533.37,140984.5,193544.07,160838.44,135755.67
2002-12-31,719302.59,561316,398238.42,140063.88,197087.59,164572.07,137639.84
2003-03-31,709532.91,556128,397746.62,139787.77,190995.79,168145.61,135736.44
2003-06-30,710568.05,557305,397877.76,139143.32,190320.79,166249.44,135928.71
2003-09-30,717037.96,564823,400588.29,139345.85,195990.91,167591.35,137255.31
2003-12-31,717900.63,565996,400588.28,139382.69,200682.27,172579.7,138139.72
2004-03-31,716800.82,567211,400850.63,136837.23,208595.62,174176.61,136120.97
2004-06-30,721027.96,573608,400326.01,138089.25,217876.28,177735.41,135871.02
2004-09-30,718698.68,572463,399145.63,137592.13,214029.02,181119.17,136851.56
2004-12-31,718439.93,572679,401287.8,136874.06,214973.96,181556.72,135159.66
2005-03-31,719582.76,574315,403626.81,134940.81,220365.48,178902.21,135500.97
2005-06-30,723896.25,578003,404938.41,137536.88,224111.37,187828.37,137423.51
2005-09-30,729590.13,583076,404938.39,139617.43,233256.7,192787.33,137077.45
2005-12-31,732350.8,587093,404719.79,143686.46,236631.35,199846.59,137096.69
2006-03-31,740524.49,592100,408326.69,141697.98,244207.64,204849.72,137928.22
2006-06-30,753205.91,603871,410294.01,151585.17,251868.65,207970.72,137832.09
2006-09-30,758899.61,609667,410250.3,151787.7,258854.7,211820.97,138851.07
2006-12-31,770028.15,621330,414490.96,155967.2,273636.74,218383.85,139254.83
2007-03-31,771041.95,628202,408545.3,156109.91,271569.15,220637.91,140403.61
2007-06-30,776131.7,633349,411386.96,154692.22,278419.98,221863.03,140903.47
2007-09-30,780099.9,638905,411037.21,155207.73,283853.37,226675.99,140884.24
2007-12-31,785879.71,645098,410512.59,158208.78,286418.21,226617.64,142018.54
2008-03-31,790495.44,650492,411605.53,160330.82,288729.58,228309.57,144465.1
2008-06-30,787648.54,648823,409987.95,157384.93,287345.99,225830.16,147195.21
2008-09-30,783335.04,647137,410250.27,157403.33,284916.29,230059.74,146368.49
2008-12-31,771170.94,639522,407933.21,155101.85,268988.24,222271.49,147598.96
2009-03-31,735024.76,615571,411212.13,142508.11,237500.38,208714.4,149540.81
2009-06-30,736836.46,618581,412785.96,142857.92,235576.61,198125.53,150540.56
2009-09-30,741408.81,624956,411474.41,142784.29,243069.18,204951.41,151655.67
2009-12-31,747102.65,632913,411867.86,141329.74,250089.23,203113.66,151482.65
2010-03-31,752536.89,636727,409288.56,142729.05,257530.03,216547.42,153232.22
2010-06-30,768841.98,647996,413223.21,152100.7,275686.38,232123.43,151924.84
2010-09-30,776261.22,659036,415234.23,153407.95,280141.1,231540.07,153712.87
2010-12-31,781351.18,666054,417245.25,151658.82,285608.28,234369.41,154097.39
2011-03-31,795477.26,678714,416163.32,159525.23,292669.89,240393.47,153938.81
2011-06-30,797633.95,682474,417999.49,160998.24,296685.99,246256.72,154573.24
2011-09-30,801947.35,689503,419660.84,163023.61,299925.89,246373.41,154803.94
2011-12-31,801861.08,692457,420797.54,162250.29,298407.18,243923.1,155707.55
2012-03-31,803564.86,694811,422688.37,162379.15,304220.09,243879.32,155827.75
2012-06-30,804427.56,697672,423650.23,162710.57,306717.56,244579.45,156404.53
2012-09-30,806066.58,703673,425005.56,162176.62,310328.78,245425.43,157192.79
2012-12-31,803651.15,704449,422994.42,160942.98,305165.09,243500.07,157519.64
2013-03-31,799208.05,706273,421540.76,155115.8,303958.81,244010.61,158846.25
2013-06-30,808525.29,715570,425431.77,161081.09,304869.97,248036.13,158500.17
2013-09-30,812666.25,722709,427049.38,161228.39,310100.75,251915.79,159826.78
2013-12-31,813873.99,726679,424076.49,164266.25,315500.25,252032.47,159884.46
2014-03-31,822371.37,739433,425311.43,167331.98,315070.16,252411.68,160576.59
2014-06-30,822198.81,743248,427103.99,165490.75,317972.46,256495.55,161384.09
2014-09-30,826770.92,748844,430426.74,165214.56,323608.36,258187.43,162672.24
2014-12-31,833068.31,757610,432525.32,166558.67,329986.71,262825.52,163806.58
2015-03-31,831257.1,760053,434350.52,166254.91,331640.35,267521.97,164522.7
2015-06-30,835570.32,768647,436492.74,166807.25,337478.75,267930.34,165484.03
2015-09-30,840056.21,775003,439159.61,167709.4,337377.52,270759.89,167079.84
2015-12-31,844369.43,780655,442744.61,171483.75,335555.11,273764.42,169963.84
2016-03-31,851788.78,790265,445619.16,174402.13,338904.53,278752.58,171684.54
2016-06-30,853686.59,794808,444919.69,172579.31,342515.64,276914.85,173184.13
2016-09-30,856705.92,799143,447018.17,174438.95,341840.67,278781.75,173722.45
2016-12-31,860674.16,805769,450471.88,175193.86,343055.63,284849.2,175202.82
2017-03-31,871845.7,818689,451663.31,176017.77,349619.72,285993.97,174707.79
2017-06-30,878057.21,828333,455379.46,180142.02,356234.15,293199.23,175649.88
2017-09-30,885045.01,839457,454942.24,181486.1,359575.11,293724.35,176188.21
2017-12-31,894017.13,850792,458833.27,182222.57,362646.09,298216.68,178264.64
2018-03-31,889078.01,849366,459718.54,183281.09,367522.82,302789.02,176933.26
2018-06-30,896065.73,859286,461205.04,185858.88,369142.77,304189.19,178106.02
2018-09-30,890199.42,859359,460724.1,187976.37,364822.91,311365.12,177836.85
2018-12-31,894167.82,870795,464964.99,189338.92,365565.39,313290.37,179221.09
2019-03-31,900034.02,877381,467271.06,190365.24,376769.76,318271.22,181379.26
2019-06-30,900551.64,881579,468713.83,190972.83,372044.95,314887.54,181917.59
2019-09-30,904002.41,890615,471118.36,190880.79,375554.81,319613.02,184763.06
2019-12-31,900983.03,893910,470987.2,189978.57,373428.64,321800.76,184859.2
2020-03-31,882694.15,881557,451456.03,186052.26,363498.37,315616.07,188353.64
2020-06-30,804362.8,809941,403538.56,176165.07,288274.37,260018.65,188238.27
2020-09-30,874153.66,868891,450100.72,183032.7,338423.69,288021.54,196601.45
2020-12-31,882607.92,883442,441094.3,188316.93,353745.24,298872.68,195851.64
2021-03-31,877173.08,888814,425431.78,183921.07,364384.12,309731.58,194549.15
2021-06-30,897791.11,909204,436361.58,188174.31,368096.47,311685.99,200105.51
2021-09-30,898567.5,930352,457565.44,182190.29,364856.6,314194.63,199528.72
2021-12-31,903398.5,944825,460669.48,183663.28,380920.97,333972.19,198894.26
2022-03-31,909523.53,971767,473315.25,185444.65,383240.85,335780.77,201758.97
2022-06-30,910903.8,989273,474320.8,184376.76,381047.27,338289.42,201547.47
2022-09-30,913578.11,1001691,477818.4,185223.7,387796.82,347361.43,197048.54
2022-12-31,910386.22,1020051,471129.23,183161.57,385906.96,345990.42,197490.75
2023-03-31,906094.38,1038961,470320.54,182406.7,384574.07,342322.31,198735.66
2023-06-30,905404.2,1050287,474561.19,182627.64,378937.93,340309.53,198062.75
2023-09-30,905404.24,1060216,471632.07,182185.76,379342.91,336838.15,199158.63
2023-12-31,902902.41,1071317,471238.62,179368.73,380895.42,333804.38,200331.39
