date,EWG
2015-01-01,27.84
2015-02-01,29.48
2015-03-01,29.62
2015-04-01,29.4
2015-05-01,28.89
2015-06-01,27.67
2015-07-01,28.12
2015-08-01,26.14
2015-09-01,24.56
2015-10-01,26.91
2015-11-01,27.05
2015-12-01,25.99
2016-01-01,24.15
2016-02-01,23.19
2016-03-01,25.54
2016-04-01,26.03
2016-05-01,25.74
2016-06-01,23.87
2016-07-01,25.46
2016-08-01,26.01
2016-09-01,26.07
2016-10-01,25.72
2016-11-01,24.64
2016-12-01,26.28
2017-01-01,27.3
2017-02-01,27.31
2017-03-01,28.54
2017-04-01,29.46
2017-05-01,30.79
2017-06-01,30.04
2017-07-01,30.48
2017-08-01,30.53
2017-09-01,32.19
2017-10-01,32.82
2017-11-01,32.99
2017-12-01,32.77
2018-01-01,34.75
2018-02-01,32.19
2018-03-01,31.8
2018-04-01,32.22
2018-05-01,31.4
2018-06-01,29.76
2018-07-01,31.08
2018-08-01,30
2018-09-01,29.52
2018-10-01,27.05
2018-11-01,26.64
2018-12-01,25.16
2019-01-01,26.59
2019-02-01,27.1
2019-03-01,26.72
2019-04-01,28.58
2019-05-01,26.72
2019-06-01,27.84
2019-07-01,26.62
2019-08-01,26.05
2019-09-01,26.71
2019-10-01,28.34
2019-11-01,28.72
2019-12-01,29.18
2020-01-01,28.32
2020-02-01,26.02
2020-03-01,21.32
2020-04-01,23.4
2020-05-01,25.6
2020-06-01,26.91
2020-07-01,28.04
2020-08-01,29.88
2020-09-01,28.91
2020-10-01,26.08
2020-11-01,30.33
2020-12-01,31.53
2021-01-01,31.23
2021-02-01,31.77
2021-03-01,33.19
2021-04-01,34.36
2021-05-01,35.51
2021-06-01,34.34
2021-07-01,34.26
2021-08-01,34.69
2021-09-01,32.67
2021-10-01,33.52
2021-11-01,31.57
2021-12-01,32.78
2022-01-01,32.01
2022-02-01,29.08
2022-03-01,28.39
2022-04-01,26.01
2022-05-01,27.33
2022-06-01,23.01
2022-07-01,23.58
2022-08-01,21.84
2022-09-01,19.74
2022-10-01,21.82
2022-11-01,25.39
2022-12-01,24.73
2023-01-01,28.04
2023-02-01,27.29
2023-03-01,28.46
2023-04-01,29.41
2023-05-01,27.98
2023-06-01,28.57
2023-07-01,29.32
2023-08-01,27.92
2023-09-01,26.2
2023-10-01,25.18
2023-11-01,28.41
2023-12-01,29.69
2024-01-01,29.07
2024-02-01,30.64
2024-03-01,31.75
2024-04-01,30.46
2024-05-01,32.06
2024-06-01,30.62
2024-07-01,31.11
2024-08-01,32.63
2024-09-01,33.84
2024-10-01,32.32
2024-11-01,32.27
2024-12-01,31.82
2025-01-01,34.63
2025-02-01,36.07
2025-03-01,37.08
2025-04-01,39.49
2025-05-01,41.97
2025-06-01,42.31
2025-07-01,41.15
2025-08-01,41.88
2025-09-01,41.61
2025-10-01,40.73
2025-11-01,40.92
2025-12-01,42.5
2026-01-01,43.11
2026-02-01,44.34
2026-03-01,39.67
2026-04-01,42.26
2026-05-01,43.43
2026-06-01,41.37
