date,DE.INDU,DE.SERV,DE.CONS,DE.RETA,DE.BUIL,DE.ESI,DE.EEI
2000-01-01,-5.1,45.2,-5.7,-17.5,-37.9,110.0,96.4
2000-02-01,-3.1,45.7,-4.5,-12.2,-40.6,111.5,97.0
2000-03-01,-1.5,45.8,-4.4,-18.6,-41.0,111.8,97.1
2000-04-01,-1.2,37.6,-5.5,-14.3,-39.7,109.7,97.1
2000-05-01,0.1,38.1,-2.0,-12.5,-40.7,111.4,98.5
2000-06-01,-0.5,38.6,-5.8,-20.4,-40.8,109.5,96.3
2000-07-01,0.4,41.6,-4.0,-17.0,-42.2,111.9,97.2
2000-08-01,1.7,41.5,-3.3,-16.1,-44.6,112.2,96.9
2000-09-01,0.6,41.3,-6.2,-20.5,-44.1,110.6,94.8
2000-10-01,1.5,50.4,-7.2,-21.7,-42.5,113.5,96.4
2000-11-01,0.5,50.8,-5.3,-20.9,-42.0,113.7,97.2
2000-12-01,-0.7,49.2,-5.7,-17.4,-40.9,113.0,98.1
2001-01-01,-1.4,31.2,-4.6,-14.1,-41.0,107.5,95.4
2001-02-01,-4.7,26.2,-5.8,-24.2,-42.0,103.7,99.9
2001-03-01,-7.4,15.6,-5.2,-18.5,-42.6,99.6,94.9
2001-04-01,-11.6,20.5,-5.9,-22.3,-43.8,99.4,95.7
2001-05-01,-12.7,21.7,-7.7,-24.3,-44.2,98.4,97.3
2001-06-01,-15.6,19.5,-10.2,-23.4,-45.0,95.6,100.7
2001-07-01,-13.8,11.0,-10.3,-25.1,-43.3,93.9,91.3
2001-08-01,-16.2,10.0,-11.8,-25.5,-44.1,92.2,92.0
2001-09-01,-20.6,7.0,-11.4,-29.8,-47.8,89.2,89.3
2001-10-01,-23.4,-0.8,-10.9,-32.3,-47.0,86.0,87.5
2001-11-01,-23.3,-10.2,-12.5,-27.8,-45.6,82.8,87.6
2001-12-01,-19.5,-6.9,-13.0,-28.5,-43.0,85.5,89.1
2002-01-01,-21.7,-5.2,-14.3,-29.9,-52.2,84.1,87.0
2002-02-01,-19.0,-1.9,-15.2,-33.4,-49.1,86.2,87.6
2002-03-01,-16.5,0.9,-14.8,-33.5,-49.3,88.2,88.7
2002-04-01,-16.0,-2.1,-15.9,-32.4,-50.4,87.2,87.1
2002-05-01,-14.6,-6.5,-16.2,-32.7,-50.3,86.2,87.1
2002-06-01,-14.9,-10.4,-17.2,-37.5,-49.6,84.6,84.6
2002-07-01,-15.1,-12.6,-15.5,-39.1,-51.2,84.2,82.0
2002-08-01,-16.3,-14.8,-17.2,-33.8,-48.3,82.9,80.1
2002-09-01,-16.8,-11.7,-16.2,-39.1,-46.5,83.8,84.9
2002-10-01,-16.0,-15.3,-18.4,-39.1,-49.1,82.0,78.8
2002-11-01,-15.4,-14.0,-23.9,-35.3,-50.2,80.8,82.3
2002-12-01,-16.9,-14.5,-24.6,-39.3,-51.3,79.7,81.2
2003-01-01,-17.8,-15.0,-22.5,-39.0,-52.1,80.1,82.6
2003-02-01,-16.1,-13.1,-23.9,-31.9,-51.2,81.1,79.9
2003-03-01,-17.7,-9.5,-23.0,-34.4,-49.0,82.0,82.0
2003-04-01,-18.1,-0.1,-21.4,-32.0,-46.6,85.2,83.8
2003-05-01,-18.8,-4.6,-20.4,-27.7,-47.7,83.9,78.5
2003-06-01,-18.6,2.9,-18.7,-29.7,-47.1,86.9,80.1
2003-07-01,-19.4,4.7,-16.2,-30.6,-48.4,88.0,83.6
2003-08-01,-16.0,11.8,-18.3,-27.7,-46.4,90.8,86.1
2003-09-01,-13.9,12.8,-18.5,-25.0,-45.9,92.1,87.6
2003-10-01,-12.5,13.8,-18.1,-22.1,-47.7,93.2,86.4
2003-11-01,-10.5,16.8,-16.0,-19.9,-46.4,95.7,89.3
2003-12-01,-11.5,18.2,-17.7,-25.5,-46.7,94.6,87.6
2004-01-01,-9.6,2.6,-19.8,-25.0,-45.2,89.8,85.2
2004-02-01,-9.1,15.2,-16.6,-26.1,-45.4,95.3,86.7
2004-03-01,-9.5,8.1,-17.4,-30.1,-46.0,92.6,84.5
2004-04-01,-7.4,6.4,-17.8,-26.4,-45.8,92.9,84.7
2004-05-01,-7.4,6.1,-18.2,-28.6,-48.3,92.5,88.8
2004-06-01,-8.2,5.3,-17.3,-31.7,-47.6,91.8,85.9
