date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1995-03-31,2104596.84,1413730.5,1160843.48,435466.96,478151.53,442558.39,442570.31
1995-06-30,2121318.66,1430828.28,1172212.55,438751.86,482437.85,450298.9,446496.49
1995-09-30,2126752.38,1452593.01,1174389.76,438986.4,482532.25,453465.77,449740.91
1995-12-31,2131515.73,1467007.22,1178406.51,438973.86,487415.99,457669.08,452922.64
1996-03-31,2134987.85,1480250.19,1189290.26,425298.46,495854.41,462779,452084.31
1996-06-30,2151800.66,1497932.91,1193061.63,448596.25,497961.4,463282.7,454310.95
1996-09-30,2161987.81,1511386.61,1200007.18,454072.4,506615.81,468371.95,458393.45
1996-12-31,2174038.33,1517137.18,1201795.09,454529.47,523029.93,482208.4,459290.37
1997-03-31,2180479.17,1514665.63,1207016.99,449094.71,536392.56,494165.51,459696.26
1997-06-30,2206744.33,1529442.04,1215119.6,455995.55,553995.42,508123.24,463500.49
1997-09-30,2223959.7,1544014.01,1221854.22,457026.97,574579.65,524217.32,464715.38
1997-12-31,2247333.03,1568888.6,1236883.46,467075.87,583211.08,536854.41,462536.05
1998-03-31,2263375.72,1575548.78,1244510.65,476395.8,594403.43,555282.17,468543.88
1998-06-30,2272225.14,1590548.69,1251808.55,478530.69,604097.29,563433.56,471106.09
1998-09-30,2284197.31,1606431.96,1264418.37,486342.92,604482.3,571010.05,472345.82
1998-12-31,2291187.6,1628098.06,1276758.91,490537.49,601582.77,578976.61,473544.73
1999-03-31,2314109.9,1648096.02,1285500.51,500996.91,607096.53,586599.05,480660.11
1999-06-30,2325232.37,1659423.61,1296636.13,507154.78,623905.5,601282.57,479414.72
1999-09-30,2355723.46,1682439.81,1310124.38,515459.79,640925.1,616661.43,481261.62
1999-12-31,2380738.22,1705597.32,1321104.28,519243.4,661510.4,634672.01,485974.22
2000-03-31,2411108.61,1735674.62,1333760.57,529427.01,687680.67,653561.36,490931.51
2000-06-30,2432933.61,1755964.03,1342766.15,534431,710372.17,676335.41,491748.79
2000-09-30,2449266.68,1776692.68,1347904.31,541249.66,725886.97,694474.93,494991.19
2000-12-31,2460950.32,1795260.09,1351869.59,540025.26,752096.63,717295.16,498873.86
2001-03-31,2488070.21,1828700.77,1364375.54,545041.91,753048.25,708361.3,502579.33
2001-06-30,2489177.18,1841658.65,1365869.74,543803.55,747812.73,707519.87,502567.34
2001-09-30,2494460.05,1856826.46,1370763.37,539457.46,744885.51,700355.58,503843.47
2001-12-31,2493092.59,1870381.18,1376493.57,537718.44,743131.89,692354.73,510216.02
2002-03-31,2498709.78,1886565.44,1377732.88,535873.67,752080.64,696648,509930.37
2002-06-30,2510308.84,1903646.24,1378412.5,530568.23,761778.12,703702.56,514283.36
2002-09-30,2521827.02,1924956.61,1385652.3,533060.76,766209.24,706701.77,516639.48
2002-12-31,2526555.1,1937764.79,1393698.51,536884.63,773588.19,716720.37,520113.75
2003-03-31,2519744.21,1944240.51,1394366.81,536242.73,762051.33,719865.19,520295.36
2003-06-30,2521000.98,1956394.77,1397146.27,536947.43,757988.81,717372.81,522767.53
2003-09-30,2537426.1,1981737.91,1405773,541687.37,770062.69,724687.19,527153.96
2003-12-31,2553592.5,1999173.48,1410545.52,546715.77,788622.3,741332.21,529309.97
2004-03-31,2566944.97,2018893.39,1417944.66,546765.22,803737.13,748723.26,528360.26
2004-06-30,2582912.4,2043941.09,1420921.83,551492.27,829365.83,767577.7,531225.4
2004-09-30,2588726.66,2058040.17,1423172.25,552347.39,830177.31,778162.61,534090.62
2004-12-31,2600250.19,2078984.64,1435089.78,554555.79,840485.52,789718.07,533704.18
2005-03-31,2607289.93,2092027.45,1441085.79,555592.12,846102.18,790437.2,536899.82
2005-06-30,2623322.4,2114562.26,1451252.68,565560.75,860340.12,813211.59,539918.14
2005-09-30,2642859.19,2140775.49,1458198.43,572777.14,880547.61,828762.97,541202.42
2005-12-31,2661268.76,2169689.16,1463829.44,578297.41,897552.04,847479.09,541762.79
2006-03-31,2686323.27,2196553.71,1473384.36,585125.33,918268.84,868449.05,547319.8
2006-06-30,2715870.36,2234456.97,1482977.89,599618.82,940202.93,884669.35,549225.54
2006-09-30,2730658.57,2259563.79,1487797.48,603577.05,948716.8,891030.32,550967.81
2006-12-31,2762599.81,2297414.71,1498628.96,617439.64,979508.44,916299.92,555930.86
2007-03-31,2782029.42,2334264.68,1501528.18,623804.08,988197.57,930454.48,558733.88
2007-06-30,2800742.04,2360188.21,1512808.73,627187.18,1006233.19,940112.16,561421.85
2007-09-30,2811546.84,2381919.14,1517431.49,631424.25,1020155.36,957236.01,563605.55
2007-12-31,2825788.16,2409773.22,1522849.57,643188.2,1025421.57,966983.75,566739.19
2008-03-31,2843954.68,2436615.17,1525702.83,640970.98,1041547.67,967961.79,570941.21
2008-06-30,2830030.74,2442093.65,1519779.25,631341.79,1031793.5,960321.2,576609.55
2008-09-30,2814634.93,2435654.73,1514330.63,621233.45,1020065,955902.97,577068.7
2008-12-31,2766065.41,2401534.67,1504558.2,600914.89,961379.61,909065.68,581033.06
2009-03-31,2681351.18,2335268.79,1499337.7,567242.2,877872.54,843192.51,586175.02
2009-06-30,2681439.93,2335826.28,1500413.26,553866.89,872810.97,822764.01,589354.68
2009-09-30,2691023.61,2346461.05,1501867.57,547851.61,894965.89,840955.08,594378.7
2009-12-31,2702900.37,2362980.1,1505237.24,546390.49,913909.79,852859.64,592587.88
2010-03-31,2713534.53,2375092.72,1506328.69,542755.2,936615.77,878709.43,594457.65
2010-06-30,2738840.42,2401209.97,1511218.67,554704.17,982028.4,919537.51,592988.93
2010-09-30,2751007.81,2420683.69,1516126.18,552797.06,1001463.59,928939.06,594770.73
2010-12-31,2767240.54,2439209.55,1522627.26,553131.91,1018902.03,945175.12,593004.4
2011-03-31,2793572.26,2471655.35,1519911.68,561732.08,1040153.58,961900.18,593722.74
2011-06-30,2793422.64,2476569.22,1515900.2,560434.81,1048355.04,960567.33,594350.75
2011-09-30,2793930.25,2484815.48,1514956.12,560641.2,1057499.74,962656.74,594098.32
2011-12-31,2785333.5,2484434.55,1508587.11,558394.05,1053075.89,948275.79,594787.04
2012-03-31,2778557.07,2487892.6,1507428.89,550578.85,1064022.7,950465.31,593838.34
2012-06-30,2768630.8,2485463.69,1499454.71,547712.18,1072542.16,948804.01,591961.03
2012-09-30,2764989.13,2492604.39,1496737.19,540518.05,1083842.89,948357.2,592151.23
2012-12-31,2752975,2486802.53,1489241.61,533232.27,1077179.86,941574.86,592040.63
2013-03-31,2743941.69,2492426.59,1482476.34,523714.58,1081936.84,942987.74,592656.87
2013-06-30,2761945.81,2514550.2,1487752.4,529890.41,1094707.08,957265.83,593760.97
2013-09-30,2770116.01,2525151.68,1491610.61,533038.93,1105036.7,970816.48,595120.46
2013-12-31,2775822.4,2532486.45,1493322.26,538355.92,1114808.92,980050,596078.96
2014-03-31,2788886.93,2555644.63,1492738.85,539132.34,1124620.37,985507.94,597008.34
2014-06-30,2795465.26,2566957.94,1498696.99,536901.55,1138313.19,1000269.9,598002.34
2014-09-30,2809059.98,2583893.19,1506388.52,539906.33,1157064.75,1016082.17,600149.32
2014-12-31,2819468.28,2601153.01,1514176.04,540806.33,1170767.83,1026326.62,602302.17
2015-03-31,2840812.07,2633655.74,1522370.81,541613.35,1211118.22,1055999.31,603613.16
2015-06-30,2852837.19,2656146.98,1530764.25,584639.98,1219815.42,1097625.68,605894.39
2015-09-30,2865097.52,2676947.33,1536755.79,555019.83,1224464.91,1079950.81,608597.04
2015-12-31,2879161.28,2693701.83,1542636.23,573047.61,1235415.46,1106479.65,612817.57
2016-03-31,2892984.92,2713241.37,1551987.95,575303.93,1243575.87,1113416.55,616401.32
2016-06-30,2898543.31,2723077.52,1555043.74,579115.28,1253636.31,1121746.46,618267.36
2016-09-30,2912569.83,2743248.15,1561487.23,586234.15,1265476.19,1133964.91,620335.79
2016-12-31,2934833.13,2766852.32,1572235.8,593983.46,1276683.49,1153296.82,624834.41
2017-03-31,2958505.55,2799847.8,1579260.03,587392.24,1302853.2,1156653.28,623507.57
2017-06-30,2978124.44,2829853.67,1587616.37,634259.13,1322805.9,1214241.81,625990.58
2017-09-30,2999953.08,2857263.47,1593498.1,604658.1,1339257.82,1187911.46,628716.89
2017-12-31,3024371.01,2891156.1,1600472.9,606801.16,1369062.43,1212142.55,631966.71
2018-03-31,3025693.22,2905209.54,1607470.41,611270.7,1366383.19,1213698.13,631019.63
2018-06-30,3041210.14,2927742.49,1612596.98,622559.01,1375409.32,1229480.21,633671.1
2018-09-30,3043571.44,2945564.46,1612665.09,625341.82,1378656.96,1239838.77,634065.07
2018-12-31,3060011.91,2975618.05,1620015.87,652046.26,1390977.18,1271439.79,637464.51
2019-03-31,3082072.7,3007234.38,1627546.61,641034.31,1419741.72,1267415.31,642986.71
2019-06-30,3093218.39,3028501.63,1632974.18,688418.46,1423429.6,1312836.9,644624.56
2019-09-30,3099016.69,3049651.39,1639970.49,649270.67,1424764.76,1282758.89,648269.92
2019-12-31,3095865.56,3064547.59,1640612.9,712229.66,1425190.99,1339315.61,648126.5
2020-03-31,2995227.34,2978478.88,1562023.97,684989.27,1388016.51,1308497.06,649334.5
2020-06-30,2662290.69,2679079.53,1375113.8,557579.78,1121104.96,1040132.36,630930.55
2020-09-30,2969581.88,2957870.37,1564465.04,629562.12,1297806.18,1171729.55,666947.21
2020-12-31,2980539.62,2992210.74,1522320.17,657793.52,1371009.88,1243251.84,668314.84
2021-03-31,3004079.48,3032260.27,1499088.73,646155.83,1395087.78,1244945.87,671599
2021-06-30,3069276.59,3107813.61,1558387.04,656383.01,1424560.57,1274823.49,681923.74
2021-09-30,3123168.74,3201107.44,1619952.84,650417.17,1450335.23,1297535.74,686264.98
2021-12-31,3148336.84,3261960.39,1624896.08,669840.22,1496463.56,1371358.86,687415.75
2022-03-31,3171408.26,3337745.01,1642459.09,667064.54,1522625.02,1380714.13,690579.02
2022-06-30,3201226.08,3409097.05,1663072.42,666908.94,1544688.67,1400694.5,690497.98
2022-09-30,3215597,3467413.3,1673476.67,674047.16,1566912.65,1429687.23,688804.89
2022-12-31,3213905.31,3535436.79,1658431.7,672912.9,1565995.7,1420984.46,692904.72
2023-03-31,3213117.24,3607610.76,1665414.09,686860.23,1547370.68,1397590.3,695982.82
2023-06-30,3219600.05,3655117.37,1670388,685185.17,1536039.04,1389250.35,698920.04
2023-09-30,3218932.4,3683829.13,1668878.9,686868.56,1521757.24,1367820.98,702060.26
2023-12-31,3220695.66,3724014.3,1671203.36,693353.74,1531674.69,1375907.69,707946.26
2024-03-31,3229505.16,3759028.52,1680392.3,679873.86,1534587.96,1365652.91,708855.28
2024-06-30,3236951.75,3784281.08,1683675.75,663174.54,1559157.47,1381714.1,715536.84
2024-09-30,3251371.38,3822437.04,1693335.48,673737.85,1536728.26,1386701.34,719597.14
2024-12-31,3263910.36,3866235.24,1701394.93,678778.23,1538535.18,1388407.72,723658.92
2025-03-31,3282171.37,3905691.36,1705394.69,696169.38,1573693.08,1420051.85,724000.72
2025-06-30,3287067.61,3936610.38,1709988.87,684551.55,1567878.88,1419836.72,726584.4
2025-09-30,3295913.63,3969578.46,1712517.39,691461.48,1579946.65,1439531.41,731782.3
2025-12-31,3306928.31,,,,,,
