date,STOXX50E
2015-01-01,"3,351.44"
2015-02-01,"3,599.00"
2015-03-01,"3,697.38"
2015-04-01,"3,615.59"
2015-05-01,"3,570.78"
2015-06-01,"3,424.30"
2015-07-01,"3,600.69"
2015-08-01,"3,269.63"
2015-09-01,"3,100.67"
2015-10-01,"3,418.23"
2015-11-01,"3,506.45"
2015-12-01,"3,287.98"
2016-01-01,"3,045.09"
2016-02-01,"2,945.75"
2016-03-01,"3,004.93"
2016-04-01,"3,028.21"
2016-05-01,"3,063.48"
2016-06-01,"2,864.74"
2016-07-01,"2,990.76"
2016-08-01,"3,023.13"
2016-09-01,"3,002.24"
2016-10-01,"3,055.25"
2016-11-01,"3,051.61"
2016-12-01,"3,290.52"
2017-01-01,"3,230.68"
2017-02-01,"3,319.61"
2017-03-01,"3,500.93"
2017-04-01,"3,559.59"
2017-05-01,"3,554.59"
2017-06-01,"3,441.88"
2017-07-01,"3,449.36"
2017-08-01,"3,421.47"
2017-09-01,"3,594.85"
2017-10-01,"3,662.18"
2017-11-01,"3,569.93"
2017-12-01,"3,503.96"
2018-01-01,"3,609.29"
2018-02-01,"3,438.96"
2018-03-01,"3,361.50"
2018-04-01,"3,536.52"
2018-05-01,"3,406.65"
2018-06-01,"3,395.60"
2018-07-01,"3,525.49"
2018-08-01,"3,392.90"
2018-09-01,"3,399.20"
2018-10-01,"3,197.51"
2018-11-01,"3,173.13"
2018-12-01,"2,986.53"
2019-01-01,"3,159.43"
2019-02-01,"3,298.26"
2019-03-01,"3,351.71"
2019-04-01,"3,514.62"
2019-05-01,"3,280.43"
2019-06-01,"3,473.69"
2019-07-01,"3,466.85"
2019-08-01,"3,426.76"
2019-09-01,"3,569.45"
2019-10-01,"3,604.41"
2019-11-01,"3,703.58"
2019-12-01,"3,748.47"
2020-01-01,"3,640.91"
2020-02-01,"3,329.49"
2020-03-01,"2,786.90"
2020-04-01,"2,927.93"
2020-05-01,"3,050.20"
2020-06-01,"3,234.07"
2020-07-01,"3,174.32"
2020-08-01,"3,272.51"
2020-09-01,"3,193.61"
2020-10-01,"2,958.21"
2020-11-01,"3,492.54"
2020-12-01,"3,571.59"
2021-01-01,"3,481.44"
2021-02-01,"3,636.44"
2021-03-01,"3,919.21"
2021-04-01,"3,974.74"
2021-05-01,"4,039.46"
2021-06-01,"4,064.30"
2021-07-01,"4,089.30"
2021-08-01,"4,196.41"
2021-09-01,"4,048.08"
2021-10-01,"4,250.56"
2021-11-01,"4,063.06"
2021-12-01,"4,306.07"
2022-01-01,"4,174.60"
2022-02-01,"3,924.23"
2022-03-01,"3,902.52"
2022-04-01,"3,802.86"
2022-05-01,"3,789.21"
2022-06-01,"3,454.86"
2022-07-01,"3,708.10"
2022-08-01,"3,517.25"
2022-09-01,"3,318.20"
2022-10-01,"3,617.54"
2022-11-01,"3,964.72"
2022-12-01,"3,793.62"
2023-01-01,"4,163.45"
2023-02-01,"4,238.38"
2023-03-01,"4,315.05"
2023-04-01,"4,359.31"
2023-05-01,"4,218.04"
2023-06-01,"4,399.09"
2023-07-01,"4,471.31"
2023-08-01,"4,297.11"
2023-09-01,"4,174.66"
2023-10-01,"4,061.12"
2023-11-01,"4,382.47"
2023-12-01,"4,521.65"
2024-01-01,"4,648.40"
2024-02-01,"4,877.77"
2024-03-01,"5,083.42"
2024-04-01,"4,921.22"
2024-05-01,"4,983.67"
2024-06-01,"4,894.02"
2024-07-01,"4,872.94"
2024-08-01,"4,957.98"
2024-09-01,"5,000.45"
2024-10-01,"4,827.63"
2024-11-01,"4,804.40"
2024-12-01,"4,869.28"
2025-01-01,"5,286.87"
2025-02-01,"5,463.54"
2025-03-01,"5,248.39"
2025-04-01,"5,160.22"
2025-05-01,"5,366.59"
2025-06-01,"5,303.24"
2025-07-01,"5,319.92"
2025-08-01,"5,351.73"
2025-09-01,"5,529.96"
2025-10-01,"5,662.04"
2025-11-01,"5,668.17"
2025-12-01,"5,796.22"
2026-01-01,"5,947.81"
2026-02-01,"6,138.41"
2026-03-01,"5,569.73"
2026-04-01,"5,881.51"
2026-05-01,"6,050.54"
2026-06-01,"6,328.09"
