date,EA.INDU,EA.SERV,EA.CONS,EA.RETA,EA.BUIL,EA.ESI,EA.EEI
2000-01-01,2.3,31.3,-0.4,-6.6,-3.6,115.9,115.6
2000-02-01,4.2,34.6,-0.7,2.1,-3.5,118.5,112.7
2000-03-01,5.8,35.7,-0.5,-4.4,-1.2,119.5,115.1
2000-04-01,5.6,28.9,-0.8,-1.1,-1.8,117.2,115.0
2000-05-01,6.8,30.6,-0.5,2.6,-0.3,118.7,116.6
2000-06-01,6.9,28.3,-2.0,-5.0,0.0,116.4,112.3
2000-07-01,6.5,29.0,-1.0,-6.2,1.4,117.0,114.6
2000-08-01,6.3,29.9,-0.6,-3.8,-1.9,117.5,112.8
2000-09-01,6.4,28.3,-3.7,-10.5,-2.0,115.1,113.7
2000-10-01,5.7,31.0,-2.7,-7.3,-2.7,116.3,112.4
2000-11-01,5.2,28.0,-1.7,-7.3,-1.8,115.6,112.5
2000-12-01,4.1,27.2,-1.5,-8.0,0.4,114.8,114.4
2001-01-01,2.7,27.1,-1.2,-3.4,-1.2,114.2,115.2
2001-02-01,0.4,23.2,-2.4,-6.3,-4.2,110.7,111.4
2001-03-01,-2.2,20.8,-2.2,-2.7,-3.2,108.7,109.0
2001-04-01,-5.5,18.6,-3.3,-8.7,-4.7,105.5,105.4
2001-05-01,-5.8,14.9,-4.0,-10.6,-4.9,103.1,103.5
2001-06-01,-7.3,16.2,-5.2,-8.6,-7.7,102.5,103.1
2001-07-01,-7.6,14.4,-5.2,-7.5,-8.7,102.0,98.3
2001-08-01,-8.7,11.5,-5.9,-12.2,-7.6,100.1,101.0
2001-09-01,-13.2,9.2,-6.6,-12.4,-10.1,96.4,98.6
2001-10-01,-15.2,2.2,-6.7,-13.9,-11.4,93.1,99.8
2001-11-01,-15.3,-5.0,-7.2,-12.0,-11.7,90.6,93.3
2001-12-01,-12.1,-3.6,-6.2,-13.6,-10.7,93.4,96.9
2002-01-01,-12.5,3.4,-5.7,-8.4,-12.0,96.0,96.1
2002-02-01,-9.8,3.5,-5.9,-16.2,-10.4,96.7,98.2
2002-03-01,-8.2,6.4,-5.8,-13.3,-12.1,98.6,97.0
2002-04-01,-8.3,5.1,-7.4,-13.4,-12.5,97.6,97.0
2002-05-01,-6.1,3.9,-7.1,-13.8,-13.3,98.3,95.0
2002-06-01,-7.3,1.6,-8.5,-14.6,-13.3,96.3,96.1
2002-07-01,-8.4,-1.0,-8.3,-14.8,-15.3,95.1,94.2
2002-08-01,-8.9,-6.4,-9.5,-13.1,-18.4,92.7,91.3
2002-09-01,-7.9,-2.5,-9.5,-11.1,-17.8,94.4,91.4
2002-10-01,-8.5,-5.0,-10.3,-13.9,-17.9,92.7,90.1
2002-11-01,-8.2,-4.0,-11.8,-10.0,-19.2,92.6,94.2
2002-12-01,-8.8,-4.0,-13.2,-13.9,-19.7,91.4,91.0
2003-01-01,-9.2,-2.6,-13.5,-15.8,-16.3,92.1,90.4
2003-02-01,-8.6,-2.5,-14.1,-14.1,-14.0,92.4,89.2
2003-03-01,-10.7,-3.3,-14.9,-16.5,-14.7,90.7,88.9
2003-04-01,-11.0,-2.6,-13.7,-16.4,-14.1,91.3,87.3
2003-05-01,-11.6,-3.3,-13.2,-15.5,-14.9,91.0,87.3
2003-06-01,-12.2,-1.2,-12.4,-14.6,-14.4,92.0,87.5
2003-07-01,-12.2,0.6,-11.9,-13.9,-14.4,92.5,88.7
2003-08-01,-9.4,2.9,-12.3,-13.5,-14.8,94.8,89.8
2003-09-01,-8.6,3.4,-12.1,-13.4,-14.6,95.4,90.5
2003-10-01,-7.0,5.6,-11.8,-11.8,-15.1,97.1,89.9
2003-11-01,-4.8,5.4,-10.9,-10.5,-13.5,99.1,90.3
2003-12-01,-6.1,8.5,-11.4,-13.6,-12.3,98.6,92.3
2004-01-01,-5.5,6.0,-11.5,-10.2,-11.8,98.1,93.5
2004-02-01,-5.4,9.5,-10.5,-10.8,-12.6,99.6,94.1
2004-03-01,-5.3,6.9,-10.4,-11.0,-13.3,99.1,92.7
2004-04-01,-3.6,6.9,-11.1,-10.6,-11.2,99.7,93.0
2004-05-01,-2.8,6.4,-11.4,-11.3,-11.1,100.2,97.4
2004-06-01,-2.7,7.9,-11.2,-11.6,-11.4,100.2,95.5
2004-07-01,-2.8,8.6,-11.1,-9.6,-14.1,100.4,96.4
