date,ES.INDU,ES.SERV,ES.CONS,ES.RETA,ES.BUIL,ES.ESI,ES.EEI
2000-01-01,-0.4,30.8,13.1,4.1,16.4,110.9,108.9
2000-02-01,2.1,40.2,14.3,3.4,14.4,114.3,113.0
2000-03-01,3.9,37.9,14.9,4.5,36.7,115.9,119.0
2000-04-01,3.2,44.5,13.8,-2.2,23.8,115.6,122.9
2000-05-01,3.8,35.7,12.2,3.1,29.3,114.5,112.5
2000-06-01,5.1,32.9,12.1,8.2,25.3,114.7,107.6
2000-07-01,2.6,41.3,12.4,3.1,38.3,115.5,110.7
2000-08-01,5.0,38.7,12.4,1.7,0.2,116.2,108.9
2000-09-01,3.7,40.4,9.4,0.0,7.4,114.9,112.7
2000-10-01,0.4,36.6,9.2,1.1,5.7,111.2,111.6
2000-11-01,1.6,38.5,10.6,0.0,10.0,112.9,109.7
2000-12-01,2.5,35.2,10.2,3.4,31.6,113.4,108.8
2001-01-01,2.6,41.1,10.9,3.4,18.1,114.9,112.8
2001-02-01,-0.3,32.4,10.5,-0.9,8.6,110.8,108.4
2001-03-01,-2.3,46.5,11.2,3.0,20.9,112.9,120.1
2001-04-01,-4.3,30.0,8.0,-4.8,17.2,107.5,104.4
2001-05-01,-4.0,27.5,8.6,-1.4,20.4,106.4,97.2
2001-06-01,-4.7,37.4,8.0,-1.0,7.7,107.9,101.1
2001-07-01,-5.5,37.4,7.0,1.4,7.5,107.4,109.2
2001-08-01,-7.0,29.4,8.6,0.8,18.1,106.8,109.4
2001-09-01,-7.6,34.0,7.3,3.1,8.1,106.8,115.4
2001-10-01,-10.0,31.3,9.2,-3.2,6.5,104.6,106.6
2001-11-01,-10.1,26.2,7.7,-5.9,2.6,103.3,99.1
2001-12-01,-6.0,22.0,7.3,-0.4,13.2,106.1,105.1
2002-01-01,-8.7,28.5,5.9,-1.3,11.4,105.3,108.5
2002-02-01,-8.1,29.4,6.8,-2.0,15.3,105.5,107.7
2002-03-01,-8.6,22.6,5.4,-3.6,0.2,103.0,96.4
2002-04-01,-7.2,24.7,5.1,-5.8,6.7,104.7,99.5
2002-05-01,-2.7,21.2,5.7,-1.7,9.6,107.2,96.6
2002-06-01,-4.9,20.4,3.8,-3.3,18.1,105.3,103.5
2002-07-01,-3.8,21.0,2.7,-4.1,12.6,106.0,103.2
2002-08-01,-4.2,16.4,1.8,-2.4,-16.9,104.0,96.7
2002-09-01,-6.1,19.0,5.1,-1.5,4.3,104.6,100.8
2002-10-01,-5.5,20.6,3.7,-1.4,3.2,104.5,101.5
2002-11-01,-7.3,18.6,4.5,-1.5,-1.9,103.3,101.3
2002-12-01,-8.6,19.1,-1.4,-3.5,4.8,100.7,100.6
2003-01-01,-5.9,16.6,-0.8,-3.9,16.3,103.2,100.1
2003-02-01,-2.4,22.4,-0.1,0.5,19.0,106.7,101.7
2003-03-01,-5.7,18.3,-0.6,-2.8,9.4,103.3,104.2
2003-04-01,-4.9,21.3,1.3,-2.8,13.3,105.0,102.9
2003-05-01,-6.0,17.9,2.7,-4.4,9.4,103.9,102.5
2003-06-01,-7.8,16.0,3.8,-2.0,16.5,102.9,105.9
2003-07-01,-5.7,18.9,2.8,-3.0,17.3,104.6,102.5
2003-08-01,-0.8,16.9,3.8,-1.9,5.8,107.4,100.8
2003-09-01,-4.8,18.6,4.6,-1.3,1.8,104.6,101.5
2003-10-01,-2.1,23.0,2.3,0.4,-3.2,106.9,104.5
2003-11-01,-1.6,17.9,3.9,-0.9,2.0,106.7,103.8
2003-12-01,-3.0,17.6,3.6,-0.9,7.0,105.7,105.1
2004-01-01,-3.6,19.0,2.8,-1.2,6.9,105.5,105.3
2004-02-01,-1.3,19.5,3.5,-0.6,8.8,107.1,104.6
2004-03-01,-3.4,22.1,3.5,-1.4,7.1,106.4,102.8
2004-04-01,-1.5,19.8,4.7,-2.5,14.3,107.4,105.5
2004-05-01,-0.6,19.0,4.5,-8.7,9.8,107.8,103.6
2004-06-01,-0.5,16.6,2.1,-4.8,14.5,106.5,106.4
2004-07-01,-1.9,14.6,3.3,-6.2,5.6,105.1,101.0
2004-08-01,-2.7,12.8,1.9,-9.0,24.0,104.2,102.8
2004-09-01,-2.2,16.5,2.0,-8.6,13.3,104.7,103.5
2004-10-01,-0.1,8.6,3.8,-11.1,21.8,105.0,99.4
2004-11-01,-1.6,10.4,3.3,-11.5,15.8,103.9,102.2
2004-12-01,-2.9,12.0,4.0,-8.6,23.2,104.1,104.5
2005-01-01,-2.1,15.7,2.9,-7.2,20.0,105.4,105.8
2005-02-01,-5.4,14.1,2.9,-9.5,31.1,103.5,102.8
2005-03-01,-4.8,15.9,1.8,-6.0,23.7,104.2,104.8
2005-04-01,-5.4,16.8,2.4,-4.8,20.4,104.2,105.2
2005-05-01,-6.2,24.3,2.2,-3.1,14.5,104.4,100.6
2005-06-01,-6.9,23.3,2.2,-5.7,13.5,103.6,104.7
2005-07-01,-3.4,19.4,2.5,-4.4,16.8,104.9,102.7
2005-08-01,-2.7,17.5,2.7,-5.6,20.8,105.5,103.9
2005-09-01,-2.3,17.7,2.4,-4.2,21.7,105.6,103.8
2005-10-01,-1.5,16.4,2.8,-4.5,17.9,106.5,104.6
2005-11-01,-3.7,17.9,-0.2,-4.5,35.5,104.3,101.3
2005-12-01,-1.5,18.3,2.4,-4.9,21.0,105.5,104.4
2006-01-01,-6.3,15.5,0.1,-9.4,21.7,101.7,104.1
2006-02-01,-3.4,4.9,-0.2,-12.1,8.9,101.5,103.2
