date,ES2YT,ES10YT
2015-01-01,0.379,1.46
2015-02-01,0.178,1.257
2015-03-01,0.076,1.23
2015-04-01,0.09,1.5
2015-05-01,0.137,1.84
2015-06-01,0.413,2.309
2015-07-01,0.075,1.839
2015-08-01,0.18,2.116
2015-09-01,0.139,1.897
2015-10-01,0.023,1.674
2015-11-01,-0.011,1.525
2015-12-01,0.037,1.781
2016-01-01,-0.012,1.514
2016-02-01,-0.004,1.532
2016-03-01,0.032,1.435
2016-04-01,-0.052,1.593
2016-05-01,-0.099,1.476
2016-06-01,-0.19,1.126
2016-07-01,-0.163,1.021
2016-08-01,-0.163,1.014
2016-09-01,-0.208,0.879
2016-10-01,-0.155,1.202
2016-11-01,-0.049,1.554
2016-12-01,-0.29,1.394
2017-01-01,-0.268,1.594
2017-02-01,-0.121,1.661
2017-03-01,-0.162,1.657
2017-04-01,-0.244,1.648
2017-05-01,-0.285,1.546
2017-06-01,-0.266,1.53
2017-07-01,-0.331,1.491
2017-08-01,-0.366,1.445
2017-09-01,-0.309,1.61
2017-10-01,-0.359,1.459
2017-11-01,-0.322,1.449
2017-12-01,-0.227,1.57
2018-01-01,-0.214,1.418
2018-02-01,-0.215,1.536
2018-03-01,-0.357,1.155
2018-04-01,-0.271,1.278
2018-05-01,0.012,1.482
2018-06-01,-0.229,1.33
2018-07-01,-0.308,1.414
2018-08-01,-0.261,1.487
2018-09-01,-0.185,1.507
2018-10-01,-0.118,1.568
2018-11-01,-0.158,1.512
2018-12-01,-0.234,1.422
2019-01-01,-0.253,1.201
2019-02-01,-0.177,1.181
2019-03-01,-0.284,1.105
2019-04-01,-0.273,1.008
2019-05-01,-0.346,0.716
2019-06-01,-0.408,0.395
2019-07-01,-0.482,0.289
2019-08-01,-0.554,0.123
2019-09-01,-0.481,0.149
2019-10-01,-0.436,0.252
2019-11-01,-0.418,0.431
2019-12-01,-0.403,0.469
2020-01-01,-0.469,0.23
2020-02-01,-0.421,0.299
2020-03-01,-0.181,0.682
2020-04-01,-0.064,0.733
2020-05-01,-0.395,0.569
2020-06-01,-0.479,0.472
2020-07-01,-0.377,0.343
2020-08-01,-0.444,0.411
2020-09-01,-0.497,0.25
2020-10-01,-0.566,0.137
2020-11-01,-0.578,0.084
2020-12-01,-0.608,0.055
2021-01-01,-0.532,0.101
2021-02-01,-0.484,0.433
2021-03-01,-0.484,0.339
2021-04-01,-0.438,0.477
2021-05-01,-0.492,0.474
2021-06-01,-0.496,0.421
2021-07-01,-0.525,0.272
2021-08-01,-0.543,0.346
2021-09-01,-0.578,0.461
2021-10-01,-0.502,0.622
2021-11-01,-0.612,0.415
2021-12-01,-0.582,0.595
2022-01-01,-0.491,0.758
2022-02-01,-0.062,1.132
2022-03-01,0.229,1.444
2022-04-01,0.616,1.981
2022-05-01,0.757,2.22
2022-06-01,0.972,2.462
2022-07-01,0.565,1.926
2022-08-01,1.38,2.736
2022-09-01,2.113,3.3
2022-10-01,2.203,3.255
2022-11-01,2.395,2.949
2022-12-01,2.925,3.657
2023-01-01,2.848,3.326
2023-02-01,3.303,3.678
2023-03-01,2.87,3.306
2023-04-01,2.991,3.364
2023-05-01,3.056,3.338
2023-06-01,3.498,3.386
2023-07-01,3.421,3.512
2023-08-01,3.354,3.477
2023-09-01,3.605,3.949
2023-10-01,3.451,3.886
2023-11-01,3.305,3.475
2023-12-01,2.972,2.991
2024-01-01,2.979,3.089
2024-02-01,3.068,3.281
2024-03-01,3.009,3.153
2024-04-01,3.257,3.351
2024-05-01,3.286,3.392
2024-06-01,3.155,3.411
2024-07-01,2.838,3.117
2024-08-01,2.651,3.123
2024-09-01,2.321,2.933
2024-10-01,2.463,3.102
2024-11-01,2.162,2.787
2024-12-01,2.197,3.062
2025-01-01,2.252,3.113
2025-02-01,2.23,3.086
2025-03-01,2.199,3.364
2025-04-01,1.895,3.112
2025-05-01,1.944,3.097
2025-06-01,2,3.246
2025-07-01,2.086,3.27
2025-08-01,2.048,3.33
2025-09-01,2.099,3.258
2025-10-01,2.06,3.141
2025-11-01,2.079,3.166
2025-12-01,2.179,3.292
2026-01-01,2.115,3.213
2026-02-01,2.123,3.064
2026-03-01,2.748,3.506
2026-04-01,2.753,3.499
2026-05-01,2.623,3.36
2026-06-01,2.604,3.348
