date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2000-03-31,480406.5,361647.8,247491.9,102518,115032.2,104066.7,114621.5
2000-06-30,485725.3,366591.6,249578.8,103547.6,121043.9,108751.9,115155.9
2000-09-30,489491.4,371616.7,250929.6,105990.4,122785.3,112715.5,115556.1
2000-12-31,492466.6,375630.5,251453,106045.1,126555.3,115507.5,115732.6
2001-03-31,495023.1,379033.6,253885.4,106873.4,127067.4,113572,115869.9
2001-06-30,495135.6,381411.4,255688.4,106383.4,124975.4,113119.3,116007.3
2001-09-30,497995.3,385022.2,257081.7,106355.2,124911.8,112360.3,116351.7
2001-12-31,495820.3,385784.2,258525.3,106754.6,121898,111011.8,116569.2
2002-03-31,498652.7,390223.7,259342.5,105183.9,124904.4,113910.9,116766.4
2002-06-30,500994.2,393493.8,261062,105196.3,128658.5,115315.7,117838.8
2002-09-30,503085.6,397292.2,262864.7,105694.4,127457.9,115543.9,118507.8
2002-12-31,503527.6,399424.8,264135.1,106904.9,128676.5,116709.3,119412.9
2003-03-31,505050.4,401683,265076.6,107085,126180.3,115707.1,119724.2
2003-06-30,502800.2,402168.8,265323.1,106961.8,124322.7,115037.6,120526.4
2003-09-30,508259.5,409017,266843.9,109538.4,124429.9,116277.7,121052.7
2003-12-31,510016.6,411938.4,267443.2,109444.6,127917.5,117559.1,121891.5
2004-03-31,515557,418194.5,269057.7,110277.7,128894.6,118745,122445.6
2004-06-30,517807.4,420765.1,270182.5,110965.6,131563.4,121429.2,123092.3
2004-09-30,519650.6,424008.7,270109.8,111470.2,131317.9,123005.3,123453.3
2004-12-31,524261.4,429983.7,274236.6,112916.5,134496.7,125274.4,123921.2
2005-03-31,525870.7,433628.3,275502.4,113622.8,134158.1,127140.8,124430.2
2005-06-30,526981.1,437242.9,276580.4,114070.7,135281.5,127794.4,125069.2
2005-09-30,530980.9,442577.1,278021.4,115767.4,138408.7,130826.9,125614.4
2005-12-31,534662,447086.2,280645,116432.2,141748,134536.8,125722.2
2006-03-31,539365.2,452833.1,283146.4,117741.7,144613.5,135834.1,126608
2006-06-30,545815.8,460518.1,285656.7,120316.5,146869.4,138763.3,126929.9
2006-09-30,546190.1,464698,286614.5,120973.3,143127,137998.4,126864.2
2006-12-31,549211.2,470130.1,287630.9,122779.4,147071.7,140921.6,127632.7
2007-03-31,554942.8,477250.5,290152.4,125217.9,147691.5,142126.5,128396.7
2007-06-30,558538.8,482863.4,293018.5,126479.6,150078.1,146080.8,129123.3
2007-09-30,560315.6,487322.8,295215.2,127639,150594.7,147837.8,129688.3
2007-12-31,560948.2,491859,296038.9,128175.4,149367.9,146633,129816.4
2008-03-31,565819.1,499412.3,295131.2,130947.5,156202.2,149835.1,129829.5
2008-06-30,561540.4,499136.2,294811.2,129264.9,151370.9,147530.6,129900.7
2008-09-30,560160.3,498007.9,295280.3,128075,149023.7,148365.3,130898.4
2008-12-31,553095.3,492562.7,294547.1,124402.6,143173.6,143192.3,131728.8
2009-03-31,542734.4,482129.5,294038.6,119056.7,134585.8,135169.6,132849.2
2009-06-30,543663.2,482719.6,295746.3,115996.4,134320.7,133153.6,134094.4
2009-09-30,544530.4,483342,295961.5,115153.9,134556.3,132029.9,134861.1
2009-12-31,548508.7,488749.5,298585.2,116031.1,134601.7,136759.1,135346.1
2010-03-31,550315.8,492319,299394.4,116619,140886.2,139020,135484
2010-06-30,552846.7,496986.6,300277.2,117443.9,144997.6,143883,135640.7
2010-09-30,556454,501518.5,302499.2,119145.7,146989.5,148454.9,136057.7
2010-12-31,559887.4,503066,304990.7,119724.2,148503.7,149198.4,136378.4
2011-03-31,567217.2,512799.6,307060.7,119944.2,152190.4,155925.6,137164.8
2011-06-30,567249.8,513551.9,303099.6,120369.4,154051.2,153154.1,137420.8
2011-09-30,569023.5,515277.6,303238.2,120967.8,156079.4,154197.4,138273.8
2011-12-31,571138.5,519351.4,302606.8,122189.9,158212.1,152876.7,138717.8
2012-03-31,570836.3,520512.2,303014.8,121431.2,158457.2,153743.8,139316.9
2012-06-30,568525.9,520531.8,302583,120219.1,159031.5,154211.4,139988.9
2012-09-30,570259.3,523614,302925.1,120620.8,160632.4,156005,140363.1
2012-12-31,570217.7,523425.8,303638.6,119959,159722.8,154906.7,140898.1
2013-03-31,571265.3,526828.4,303769.8,119184.2,160963.7,155443.6,141612.4
2013-06-30,576278.2,532576,304776.5,119991.6,165487.2,159060.5,142525
2013-09-30,574928.3,530644.2,305062.4,120329.4,164062.1,160632,142854.1
2013-12-31,578487.8,533079.4,306862.2,121738.4,165793.6,162727.5,143285
2014-03-31,578466.3,535044.2,305933.2,120218.1,167433.6,163788.6,143647.8
2014-06-30,579872.7,537420.9,307945.9,120148.6,167570.9,164558.1,144055.9
2014-09-30,583600.8,541824,308746.1,120366.1,168876.6,167392.2,144783.1
2014-12-31,582009.6,542196.1,310702.2,118679.9,170370.1,169097.7,145214.5
2015-03-31,585386,546860.4,312163.5,119580.3,173361.6,172029.9,145477.7
2015-06-30,585761.7,548781.3,312595.9,119282.9,176397.3,173145.5,145680.8
2015-09-30,587272.5,552448.4,314058.5,120187.7,175617.3,175947.3,146010.8
2015-12-31,588728.1,554657.4,313939.6,122394.5,178272.8,181151.3,146600.4
2016-03-31,590572.6,557440.8,317160.7,123111.3,177874.7,181232.4,147119.8
2016-06-30,589500.1,555443.7,317388.4,122744.8,177413.3,178084.6,147530.6
2016-09-30,590295.3,557035.6,317608.2,123603.2,179708.1,183471.2,148526.2
2016-12-31,594026.7,560690.3,319881.9,124348.3,181919,185047.2,149307.2
2017-03-31,598039.4,565953.8,320956.5,126348.3,182897.7,186906.9,149631.7
2017-06-30,602602.4,571707.7,322388.7,127599.4,187051.2,188351.1,150471.7
2017-09-30,606878.2,575960.3,324544.6,129301,188889.7,193037.7,151228.4
2017-12-31,610540.5,580763.2,325036.2,130558,192379.1,194381.1,151408.9
2018-03-31,610316.7,582838.2,326011,130732.2,192810.3,195436.5,151343.1
2018-06-30,611884.9,585324.1,326088.2,131816.1,193879.3,197524.3,151802.4
2018-09-30,614855.6,591372.8,326846.9,133327.9,194899.1,195994.8,151821.7
2018-12-31,619440.3,597369,327454.7,135309,196932.8,196859.6,152643.6
2019-03-31,625203,604140.6,330276.4,136496.4,201436.1,201641.7,153186.8
2019-06-30,628642.1,609257.9,332940.3,138219.8,200883.1,202049.8,153626.5
2019-09-30,628588.4,611437.9,332978.2,139526.3,197705.4,200845,153858.5
2019-12-31,625491,610517.6,332454.3,139510.5,195704.4,197685.6,153401.9
2020-03-31,593923.8,587117.6,315265.3,131114.4,182449.6,186630.3,148231
2020-06-30,521281.7,533161.4,282757.9,114652.7,138163.5,154699.3,133093.8
2020-09-30,601324.3,596009.7,331291.2,133506.1,164389.3,178954.2,153020.7
2020-12-31,600717.1,601028.4,312432.6,140191.8,176617.7,181177.8,152920
2021-03-31,603222.7,607008.9,312776.7,141187.4,178897.1,184510,153106.7
2021-06-30,610487.7,617224.9,321076.8,143228.3,179608,187240.2,154314.6
2021-09-30,628780.3,637200.9,337051,143062.7,183488.9,188363.4,158632.7
2021-12-31,632217.5,643484.1,336303.6,142074,192779.4,197578.4,159958.7
2022-03-31,631683.7,648817.8,333071.2,141778,200130.6,201874.8,160401
2022-06-30,634331.4,655201.7,337777.6,141026.1,197520.3,202541.6,159850.6
