date,EWQ
2015-01-01,24.95
2015-01-02,26.5
2015-01-03,25.98
2015-01-04,27.16
2015-01-05,26.93
2015-01-06,25.73
2015-01-07,26.78
2015-01-08,25.02
2015-01-09,24.07
2015-01-10,25.79
2015-01-11,25.19
2015-01-12,24.21
2016-01-01,23.29
2016-01-02,22.7
2016-01-03,24.18
2016-01-04,24.75
2016-01-05,24.7
2016-01-06,22.87
2016-01-07,23.95
2016-01-08,23.87
2016-01-09,24.16
2016-01-10,24.05
2016-01-11,23.45
2016-01-12,24.67
2017-01-01,25.01
2017-01-02,24.91
2017-01-03,26.51
2017-01-04,28.02
2017-01-05,29.39
2017-01-06,28.76
2017-01-07,29.44
2017-01-08,29.7
2017-01-09,30.9
2017-01-10,31.39
2017-01-11,31.36
2017-01-12,31.22
2018-01-01,33.33
2018-01-02,31.63
2018-01-03,31.4
2018-01-04,32.68
2018-01-05,31.82
2018-01-06,30.52
2018-01-07,31.72
2018-01-08,31.02
2018-01-09,31.39
2018-01-10,28.41
2018-01-11,28.08
2018-01-12,26.52
2019-01-01,28.15
2019-01-02,29.35
2019-01-03,29.47
2019-01-04,30.89
2019-01-05,29
2019-01-06,30.65
2019-01-07,29.79
2019-01-08,29.49
2019-01-09,30.14
2019-01-10,31.23
2019-01-11,31.66
2019-01-12,32.71
2020-01-01,31.4
2020-01-02,28.93
2020-01-03,23.44
2020-01-04,24.48
2020-01-05,25.93
2020-01-06,27.42
2020-01-07,27.95
2020-01-08,29.26
2020-01-09,27.94
2020-01-10,26.67
2020-01-11,32.49
2020-01-12,33.26
2021-01-01,32.39
2021-01-02,33.87
2021-01-03,34.83
2021-01-04,36.98
2021-01-05,38.98
2021-01-06,37.85
2021-01-07,38.34
2021-01-08,38.67
2021-01-09,37.24
2021-01-10,39.31
2021-01-11,37.79
2021-01-12,38.88
2022-01-01,37.89
2022-01-02,35.33
2022-01-03,35.33
2022-01-04,32.95
2022-01-05,34.3
2022-01-06,30.01
2022-01-07,31.97
2022-01-08,29.64
2022-01-09,26.8
2022-01-10,29.69
2022-01-11,33.78
2022-01-12,33.12
2023-01-01,36.96
2023-01-02,36.52
2023-01-03,37.8
2023-01-04,39.57
2023-01-05,37
2023-01-06,38.53
2023-01-07,39.15
2023-01-08,37.66
2023-01-09,35.59
2023-01-10,34.45
2023-01-11,37.57
2023-01-12,39.18
2024-01-01,38.77
2024-01-02,40.21
2024-01-03,41.41
2024-01-04,40.04
2024-01-05,41.7
2024-01-06,37.78
2024-01-07,38.51
2024-01-08,39.88
2024-01-09,40.4
2024-01-10,37.91
2024-01-11,36.25
2024-01-12,35.88
2025-01-01,38.63
2025-01-02,39.54
2025-01-03,39.8
2025-01-04,41.04
2025-01-05,42.49
2025-01-06,42.8
2025-01-07,41.94
2025-01-08,42.59
2025-01-09,43.93
2025-01-10,44.28
2025-01-11,44.57
2025-01-12,44.99
2026-01-01,45.35
2026-01-02,47.87
2026-01-03,43.38
2026-01-04,46.5
