date,FR.INDU,FR.SERV,FR.CONS,FR.RETA,FR.BUIL,FR.ESI,FR.EEI
2000-01-01,6.6,12.1,-1.4,-3.9,28.0,117.3,114.2
2000-02-01,9.6,11.4,-1.9,-3.2,24.8,118.8,111.2
2000-03-01,11.7,11.1,-1.0,0.9,29.9,121.2,109.3
2000-04-01,12.4,9.5,0.2,-2.1,32.8,120.8,105.7
2000-05-01,13.4,11.8,-0.1,-6.1,30.3,120.7,112.5
2000-06-01,15.3,14.4,-0.1,-4.9,39.4,123.2,119.0
2000-07-01,14.0,10.0,1.2,-1.4,41.5,122.2,113.9
2000-08-01,13.8,12.0,-0.9,-1.7,42.3,121.9,117.3
2000-09-01,13.3,13.7,-3.1,-3.1,42.9,121.3,119.8
2000-10-01,13.1,12.3,-0.8,-7.5,42.7,122.3,114.0
2000-11-01,11.8,9.7,-0.7,-12.2,36.4,119.1,118.4
2000-12-01,5.8,10.4,1.3,-9.7,36.2,116.7,124.1
2001-01-01,4.6,10.8,1.9,-0.6,32.1,116.9,119.2
2001-02-01,5.5,13.5,0.4,-3.1,30.2,117.5,118.5
2001-03-01,2.4,14.7,-0.8,-3.5,21.6,115.5,117.4
2001-04-01,-1.6,11.4,-1.3,-11.4,23.3,111.3,114.1
2001-05-01,-2.1,7.3,-4.7,-12.3,23.3,107.0,111.6
2001-06-01,-1.9,6.4,-4.8,-7.7,23.5,107.8,110.8
2001-07-01,-3.8,1.2,-4.7,-9.5,16.3,104.8,104.2
2001-08-01,-7.8,1.0,-6.1,-8.6,14.2,101.5,103.2
2001-09-01,-12.1,0.7,-7.6,-9.0,11.9,98.0,101.3
2001-10-01,-13.8,-7.5,-6.5,-9.0,5.5,95.0,113.9
2001-11-01,-19.1,-8.4,-5.0,-11.0,12.6,92.1,102.6
2001-12-01,-15.0,-8.5,-4.1,-12.3,11.9,94.2,103.5
2002-01-01,-10.9,-5.7,-4.1,-0.9,7.2,99.3,99.2
2002-02-01,-9.1,-3.3,-4.0,-6.5,9.0,100.8,104.6
2002-03-01,-7.2,0.7,-3.8,-10.8,9.7,103.1,102.2
2002-04-01,-7.4,4.7,-5.3,-12.2,4.8,104.0,108.3
2002-05-01,-1.9,5.4,-2.2,-9.0,3.8,108.6,107.0
2002-06-01,-3.7,0.7,-3.0,-12.3,3.3,105.2,105.7
2002-07-01,-7.7,-2.9,-4.3,-11.6,0.2,101.2,106.3
2002-08-01,-7.2,-4.4,-5.4,-8.1,-6.1,100.1,100.1
2002-09-01,-7.1,-5.5,-6.7,-5.5,-11.9,99.0,92.8
2002-10-01,-8.8,-5.3,-5.3,-10.8,-6.9,98.7,95.7
2002-11-01,-9.6,-5.2,-5.1,-8.1,-13.3,97.7,104.4
2002-12-01,-5.4,-1.5,-4.5,-9.4,-12.8,102.0,97.7
2003-01-01,-6.0,-5.2,-6.8,-8.6,-5.6,100.9,98.5
2003-02-01,-8.8,-3.1,-9.2,-15.6,-4.8,98.6,96.3
2003-03-01,-12.2,-8.3,-11.4,-19.2,-7.9,93.9,92.5
2003-04-01,-10.9,-9.7,-10.0,-20.6,-4.4,95.3,92.7
2003-05-01,-10.7,-7.0,-10.1,-15.5,-4.7,97.1,91.5
2003-06-01,-13.5,-7.2,-10.0,-13.7,-7.5,95.5,93.5
2003-07-01,-9.8,-5.2,-9.6,-15.0,-5.1,97.3,94.7
2003-08-01,-10.8,-4.5,-10.1,-18.8,-2.4,96.7,96.7
2003-09-01,-12.1,-3.4,-10.8,-22.5,1.1,96.1,97.1
2003-10-01,-9.5,-3.2,-10.0,-18.5,0.3,97.6,95.4
2003-11-01,-4.6,-1.7,-9.7,-14.1,2.0,102.4,93.1
