date,EWH
2015-01-01,21.67
2015-02-01,21.71
2015-03-01,21.93
2015-04-01,23.79
2015-05-01,23.68
2015-06-01,22.56
2015-07-01,22.23
2015-08-01,19.28
2015-09-01,19.12
2015-10-01,20.51
2015-11-01,20.09
2015-12-01,19.82
2016-01-01,17.97
2016-02-01,18.09
2016-03-01,19.77
2016-04-01,19.78
2016-05-01,19.75
2016-06-01,19.58
2016-07-01,20.9
2016-08-01,21.03
2016-09-01,22.01
2016-10-01,21.57
2016-11-01,21.17
2016-12-01,19.48
2017-01-01,21.03
2017-02-01,21.61
2017-03-01,22.25
2017-04-01,22.9
2017-05-01,23.65
2017-06-01,23.43
2017-07-01,24.28
2017-08-01,24.69
2017-09-01,24.69
2017-10-01,24.68
2017-11-01,25.66
2017-12-01,25.42
2018-01-01,26.6
2018-02-01,25.58
2018-03-01,25.31
2018-04-01,25.71
2018-05-01,25.99
2018-06-01,24.21
2018-07-01,24.76
2018-08-01,24.15
2018-09-01,23.92
2018-10-01,21.37
2018-11-01,23.08
2018-12-01,22.57
2019-01-01,24.73
2019-02-01,25.86
2019-03-01,26.21
2019-04-01,26.48
2019-05-01,24.66
2019-06-01,25.88
2019-07-01,24.85
2019-08-01,22.84
2019-09-01,22.7
2019-10-01,23.78
2019-11-01,23.54
2019-12-01,24.33
2020-01-01,22.91
2020-02-01,22.97
2020-03-01,19.94
2020-04-01,21.15
2020-05-01,19.84
2020-06-01,21.37
2020-07-01,21.11
2020-08-01,22.7
2020-09-01,21.92
2020-10-01,21.5
2020-11-01,23.79
2020-12-01,24.64
2021-01-01,25.06
2021-02-01,26.31
2021-03-01,26.58
2021-04-01,27.27
2021-05-01,28.1
2021-06-01,26.72
2021-07-01,26.08
2021-08-01,25.77
2021-09-01,23.98
2021-10-01,24.54
2021-11-01,23.29
2021-12-01,23.19
2022-01-01,23.71
2022-02-01,22.68
2022-03-01,22.57
2022-04-01,21.37
2022-05-01,22.17
2022-06-01,22.2
2022-07-01,21.25
2022-08-01,20.44
2022-09-01,18.24
2022-10-01,16.1
2022-11-01,20.01
2022-12-01,21.01
2023-01-01,22.05
2023-02-01,20.38
2023-03-01,20.55
2023-04-01,20.83
2023-05-01,18.95
2023-06-01,19.33
2023-07-01,20.01
2023-08-01,18.15
2023-09-01,17.15
2023-10-01,16.78
2023-11-01,16.81
2023-12-01,17.37
2024-01-01,15.68
2024-02-01,16.33
2024-03-01,15.55
2024-04-01,16.04
2024-05-01,16.72
2024-06-01,15.3
2024-07-01,15.25
2024-08-01,16.18
2024-09-01,18.66
2024-10-01,17.87
2024-11-01,17.44
2024-12-01,16.66
2025-01-01,16.5
2025-02-01,17.59
2025-03-01,17.51
2025-04-01,17.52
2025-05-01,18.94
2025-06-01,19.86
2025-07-01,20.7
2025-08-01,21.16
2025-09-01,21.55
2025-10-01,21.54
2025-11-01,22.24
2025-12-01,21.25
2026-01-01,23.38
2026-02-01,24.21
2026-03-01,23.09
2026-04-01,23.72
2026-05-01,23.11
