date,HK2YT,HK10YT
2015-01-01,0.405,1.389
2015-02-01,0.514,1.582
2015-03-01,0.485,1.502
2015-04-01,0.376,1.544
2015-05-01,0.445,1.617
2015-06-01,0.38,1.814
2015-07-01,0.415,1.799
2015-08-01,0.537,1.875
2015-09-01,0.396,1.591
2015-10-01,0.388,1.579
2015-11-01,0.56,1.595
2015-12-01,0.545,1.593
2016-01-01,0.883,1.662
2016-02-01,0.651,1.342
2016-03-01,0.591,1.278
2016-04-01,0.675,1.32
2016-05-01,0.711,1.328
2016-06-01,0.482,1.048
2016-07-01,0.535,0.937
2016-08-01,0.53,0.967
2016-09-01,0.489,0.961
2016-10-01,0.572,1.088
2016-11-01,0.814,1.398
2016-12-01,1.104,1.901
2017-01-01,1.077,1.932
2017-02-01,1.02,1.794
2017-03-01,0.892,1.617
2017-04-01,0.803,1.445
2017-05-01,0.677,1.299
2017-06-01,0.854,1.51
2017-07-01,0.789,1.5
2017-08-01,0.795,1.475
2017-09-01,0.888,1.713
2017-10-01,1.062,1.824
2017-11-01,1.221,1.872
2017-12-01,1.333,1.81
2018-01-01,1.295,2.031
2018-02-01,1.265,2.018
2018-03-01,1.415,1.967
2018-04-01,1.67,2.186
2018-05-01,1.76,2.179
2018-06-01,1.889,2.222
2018-07-01,1.768,2.198
2018-08-01,1.986,2.2
2018-09-01,2.173,2.4
2018-10-01,2.12,2.426
2018-11-01,2.128,2.286
2018-12-01,1.729,1.984
2019-01-01,1.537,1.823
2019-02-01,1.519,1.792
2019-03-01,1.44,1.471
2019-04-01,1.758,1.666
2019-05-01,1.788,1.59
2019-06-01,1.595,1.684
2019-07-01,1.718,1.637
2019-08-01,1.702,1.13
2019-09-01,1.59,1.241
2019-10-01,1.684,1.541
2019-11-01,1.712,1.527
2019-12-01,1.779,1.822
2020-01-01,1.59,1.4
2020-02-01,1.09,1.054
2020-03-01,0.612,0.75
2020-04-01,0.363,0.604
2020-05-01,0.613,0.678
2020-06-01,0.285,0.651
2020-07-01,0.104,0.416
2020-08-01,0.262,0.578
2020-09-01,0.156,0.472
2020-10-01,0.136,0.583
2020-11-01,0.145,0.673
2020-12-01,0.146,0.779
2021-01-01,0.168,0.821
2021-02-01,0.175,1.336
2021-03-01,0.164,1.435
2021-04-01,0.14,1.26
2021-05-01,0.109,1.184
2021-06-01,0.159,1.207
2021-07-01,0.103,0.939
2021-08-01,0.144,1.013
2021-09-01,0.196,1.29
2021-10-01,0.34,1.479
2021-11-01,0.52,1.481
2021-12-01,0.672,1.445
2022-01-01,0.795,1.649
2022-02-01,0.979,1.825
2022-03-01,1.642,2.09
2022-04-01,2.189,2.764
2022-05-01,2.057,2.748
2022-06-01,2.601,3.028
2022-07-01,2.568,2.631
2022-08-01,3.251,3.09
2022-09-01,3.952,3.618
2022-10-01,4.529,3.994
2022-11-01,4.576,3.618
2022-12-01,4.124,3.708
2023-01-01,3.805,3.184
2023-02-01,4.106,3.903
2023-03-01,3.422,3.193
2023-04-01,3.371,3.146
2023-05-01,3.769,3.522
2023-06-01,4.094,3.739
2023-07-01,4.266,3.914
2023-08-01,3.957,3.853
2023-09-01,4.226,4.217
2023-10-01,4.321,4.38
2023-11-01,3.902,3.773
2023-12-01,3.369,3.272
2024-01-01,3.487,3.579
2024-02-01,3.709,3.855
2024-03-01,3.762,3.756
2024-04-01,4.024,4.035
2024-05-01,4.002,3.896
2024-06-01,3.864,3.582
2024-07-01,3.277,3.173
2024-08-01,2.979,2.953
2024-09-01,2.711,2.763
2024-10-01,3.117,3.133
2024-11-01,3.201,3.267
2024-12-01,3.389,3.742
2025-01-01,3.315,3.681
2025-02-01,3.118,3.48
2025-03-01,2.837,3.386
2025-04-01,2.668,3.157
2025-05-01,1.786,3.008
2025-06-01,1.78,2.973
2025-07-01,1.961,3.051
2025-08-01,2.239,3.071
2025-09-01,2.523,3.053
2025-10-01,2.523,2.98
2025-11-01,2.446,2.935
2025-12-01,2.375,3.099
2026-01-01,2.315,3.192
2026-02-01,2.109,2.818
2026-03-01,2.308,2.897
2026-04-01,2.539,3.003
2026-05-01,2.776,3.275
2026-06-01,2.924,3.293
