date,EIS
2015-01-01,46.17
2015-02-01,47.69
2015-03-01,50.59
2015-04-01,51.66
2015-05-01,51.55
2015-06-01,51.43
2015-07-01,55.21
2015-08-01,50.27
2015-09-01,48.03
2015-10-01,50.38
2015-11-01,50.57
2015-12-01,49.19
2016-01-01,46.07
2016-02-01,45.77
2016-03-01,47.8
2016-04-01,48.29
2016-05-01,47.8
2016-06-01,46.85
2016-07-01,49.26
2016-08-01,49.26
2016-09-01,48.03
2016-10-01,46.46
2016-11-01,46.77
2016-12-01,46.4
2017-01-01,48.17
2017-02-01,50.36
2017-03-01,51.25
2017-04-01,51.75
2017-05-01,52.65
2017-06-01,54.34
2017-07-01,53.47
2017-08-01,48.34
2017-09-01,49.98
2017-10-01,49.46
2017-11-01,49.83
2017-12-01,51.29
2018-01-01,53.72
2018-02-01,51.25
2018-03-01,49.53
2018-04-01,48.99
2018-05-01,51.95
2018-06-01,51.9
2018-07-01,53.56
2018-08-01,56.6
2018-09-01,56.01
2018-10-01,52.32
2018-11-01,54.69
2018-12-01,48.42
2019-01-01,53.87
2019-02-01,54.33
2019-03-01,54.06
2019-04-01,56.38
2019-05-01,52.11
2019-06-01,54.53
2019-07-01,55.28
2019-08-01,53.15
2019-09-01,54.6
2019-10-01,55.86
2019-11-01,58.79
2019-12-01,57.35
2020-01-01,58.67
2020-02-01,54.97
2020-03-01,44.9
2020-04-01,50.4
2020-05-01,52.81
2020-06-01,51.79
2020-07-01,55.08
2020-08-01,56.43
2020-09-01,52.43
2020-10-01,52.37
2020-11-01,58.85
2020-12-01,64.11
2021-01-01,63.88
2021-02-01,64.22
2021-03-01,64.5
2021-04-01,68.42
2021-05-01,68.66
2021-06-01,69.63
2021-07-01,70.79
2021-08-01,72.16
2021-09-01,71.6
2021-10-01,75.84
2021-11-01,75.2
2021-12-01,77.9
2022-01-01,73.9
2022-02-01,74.19
2022-03-01,74.21
2022-04-01,69.14
2022-05-01,65.35
2022-06-01,59.17
2022-07-01,64.06
2022-08-01,66.32
2022-09-01,57.3
2022-10-01,60.83
2022-11-01,61.32
2022-12-01,55.99
2023-01-01,58.39
2023-02-01,54.13
2023-03-01,54.72
2023-04-01,54.13
2023-05-01,52.48
2023-06-01,53.58
2023-07-01,57.15
2023-08-01,55.1
2023-09-01,54.03
2023-10-01,46.62
2023-11-01,54.21
2023-12-01,58.19
2024-01-01,58.66
2024-02-01,63.73
2024-03-01,63.77
2024-04-01,59.03
2024-05-01,61.8
2024-06-01,60.71
2024-07-01,62.13
2024-08-01,67.08
2024-09-01,67.52
2024-10-01,68.33
2024-11-01,74.27
2024-12-01,77.05
2025-01-01,80.63
2025-02-01,79.07
2025-03-01,74.36
2025-04-01,78.36
2025-05-01,84.77
2025-06-01,94.88
2025-07-01,91.82
2025-08-01,94.78
2025-09-01,100.3
2025-10-01,102.45
2025-11-01,103.76
2025-12-01,110.03
2026-01-01,118.99
2026-02-01,118.78
2026-03-01,116.04
2026-04-01,130.76
2026-05-01,137.69
