date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2022-04-01,,38000,,,,,
2022-07-01,,38900,,,,,
2022-10-01,,40600,,,,,
2023-01-01,,44100,,,,,
2023-04-01,,41700,,,,,
2023-07-01,,42500,,,,,
2023-10-01,,44400,,,,,
2024-01-01,,47800,,,,,
2024-04-01,,44400,,,,,
2024-07-01,,44900,,,,,
2024-10-01,,47300,,,,,
2025-01-01,,51400,,,,,
