date,INDY
2015-01-01,32.28
2015-02-01,33.17
2015-03-01,31.34
2015-04-01,29.31
2015-05-01,30.39
2015-06-01,29.86
2015-07-01,30.66
2015-08-01,27.42
2015-09-01,27.9
2015-10-01,27.98
2015-11-01,27.29
2015-12-01,27.19
2016-01-01,25.79
2016-02-01,23.55
2016-03-01,26.9
2016-04-01,27.04
2016-05-01,27.89
2016-06-01,28.3
2016-07-01,29.78
2016-08-01,30.07
2016-09-01,29.8
2016-10-01,29.66
2016-11-01,27.56
2016-12-01,27.34
2017-01-01,29.22
2017-02-01,30.41
2017-03-01,32.33
2017-04-01,33.04
2017-05-01,34.1
2017-06-01,33.61
2017-07-01,35.75
2017-08-01,35.3
2017-09-01,34.1
2017-10-01,36.17
2017-11-01,35.77
2017-12-01,37.12
2018-01-01,38.88
2018-02-01,35.77
2018-03-01,35.36
2018-04-01,36.04
2018-05-01,35.56
2018-06-01,35.19
2018-07-01,37.47
2018-08-01,37.25
2018-09-01,34.2
2018-10-01,31.81
2018-11-01,35.38
2018-12-01,35.32
2019-01-01,34.86
2019-02-01,34.57
2019-03-01,37.92
2019-04-01,38.2
2019-05-01,39.12
2019-06-01,38.39
2019-07-01,36.23
2019-08-01,34.78
2019-09-01,36.7
2019-10-01,37.59
2019-11-01,37.74
2019-12-01,38.62
2020-01-01,37.55
2020-02-01,35.14
2020-03-01,25.65
2020-04-01,28.63
2020-05-01,28.86
2020-06-01,30.91
2020-07-01,33.27
2020-08-01,34.91
2020-09-01,34.83
2020-10-01,35.11
2020-11-01,38.99
2020-12-01,42.44
2021-01-01,41.68
2021-02-01,43.83
2021-03-01,44.87
2021-04-01,43.47
2021-05-01,46.86
2021-06-01,46.74
2021-07-01,46.84
2021-08-01,51.23
2021-09-01,51.59
2021-10-01,51.68
2021-11-01,49.58
2021-12-01,47.31
2022-01-01,47.84
2022-02-01,45.33
2022-03-01,46.16
2022-04-01,44.77
2022-05-01,43.05
2022-06-01,41.03
2022-07-01,44.22
2022-08-01,44.3
2022-09-01,42.21
2022-10-01,43.72
2022-11-01,46.42
2022-12-01,42.31
2023-01-01,42.28
2023-02-01,40.92
2023-03-01,41.11
2023-04-01,42.71
2023-05-01,42.98
2023-06-01,45.04
2023-07-01,46.09
2023-08-01,45.01
2023-09-01,45.19
2023-10-01,44.07
2023-11-01,46.36
2023-12-01,49.25
2024-01-01,49.38
2024-02-01,50.04
2024-03-01,50.44
2024-04-01,50.58
2024-05-01,51.11
2024-06-01,53.66
2024-07-01,54.88
2024-08-01,55.21
2024-09-01,56.3
2024-10-01,53.27
2024-11-01,52.93
2024-12-01,50.84
2025-01-01,50.01
2025-02-01,47.57
2025-03-01,50.77
2025-04-01,52.92
2025-05-01,53.36
2025-06-01,54.38
2025-07-01,51.66
2025-08-01,50.9
2025-09-01,50.9
2025-10-01,52.98
2025-11-01,53.77
2025-12-01,49.29
2026-01-01,47.08
2026-02-01,47.19
2026-03-01,42.24
2026-04-01,43.71
2026-05-01,42.7
