date,IN2YT,IN10YT
2015-01-01,7.78,7.691
2015-01-02,7.757,7.724
2015-01-03,7.828,7.738
2015-01-04,7.882,7.86
2015-01-05,7.784,7.815
2015-01-06,7.801,7.861
2015-01-07,7.807,7.806
2015-01-08,7.87,7.784
2015-01-09,7.563,7.539
2015-01-10,7.411,7.64
2015-01-11,7.465,7.786
2015-01-12,7.363,7.758
2016-01-01,7.325,7.779
2016-01-02,7.407,7.623
2016-01-03,7.271,7.459
2016-01-04,7.164,7.435
2016-01-05,7.116,7.471
2016-01-06,7.029,7.448
2016-01-07,6.855,7.163
2016-01-08,6.837,7.11
2016-01-09,6.691,6.958
2016-01-10,6.543,6.885
2016-01-11,5.99,6.243
2016-01-12,6.372,6.512
2017-01-01,6.281,6.407
2017-01-02,6.442,6.87
2017-01-03,6.455,6.658
2017-01-04,6.593,6.961
2017-01-05,6.524,6.661
2017-01-06,6.376,6.511
2017-01-07,6.308,6.465
2017-01-08,6.35,6.525
2017-01-09,6.402,6.663
2017-01-10,6.475,6.862
2017-01-11,6.582,7.058
2017-01-12,6.729,7.326
2018-01-01,6.86,7.43
2018-01-02,6.85,7.726
2018-01-03,6.849,7.398
2018-01-04,7.33,7.767
2018-01-05,7.552,7.826
2018-01-06,7.509,7.903
2018-01-07,7.581,7.772
2018-01-08,7.759,7.951
2018-01-09,7.867,8.024
2018-01-10,7.592,7.853
2018-01-11,7.3,7.607
2018-01-12,7.014,7.37
2019-01-01,6.935,7.483
2019-01-02,6.731,7.591
2019-01-03,6.515,7.346
2019-01-04,6.722,7.414
2019-01-05,6.397,7.032
2019-01-06,6.298,6.879
2019-01-07,6.019,6.369
2019-01-08,5.836,6.556
2019-01-09,5.793,6.695
2019-01-10,5.607,6.643
2019-01-11,5.524,6.46
2019-01-12,5.776,6.554
2020-01-01,5.671,6.599
2020-01-02,5.49,6.371
2020-01-03,5.042,6.138
2020-01-04,4.467,6.11
2020-01-05,4.274,6.013
2020-01-06,4.173,5.888
2020-01-07,4.191,5.837
2020-01-08,4.464,6.078
2020-01-09,4.428,6.015
2020-01-10,4.19,5.881
2020-01-11,3.918,5.911
2020-01-12,3.865,5.894
2021-01-01,4.187,5.949
2021-01-02,4.715,6.229
2021-01-03,4.537,6.177
2021-01-04,4.462,6.03
2021-01-05,4.379,6.022
2021-01-06,4.593,6.051
2021-01-07,4.228,6.204
2021-01-08,4.442,6.215
2021-01-09,4.699,6.223
2021-01-10,4.83,6.388
2021-01-11,4.728,6.326
2021-01-12,4.996,6.454
2022-01-01,5.008,6.684
2022-01-02,4.843,6.77
2022-01-03,4.972,6.843
2022-01-04,5.492,7.139
2022-01-05,6.377,7.415
2022-01-06,6.528,7.45
2022-01-07,6.406,7.32
2022-01-08,6.594,7.188
2022-01-09,7.086,7.398
2022-01-10,7.007,7.445
2022-01-11,6.863,7.28
2022-01-12,6.955,7.327
2023-01-01,7.063,7.343
2023-01-02,7.315,7.457
2023-01-03,7.048,7.315
2023-01-04,6.887,7.116
2023-01-05,6.802,6.989
2023-01-06,6.944,7.11
2023-01-07,7.076,7.172
2023-01-08,7.109,7.166
2023-01-09,7.256,7.21
2023-01-10,7.319,7.351
2023-01-11,7.263,7.279
2023-01-12,7.08,7.176
2024-01-01,6.999,7.144
2024-01-02,7.026,7.078
2024-01-03,7.026,7.052
2024-01-04,7.138,7.195
2024-01-05,6.995,6.986
2024-01-06,6.949,7.008
2024-01-07,6.817,6.924
2024-01-08,6.745,6.863
2024-01-09,6.656,6.75
2024-01-10,6.692,6.841
2024-01-11,6.67,6.751
2024-01-12,6.67,6.76
2025-01-01,6.6,6.69
2025-01-02,6.55,6.72
2025-01-03,6.41,6.57
2025-01-04,6.007,6.352
2025-01-05,5.678,6.21
2025-01-06,5.757,6.316
2025-01-07,5.716,6.376
2025-01-08,5.833,6.588
2025-01-09,5.722,6.571
2025-01-10,5.734,6.529
2025-01-11,5.733,6.528
2025-01-12,5.752,6.588
2026-01-01,5.851,6.695
2026-01-02,5.659,6.661
2026-01-03,6.387,6.961
2026-01-04,6.055,6.938
