date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1995-03-31,373226.38,223172.91,,,,,
1995-06-30,374397.67,214153.77,,,,,
1995-09-30,373621.06,228800.34,,,,,
1995-12-31,376846.33,234945.27,,,,,
1996-03-31,402980.1,247500.67,231231.7,67785.2,82918.6,66619,76930.4
1996-06-30,403560.4,259104.1,230741.8,76148.1,82757.1,64177.1,76023
1996-09-30,404270.1,262518.1,230299.7,79453.2,82567.5,64455,76599.3
1996-12-31,402949.4,266172.71,231813.8,78108.7,83949.2,66523.4,76456.9
1997-03-31,404103.7,268846.02,233626.3,77202.2,84624.3,68049.5,75249.5
1997-06-30,410644.4,272455.33,238616.7,76314.9,87055,71999.4,77039.4
1997-09-30,412372.3,277093.16,241619.1,76164.8,88358.4,74131.2,77273.5
1997-12-31,418506.2,280209.79,243063,78963.4,89336.1,75537.6,77321.8
1998-03-31,416543,279538.28,244607,78436.8,91474.5,79226.3,76923.7
1998-06-30,418879.9,283345.28,246351.5,79845.5,90706.9,78490.5,78536.3
1998-09-30,419280.5,284126.12,248749.8,80311.6,88475.1,78097.8,78742.6
1998-12-31,417902.6,287612.87,249828,81446.4,86579.1,79700.4,79190.3
1999-03-31,419848.9,289464.9,250836.1,83296.1,86272.8,80909.3,80248.6
1999-06-30,421554,290786.6,253332,83246,86184.2,80274.3,78772
1999-09-30,425981.4,294324,256212.8,83327.5,87711,82310.4,78203.6
1999-12-31,432487.6,300072.3,257024.8,84645.6,92064.3,85517.1,80002
2000-03-31,437723.6,305830.5,258720.8,88706.1,96551.6,87562,81390
2000-06-30,440541.2,308532.6,261071.9,89728,97199.2,90501.9,81224.7
2000-09-30,444421,313088.5,262012.8,91067.4,101176.6,94491.8,82807.9
2000-12-31,448692.1,318104.9,263175.6,89789.3,103380.2,95429.3,82813
2001-03-31,452487.4,323346.2,264003.2,91543.4,102822.2,93511.4,86191.9
2001-06-30,452123,326056.7,263602.7,92551,103944.9,95102,85687.5
2001-09-30,450184.1,327972.3,262399.6,91632.3,100739.8,94141.3,86171.7
2001-12-31,449515.8,330211,262355.4,91730.4,99921.1,92564.2,88185.6
2002-03-31,450180.2,333921,262904,94131.2,99478.1,93707.8,86873.3
2002-06-30,451616.2,336769.8,262236.4,92469.7,98618.8,93550.9,88230.9
2002-09-30,452141,340321.7,262597.6,94969.2,98760.7,93601,88561.4
2002-12-31,454833.3,343140.9,264714.2,99077.9,100346,97350.7,87193
2003-03-31,453048.9,345693.7,264182.9,95036.4,98745.1,97019.4,88210.2
2003-06-30,451998.1,348074.7,264413.8,94862.2,95475.2,94756.2,88448.5
2003-09-30,450966.7,351889.9,265535.2,93170.8,97726.6,93616,89598.6
2003-12-31,455394.7,353425.9,265705.2,94785.9,99324.5,95105.3,89393.3
2004-03-31,457004.9,357024.9,266680.5,95826.3,100669.5,97602.9,89124.1
2004-06-30,458397.4,362769.4,266834.4,96213.1,103578.6,98548.9,89386.6
2004-09-30,458850.4,365185.3,267659.2,94954,104558.1,99244,90048.1
2004-12-31,459873.6,368967.2,268930.3,95208.8,103601.6,100248,89998.4
2005-03-31,459176.4,369421.9,268622.2,95887.6,104442.3,101308.6,91150.2
2005-06-30,462928.7,372465.4,270597.6,97266.1,106742.2,102844.2,89832.9
2005-09-30,465434.4,376627.1,272134.2,98423.6,107933,102952.3,90216.1
2005-12-31,467557.1,382662,272597.4,98952.9,110437.5,105231.8,89243.5
2006-03-31,469127.3,383577.7,274116.4,99165,113769.6,109597.8,89247.3
2006-06-30,470613,389344,273789.3,99811.9,115782.5,110081.3,89426
2006-09-30,472022.5,392188.8,274203.4,99503.6,115217.2,111442.8,89069.4
2006-12-31,478509.3,398336.9,276034.8,103134.8,121561.7,115986,90427.9
2007-03-31,478056.5,400019.8,277167.7,101956.1,121966.1,117133.5,89947.8
2007-06-30,479215.3,403615,278515.8,101781.2,122916.3,116463.1,89864.3
2007-09-30,479123,407691,277691.9,102061.7,123945.1,117856.7,89561.8
2007-12-31,478117.4,411236.1,277311.8,100728.1,123339.6,116910.1,90118.7
2008-03-31,483348.7,414295.2,277517.1,101503.2,125231.6,116520.5,90772
2008-06-30,478846.8,416288,275990,100680.9,122158.7,115042.2,92051
2008-09-30,471642.8,410922,273722,97765,117574.5,110848.4,90710.7
2008-12-31,460392.3,402468.4,271679,92681.5,109952.3,105576.1,90938.6
2009-03-31,449089.5,395565.1,271063.6,88794,97615.1,98076,90519.4
2009-06-30,446680.5,394287.6,270006.6,88373.4,95312.6,94566.8,90958.6
2009-09-30,448181,396421.5,270718.7,86142.1,97906,96582.3,92760
2009-12-31,449382.5,397733,271012.7,88374.4,100104,99345,91412.8
2010-03-31,451102.2,399391.2,272173.2,86823.5,103242.4,103641.9,91598
2010-06-30,454150.5,403562,272253.5,88808.8,107647,106715,91602.6
2010-09-30,455357.7,404776.4,274180,87319.9,110502.8,109298.1,91414.4
2010-12-31,459266,409353.6,275270.7,88303.2,112814.2,114156.6,89373.9
2011-03-31,461868.5,415962,275625,88391.6,114363.7,112287.1,89482.8
2011-06-30,460767.7,414680.2,275232.4,87153.1,115345,110549.2,89122.3
2011-09-30,458661.8,415005.1,274457.7,86300.8,115156.1,109146.5,88048.8
2011-12-31,454174.1,413464.3,270496.6,85395,114783,105438.6,89141.9
2012-03-31,449440.9,411627.2,266981.1,80082.7,115573.7,102272.4,88126.5
2012-06-30,445688.8,408648.7,264687,79178,116531.8,100939,86683.8
2012-09-30,442732.2,407661.9,263159.6,77496.4,118156.2,100577.4,86902.5
2012-12-31,439332.9,405838.2,261246,75799.3,116451.8,97187.2,85784.5
2013-03-31,435692.1,402110,258152.6,73222.9,116894.6,97172.6,85890.8
2013-06-30,435590,405130.4,257513.6,73426.3,116374.6,96425.5,86624.8
2013-09-30,437046.3,407068.2,258166.2,73120.7,118250,98482.7,85519.6
2013-12-31,436403.5,407679.2,258388.3,71798.4,117326.8,98308.9,85715.1
2014-03-31,436584.1,408470.9,257678,72004.7,118473.4,99194.7,85460.1
2014-06-30,436697.8,409286.5,258115.9,71264.7,119110.2,101239.9,84877.6
2014-09-30,436732.6,409321,259145.2,70996.9,119953.4,101788.5,85623.3
2014-12-31,436030.6,410789.7,260172,71533.7,122025,101837.7,85726.4
2015-03-31,437779.3,412736,261737.1,72176,123910.9,106457.9,84883.1
2015-06-30,439660.9,415398.4,264364.7,73085.3,125208,107549.7,85025
2015-09-30,439804.5,416849.9,264086.6,72304.6,123227,106742.8,85411.7
2015-12-31,441819.3,418015,264086.5,72869.1,125593.1,108238.2,86009.7
2016-03-31,442729.3,423405.1,264846.1,74477.3,125184.3,109399.9,86237.8
2016-06-30,444163,424706.8,265056.9,74379.1,126817.9,111464.9,86299.9
2016-09-30,447201.5,428225.8,265685.5,76030.4,127803.2,111809.7,86328.5
2016-12-31,448797.1,430245.9,266797.2,77461.6,130300.2,114278.3,86779.2
2017-03-31,450968.5,432794,268417.3,76405.6,133208.3,115436.6,86508.1
2017-06-30,452898.1,435898.3,269055.2,77039.1,133850,118340.6,86548.3
2017-09-30,453248.1,436958.9,268552,79149.9,135809.3,119041.8,86659
2017-12-31,455941.3,442069.9,269224,80252.6,137527.3,122025.4,86893.5
2018-03-31,455284.6,443204.3,269948.6,79661,135939.9,119458.1,86869
2018-06-30,456554.9,444284.1,270521.7,81508.3,136409.4,121962.9,86819.5
2018-09-30,456151.4,444633.1,270169.8,80653.6,137912.1,121142.3,86474.8
2018-12-31,457420.6,446352.5,270239.8,80411.7,138506,123633,86378.2
2019-03-31,458448.3,448866.9,270883.6,81525.3,138424.9,120081.3,86409
2019-06-30,460263.9,451213.1,271806.2,83013.2,139636.3,121170,86326.4
2019-09-30,457770.6,451757,269398,81620.7,139714.3,120902.9,86319.4
2019-12-31,456565.9,452771.7,268606.9,81058.3,139150.6,119221.4,86001
2020-03-31,430560.9,426225.3,249913.8,74757.3,128359.6,111930.1,87152.2
2020-06-30,376798.2,378913.4,222950.5,63845.8,94639,90114,85435.4
2020-09-30,430208.1,430092.9,250492.2,81724,123284.2,105097.5,86816.3
2020-12-31,431386.2,433721.8,242787.3,83025.4,130280.8,111549.7,86823.1
2021-03-31,438506.2,440177.8,239771.1,87504.1,132321.7,115558.3,88238.6
2021-06-30,449590.3,454084.2,257196,91392.3,133108.4,118601.9,88279.8
2021-09-30,460164.7,468200.3,262504.6,94318.9,137708.9,122666.5,88624.1
2021-12-31,467613.8,476737.6,263110.2,95424.5,141059.3,128979.9,89095.1
2022-03-31,470944.2,485459.3,265024.9,98020.9,146538.7,135501.9,89353
2022-06-30,478265.6,499061.2,271132.6,99267.7,151431.9,138485.7,89338.5
2022-09-30,479010.4,502104.2,271792.3,99492,151631.5,140529.8,88874
2022-12-31,477931.6,510674.9,268424.4,100282.2,152241.2,137249.8,89574.9
2023-03-31,481267.5,527533.5,272312.9,108947.2,149707.1,136897.8,89623.9
2023-06-30,481387.3,535646.3,271392.8,108145.8,149216.7,138230.3,89896.1
2023-09-30,481612.7,538712.1,270108,110026.5,150846.5,134867.1,90456.9
2023-12-31,482355.7,541957.6,268485.4,110817.5,152791.6,132997.8,91005.7
2024-03-31,482823.2,546113.4,271604.3,109998.9,151657.1,132505.5,90619.6
2024-06-30,484101,547170.3,271632.7,109495.3,149570.3,133472.6,91167.5
2024-09-30,484407.4,549777.6,272057.1,108100.8,149045.9,135366.6,91137.6
2024-12-31,484731.5,553482.7,273226.8,110160.1,148651.3,135616.8,91503.6
2025-03-31,486405.1,557450.2,273824.1,111272.5,151870.2,137115.8,91184.8
2025-06-30,486303.7,561792.5,274151.4,112944.7,149235,137653.5,91347.8
2025-09-30,487197,564576.9,274417.9,113628.1,153063.1,139283.5,91500.7
2025-12-31,488784.3,,,,,,
