date,EWI
2015-01-01,27.42
2015-01-02,29.76
2015-01-03,29.6
2015-01-04,30.54
2015-01-05,31.12
2015-01-06,29.78
2015-01-07,30.96
2015-01-08,29.6
2015-01-09,28.64
2015-01-10,29.62
2015-01-11,28.78
2015-01-12,27.48
2016-01-01,24.14
2016-01-02,22.56
2016-01-03,24.4
2016-01-04,25.42
2016-01-05,24.3
2016-01-06,21.7
2016-01-07,22.38
2016-01-08,22.58
2016-01-09,22.04
2016-01-10,22.56
2016-01-11,21.75
2016-01-12,24.21
2017-01-01,23.74
2017-01-02,23.65
2017-01-03,25.74
2017-01-04,26.45
2017-01-05,27.87
2017-01-06,27.8
2017-01-07,29.76
2017-01-08,30.29
2017-01-09,31.36
2017-01-10,30.96
2017-01-11,31.01
2017-01-12,30.44
2018-01-01,33.78
2018-01-02,31.71
2018-01-03,32.15
2018-01-04,33.57
2018-01-05,30.29
2018-01-06,28.89
2018-01-07,29.87
2018-01-08,27.1
2018-01-09,27.66
2018-01-10,25.05
2018-01-11,25.39
2018-01-12,24.21
2019-01-01,26.17
2019-01-02,27.15
2019-01-03,27.79
2019-01-04,28.29
2019-01-05,25.94
2019-01-06,27.55
2019-01-07,27.03
2019-01-08,26.91
2019-01-09,27.57
2019-01-10,28.87
2019-01-11,28.89
2019-01-12,29.5
2020-01-01,28.78
2020-01-02,27.24
2020-01-03,20.77
2020-01-04,21.15
2020-01-05,22.46
2020-01-06,24.08
2020-01-07,24.73
2020-01-08,25.74
2020-01-09,24.38
2020-01-10,22.81
2020-01-11,28.56
2020-01-12,29.44
2021-01-01,28.35
2021-01-02,29.92
2021-01-03,31.51
2021-01-04,31.61
2021-01-05,33.51
2021-01-06,32.39
2021-01-07,32.49
2021-01-08,32.95
2021-01-09,31.65
2021-01-10,33.48
2021-01-11,31.46
2021-01-12,32.81
2022-01-01,32.43
2022-01-02,30.25
2022-01-03,29.53
2022-01-04,27.43
2022-01-05,28.83
2022-01-06,24.08
2022-01-07,24.64
2022-01-08,23.14
2022-01-09,21.5
2022-01-10,24.08
2022-01-11,27.82
2022-01-12,26.94
2023-01-01,30.27
2023-01-02,30.01
2023-01-03,30.43
2023-01-04,31.66
2023-01-05,29.68
2023-01-06,31.83
2023-01-07,33.5
2023-01-08,32.1
2023-01-09,30.42
2023-01-10,29.9
2023-01-11,32.98
2023-01-12,33.93
2024-01-01,33.49
2024-01-02,35.63
2024-01-03,37.72
2024-01-04,36.55
2024-01-05,38.83
2024-01-06,35.85
2024-01-07,37.14
2024-01-08,38.85
2024-01-09,38.96
2024-01-10,38.02
2024-01-11,36.34
2024-01-12,35.97
2025-01-01,38.55
2025-01-02,40.8
2025-01-03,42.32
2025-01-04,44.21
2025-01-05,47.77
2025-01-06,48.14
2025-01-07,48.25
2025-01-08,51.05
2025-01-09,51.95
2025-01-10,51.81
2025-01-11,52.93
2025-01-12,54.33
2026-01-01,55.88
2026-01-02,57.33
2026-01-03,53.42
2026-01-04,58.17
