date,IT.INDU,IT.SERV,IT.CONS,IT.RETA,IT.BUIL,IT.ESI,IT.EEI
2000-01-01,9.2,20.9,-2.4,-18.1,-9.5,118.7,126.2
2000-02-01,9.0,23.9,-4.3,25.3,-7.6,121.1,117.5
2000-03-01,10.6,26.8,-5.4,-10.4,-12.0,119.4,126.2
2000-04-01,10.2,30.4,-4.8,10.2,-12.7,122.5,125.6
2000-05-01,11.5,28.9,-6.7,26.1,-4.8,124.2,128.8
2000-06-01,10.4,30.4,-6.1,-13.5,-6.7,121.3,115.7
2000-07-01,11.2,19.6,-5.4,-23.6,-5.3,117.0,124.8
2000-08-01,8.7,19.7,-4.2,-6.9,-5.4,117.7,116.2
2000-09-01,9.2,20.2,-7.6,-30.7,-2.0,114.2,123.0
2000-10-01,8.0,22.2,-3.5,-11.1,-5.9,116.4,122.5
2000-11-01,7.8,20.6,-5.7,-2.2,-2.6,115.8,119.1
2000-12-01,8.5,19.3,-4.7,-18.1,-1.8,116.7,120.9
2001-01-01,4.9,26.4,-4.8,-4.7,-3.4,115.1,120.8
2001-02-01,1.5,24.6,-5.5,1.6,-7.0,111.8,122.5
2001-03-01,-1.0,22.2,-5.1,7.3,3.1,110.0,118.6
2001-04-01,-1.4,8.9,-5.2,-2.6,-4.5,103.2,117.5
2001-05-01,-0.1,9.4,-3.0,-11.0,-0.3,105.0,116.1
2001-06-01,-1.4,11.9,-1.5,-12.3,-4.0,106.2,110.4
2001-07-01,-1.6,17.0,-0.9,-6.4,-3.8,109.0,103.1
2001-08-01,-1.5,9.5,-1.4,-24.1,1.7,106.9,107.5
2001-09-01,-10.4,4.0,-3.5,-22.6,1.2,97.9,107.6
2001-10-01,-12.1,-10.3,-4.1,-17.4,2.6,90.3,109.1
2001-11-01,-9.7,-15.1,-7.5,-12.5,-1.1,90.4,101.0
2001-12-01,-5.2,-0.3,-4.8,-27.4,-7.4,99.2,110.5
2002-01-01,-6.7,9.3,-3.6,-4.1,-10.0,100.4,109.8
2002-02-01,-1.4,10.0,-3.7,-28.7,-4.1,105.3,110.7
2002-03-01,0.0,19.3,-4.1,-12.4,-4.2,109.7,111.7
2002-04-01,-0.7,11.0,-6.3,-9.3,1.1,106.3,109.5
2002-05-01,0.4,11.8,-6.9,-14.1,-4.8,106.8,102.5
2002-06-01,-1.5,5.6,-8.0,-10.8,-2.3,103.2,108.3
2002-07-01,-1.8,-1.7,-7.7,-9.5,-5.6,100.8,107.4
2002-08-01,-6.0,-10.1,-8.6,-8.8,-0.8,99.1,110.7
2002-09-01,0.8,-4.2,-10.4,2.7,-4.4,103.5,108.1
2002-10-01,-2.0,-19.8,-10.2,-3.6,-5.7,96.0,109.1
2002-11-01,-1.8,-9.8,-10.0,6.5,0.8,99.9,113.8
2002-12-01,-3.0,-9.1,-13.0,-3.3,-13.1,96.7,110.1
2003-01-01,-1.1,-1.7,-13.0,-9.5,-9.2,101.0,104.7
2003-02-01,-1.2,-6.3,-12.0,-5.1,-3.8,99.8,100.5
2003-03-01,-1.9,-4.0,-13.9,-10.3,-1.2,100.4,102.1
2003-04-01,-3.9,-8.8,-13.4,-6.8,-2.6,97.6,96.4
2003-05-01,-5.6,-2.9,-13.6,-12.1,-4.3,96.3,101.5
2003-06-01,-5.7,-5.5,-11.6,-14.2,-1.5,96.4,98.8
2003-07-01,-8.6,-6.5,-12.7,-9.1,-10.6,93.2,97.5
