date,IT2YT,IT10YT
2015-01-01,0.454,1.674
2015-01-02,0.221,1.342
2015-01-03,0.203,1.253
2015-01-04,0.175,1.522
2015-01-05,0.143,1.853
2015-01-06,0.427,2.303
2015-01-07,0.096,1.783
2015-01-08,0.179,1.936
2015-01-09,0.132,1.728
2015-01-10,0.045,1.5
2015-01-11,0.027,1.427
2015-01-12,0.032,1.601
2016-01-01,-0.01,1.434
2016-01-02,-0.035,1.407
2016-01-03,-0.009,1.226
2016-01-04,-0.028,1.504
2016-01-05,-0.061,1.368
2016-01-06,-0.06,1.273
2016-01-07,-0.046,1.168
2016-01-08,-0.066,1.15
2016-01-09,-0.088,1.189
2016-01-10,0.047,1.676
2016-01-11,0.214,1.989
2016-01-12,-0.145,1.819
2017-01-01,0.058,2.259
2017-01-02,0.114,2.085
2017-01-03,0.044,2.312
2017-01-04,-0.016,2.281
2017-01-05,-0.041,2.199
2017-01-06,-0.075,2.155
2017-01-07,-0.147,2.091
2017-01-08,-0.099,2.042
2017-01-09,-0.147,2.171
2017-01-10,-0.217,1.825
2017-01-11,-0.332,1.741
2017-01-12,-0.158,1.998
2018-01-01,-0.225,2.021
2018-01-02,-0.102,2.068
2018-01-03,-0.266,1.787
2018-01-04,-0.167,1.757
2018-01-05,1.176,2.836
2018-01-06,0.725,2.688
2018-01-07,0.75,2.74
2018-01-08,1.49,3.239
2018-01-09,1.052,3.143
2018-01-10,1.326,3.434
2018-01-11,0.852,3.212
2018-01-12,0.518,2.773
2019-01-01,0.284,2.592
2019-01-02,0.391,2.76
2019-01-03,0.243,2.483
2019-01-04,0.509,2.565
2019-01-05,0.703,2.663
2019-01-06,0.224,2.09
2019-01-07,-0.016,1.547
2019-01-08,-0.156,1.033
2019-01-09,-0.189,0.828
2019-01-10,-0.1,1.028
2019-01-11,0.038,1.338
2019-01-12,-0.02,1.427
2020-01-01,-0.192,0.924
2020-01-02,-0.02,1.127
2020-01-03,0.391,1.534
2020-01-04,0.525,1.777
2020-01-05,0.403,1.491
2020-01-06,0.088,1.327
2020-01-07,-0.007,1.077
2020-01-08,-0.063,1.159
2020-01-09,-0.211,0.87
2020-01-10,-0.341,0.718
2020-01-11,-0.446,0.585
2020-01-12,-0.466,0.521
2021-01-01,-0.361,0.643
2021-01-02,-0.306,0.771
2021-01-03,-0.381,0.669
2021-01-04,-0.328,0.86
2021-01-05,-0.32,0.916
2021-01-06,-0.355,0.824
2021-01-07,-0.441,0.627
2021-01-08,-0.467,0.712
2021-01-09,-0.45,0.863
2021-01-10,-0.295,1.134
2021-01-11,-0.301,0.982
2021-01-12,-0.074,1.185
2022-01-01,-0.106,1.371
2022-01-02,0.005,1.741
2022-01-03,0.309,2.042
2022-01-04,0.721,2.775
2022-01-05,1.026,3.125
2022-01-06,1.228,3.392
2022-01-07,1.414,3.148
2022-01-08,2.203,3.888
2022-01-09,2.866,4.507
2022-01-10,2.767,4.306
2022-01-11,2.701,3.875
2022-01-12,3.278,4.704
2023-01-01,3.24,4.272
2023-01-02,3.658,4.473
2023-01-03,3.182,4.098
2023-01-04,3.471,4.183
2023-01-05,3.451,4.093
2023-01-06,3.924,4.075
2023-01-07,3.701,4.104
2023-01-08,3.657,4.124
2023-01-09,4.019,4.8
2023-01-10,3.852,4.726
2023-01-11,3.426,4.236
2023-01-12,3.008,3.712
2024-01-01,3.128,3.727
2024-01-02,3.454,3.84
2024-01-03,3.41,3.677
2024-01-04,3.563,3.878
2024-01-05,3.595,3.988
2024-01-06,3.544,4.076
2024-01-07,2.975,3.653
2024-01-08,2.861,3.691
2024-01-09,2.467,3.463
2024-01-10,2.785,3.662
2024-01-11,2.336,3.272
2024-01-12,2.43,3.519
2025-01-01,2.427,3.552
2025-01-02,2.318,3.474
2025-01-03,2.3,3.857
2025-01-04,2.009,3.576
2025-01-05,2.035,3.496
2025-01-06,2.086,3.507
2025-01-07,2.226,3.536
2025-01-08,2.224,3.615
2025-01-09,2.275,3.564
2025-01-10,2.175,3.384
2025-01-11,2.207,3.404
2025-01-12,2.224,3.512
2026-01-01,2.171,3.464
2026-01-02,2.137,3.279
2026-01-03,2.9,3.915
2026-01-04,2.751,3.818
