date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1994-01-01,465063.8,521927.8,,,34405.7,39988.5,
1994-04-01,461491.7,519844.9,,,34611.7,40760.0,
1994-07-01,466136.1,522923.3,,,35232.9,41988.4,
1994-10-01,464397.0,521963.4,,,35379.0,42414.6,
1995-01-01,468894.7,524165.9,,,35829.2,43802.4,
1995-04-01,473148.9,527584.9,,,36383.2,45134.6,
1995-07-01,478593.2,534043.7,,,36707.0,47649.4,
1995-10-01,479790.6,535711.9,,,36598.6,49962.1,
1996-01-01,484271.4,540537.4,,,37189.6,50922.8,
1996-04-01,489493.2,546517.5,,,37168.9,52539.0,
1996-07-01,490386.3,546682.7,,,38262.2,52444.6,
1996-10-01,495642.7,551576.6,,,39897.4,53145.0,
1997-01-01,498906.6,553271.5,,,41124.7,53586.6,
1997-04-01,495396.6,554785.7,,,42897.0,52714.6,
1997-07-01,496173.4,554521.4,,,42292.8,52611.4,
1997-10-01,496112.5,555046.6,,,43230.1,51358.1,
1998-01-01,488262.7,545619.0,,,42129.6,50918.2,
1998-04-01,485562.0,541532.6,,,41320.2,48672.6,
1998-07-01,486201.9,540271.3,,,41435.1,48793.5,
1998-10-01,490396.6,545940.2,,,40699.2,47661.2,
1999-01-01,483234.3,534635.6,,,40788.7,49069.1,
1999-04-01,485675.7,535346.2,,,41172.1,49971.7,
1999-07-01,488375.6,534868.6,,,42904.3,51246.3,
1999-10-01,488083.0,533988.2,,,43893.3,52790.4,
2000-01-01,497256.7,542382.2,,,46242.4,52799.4,
2000-04-01,500294.0,544164.6,,,47698.1,54858.6,
2000-07-01,500070.2,542141.0,,,48492.1,56270.4,
2000-10-01,505252.4,546257.2,,,48306.5,58373.9,
2001-01-01,508205.8,550226.4,,,46563.8,58481.5,
2001-04-01,504350.4,542515.2,,,44790.6,57198.7,
2001-07-01,498414.0,534276.3,,,43836.6,55543.4,
2001-10-01,497325.6,531827.5,,,42988.3,53825.4,
2002-01-01,498585.7,533966.2,,,44962.1,54332.2,
2002-04-01,502164.3,532358.8,,,48199.9,55936.9,
2002-07-01,503710.2,531843.6,,,48709.0,57831.5,
2002-10-01,504886.5,531684.4,,,50343.5,58647.8,
2003-01-01,504305.4,526786.9,,,51019.6,59040.0,
2003-04-01,508466.6,531414.8,,,51094.8,57134.7,
