date,EWJ
2015-01-01,45.96
2015-02-01,49.4
2015-03-01,50.12
2015-04-01,51.44
2015-05-01,52.2
2015-06-01,51.24
2015-07-01,51.72
2015-08-01,48.48
2015-09-01,45.72
2015-10-01,49.28
2015-11-01,49.52
2015-12-01,48.48
2016-01-01,46
2016-02-01,43.56
2016-03-01,45.64
2016-04-01,45.68
2016-05-01,47.16
2016-06-01,46
2016-07-01,48.24
2016-08-01,49.12
2016-09-01,50.16
2016-10-01,50.52
2016-11-01,49.89
2016-12-01,48.86
2017-01-01,50.57
2017-02-01,51.23
2017-03-01,51.5
2017-04-01,51.86
2017-05-01,53.29
2017-06-01,53.65
2017-07-01,54.76
2017-08-01,54.71
2017-09-01,55.71
2017-10-01,58.65
2017-11-01,59.91
2017-12-01,59.93
2018-01-01,62.94
2018-02-01,61.07
2018-03-01,60.68
2018-04-01,60.64
2018-05-01,59.74
2018-06-01,57.91
2018-07-01,58.53
2018-08-01,58.22
2018-09-01,60.23
2018-10-01,54.84
2018-11-01,55.34
2018-12-01,50.69
2019-01-01,54.28
2019-02-01,54.36
2019-03-01,54.72
2019-04-01,55.42
2019-05-01,52.72
2019-06-01,54.58
2019-07-01,54.35
2019-08-01,53.92
2019-09-01,56.74
2019-10-01,58.68
2019-11-01,59.43
2019-12-01,59.24
2020-01-01,57.75
2020-02-01,52.96
2020-03-01,49.39
2020-04-01,51.76
2020-05-01,55.41
2020-06-01,54.92
2020-07-01,54.33
2020-08-01,58.02
2020-09-01,59.07
2020-10-01,58.24
2020-11-01,64.39
2020-12-01,67.56
2021-01-01,66.99
2021-02-01,68.22
2021-03-01,68.52
2021-04-01,67.42
2021-05-01,68.58
2021-06-01,67.54
2021-07-01,67.11
2021-08-01,68.4
2021-09-01,70.25
2021-10-01,68.4
2021-11-01,66.33
2021-12-01,66.96
2022-01-01,64.08
2022-02-01,62.94
2022-03-01,61.61
2022-04-01,56.62
2022-05-01,57.6
2022-06-01,52.83
2022-07-01,56.15
2022-08-01,53.59
2022-09-01,48.85
2022-10-01,49.99
2022-11-01,55.8
2022-12-01,54.44
2023-01-01,58.67
2023-02-01,55.94
2023-03-01,58.69
2023-04-01,58.84
2023-05-01,59.34
2023-06-01,61.9
2023-07-01,63.42
2023-08-01,61.64
2023-09-01,60.29
2023-10-01,58.96
2023-11-01,62.61
2023-12-01,64.14
2024-01-01,66.21
2024-02-01,69.12
2024-03-01,71.35
2024-04-01,67.27
2024-05-01,68.97
2024-06-01,68.24
2024-07-01,70.97
2024-08-01,71.97
2024-09-01,71.54
2024-10-01,68.07
2024-11-01,69.69
2024-12-01,67.1
2025-01-01,68.31
2025-02-01,68.47
2025-03-01,68.56
2025-04-01,71.43
2025-05-01,74.12
2025-06-01,74.97
2025-07-01,73.62
2025-08-01,78.28
2025-09-01,80.21
2025-10-01,83.45
2025-11-01,83.01
2025-12-01,80.74
2026-01-01,85.72
2026-02-01,92.37
2026-03-01,84.44
2026-04-01,89.1
2026-05-01,92.96
