date,JP2YT,JP10YT
2015-01-01,0.016,0.286
2015-01-02,0.023,0.34
2015-01-03,0.044,0.4
2015-01-04,0.009,0.331
2015-01-05,0.001,0.396
2015-01-06,0.007,0.458
2015-01-07,0.011,0.412
2015-01-08,0.012,0.381
2015-01-09,0.019,0.35
2015-01-10,0.007,0.304
2015-01-11,0.002,0.305
2015-01-12,-0.009,0.272
2016-01-01,-0.06,0.114
2016-01-02,-0.232,-0.058
2016-01-03,-0.207,-0.042
2016-01-04,-0.233,-0.076
2016-01-05,-0.236,-0.114
2016-01-06,-0.298,-0.225
2016-01-07,-0.244,-0.167
2016-01-08,-0.193,-0.068
2016-01-09,-0.276,-0.078
2016-01-10,-0.238,-0.049
2016-01-11,-0.159,0.02
2016-01-12,-0.175,0.049
2017-01-01,-0.198,0.088
2017-01-02,-0.271,0.053
2017-01-03,-0.189,0.071
2017-01-04,-0.205,0.016
2017-01-05,-0.156,0.045
2017-01-06,-0.111,0.084
2017-01-07,-0.112,0.076
2017-01-08,-0.164,0.006
2017-01-09,-0.113,0.064
2017-01-10,-0.157,0.065
2017-01-11,-0.157,0.036
2017-01-12,-0.137,0.05
2018-01-01,-0.134,0.084
2018-01-02,-0.157,0.047
2018-01-03,-0.132,0.046
2018-01-04,-0.132,0.056
2018-01-05,-0.142,0.037
2018-01-06,-0.122,0.031
2018-01-07,-0.111,0.056
2018-01-08,-0.113,0.103
2018-01-09,-0.112,0.126
2018-01-10,-0.123,0.126
2018-01-11,-0.129,0.086
2018-01-12,-0.138,0.002
2019-01-01,-0.167,0
2019-01-02,-0.152,-0.023
2019-01-03,-0.178,-0.092
2019-01-04,-0.149,-0.044
2019-01-05,-0.173,-0.098
2019-01-06,-0.218,-0.159
2019-01-07,-0.205,-0.155
2019-01-08,-0.305,-0.275
2019-01-09,-0.322,-0.223
2019-01-10,-0.231,-0.139
2019-01-11,-0.173,-0.079
2019-01-12,-0.127,-0.022
2020-01-01,-0.152,-0.063
2020-01-02,-0.253,-0.153
2020-01-03,-0.141,0.017
2020-01-04,-0.178,-0.038
2020-01-05,-0.163,0.007
2020-01-06,-0.143,0.027
2020-01-07,-0.138,0.016
2020-01-08,-0.113,0.047
2020-01-09,-0.136,0.016
2020-01-10,-0.122,0.041
2020-01-11,-0.123,0.031
2020-01-12,-0.122,0.021
2021-01-01,-0.125,0.051
2021-01-02,-0.112,0.165
2021-01-03,-0.123,0.095
2021-01-04,-0.124,0.089
2021-01-05,-0.128,0.079
2021-01-06,-0.112,0.054
2021-01-07,-0.124,0.019
2021-01-08,-0.132,0.024
2021-01-09,-0.124,0.065
2021-01-10,-0.101,0.094
2021-01-11,-0.125,0.059
2021-01-12,-0.089,0.07
2022-01-01,-0.049,0.174
2022-01-02,-0.03,0.184
2022-01-03,-0.04,0.214
2022-01-04,-0.054,0.217
2022-01-05,-0.073,0.241
2022-01-06,-0.058,0.225
2022-01-07,-0.084,0.175
2022-01-08,-0.084,0.225
2022-01-09,-0.048,0.245
2022-01-10,-0.039,0.24
2022-01-11,-0.024,0.251
2022-01-12,0.032,0.418
2023-01-01,-0.018,0.49
2023-01-02,-0.037,0.501
2023-01-03,-0.055,0.324
2023-01-04,-0.036,0.398
2023-01-05,-0.052,0.431
2023-01-06,-0.066,0.396
2023-01-07,0.007,0.604
2023-01-08,0.031,0.651
2023-01-09,0.051,0.771
2023-01-10,0.156,0.951
2023-01-11,0.029,0.676
2023-01-12,0.049,0.616
2024-01-01,0.091,0.736
2024-01-02,0.18,0.715
2024-01-03,0.181,0.726
2024-01-04,0.276,0.872
2024-01-05,0.405,1.075
2024-01-06,0.355,1.046
2024-01-07,0.455,1.061
2024-01-08,0.361,0.891
2024-01-09,0.388,0.865
2024-01-10,0.435,0.937
2024-01-11,0.589,1.044
2024-01-12,0.605,1.082
2025-01-01,0.723,1.242
2025-01-02,0.808,1.36
2025-01-03,0.835,1.469
2025-01-04,0.675,1.312
2025-01-05,0.748,1.504
2025-01-06,0.75,1.431
2025-01-07,0.823,1.553
2025-01-08,0.873,1.603
2025-01-09,0.944,1.648
2025-01-10,0.917,1.659
2025-01-11,0.973,1.807
2025-01-12,1.174,2.07
2026-01-01,1.233,2.245
2026-01-02,1.231,2.116
2026-01-03,1.351,2.359
2026-01-04,1.379,2.517
2026-01-05,1.384,2.506
