date,EWY
2015-01-01,55.65
2015-01-02,56.63
2015-01-03,57.24
2015-01-04,61.17
2015-01-05,57.8
2015-01-06,55.11
2015-01-07,51.18
2015-01-08,47.84
2015-01-09,48.78
2015-01-10,54.38
2015-01-11,52.82
2015-01-12,49.67
2016-01-01,47.74
2016-01-02,46.59
2016-01-03,52.82
2016-01-04,52.25
2016-01-05,49.76
2016-01-06,52.07
2016-01-07,55.66
2016-01-08,56.35
2016-01-09,58.13
2016-01-10,55.35
2016-01-11,53.26
2016-01-12,53.22
2017-01-01,57.88
2017-01-02,58.56
2017-01-03,61.87
2017-01-04,62.1
2017-01-05,67.72
2017-01-06,67.81
2017-01-07,69.7
2017-01-08,68.47
2017-01-09,69.06
2017-01-10,74.76
2017-01-11,75.15
2017-01-12,74.93
2018-01-01,78.24
2018-01-02,72.09
2018-01-03,75.45
2018-01-04,75.6
2018-01-05,72.14
2018-01-06,67.71
2018-01-07,67.26
2018-01-08,67.32
2018-01-09,68.27
2018-01-10,58.27
2018-01-11,60.62
2018-01-12,58.86
2019-01-01,64.72
2019-01-02,62.97
2019-01-03,60.95
2019-01-04,61.48
2019-01-05,55.57
2019-01-06,59.87
2019-01-07,55.4
2019-01-08,53.26
2019-01-09,56.34
2019-01-10,58.93
2019-01-11,58.47
2019-01-12,62.19
2020-01-01,57.65
2020-01-02,54.96
2020-01-03,46.92
2020-01-04,51.62
2020-01-05,53.56
2020-01-06,57.13
2020-01-07,60.26
2020-01-08,63.07
2020-01-09,65.34
2020-01-10,64.9
2020-01-11,76.42
2020-01-12,86.05
2021-01-01,88.1
2021-01-02,87.97
2021-01-03,89.7
2021-01-04,90.56
2021-01-05,92.03
2021-01-06,93.18
2021-01-07,88.75
2021-01-08,86.69
2021-01-09,80.66
2021-01-10,79.49
2021-01-11,75.73
2021-01-12,77.87
2022-01-01,72.39
2022-01-02,72.41
2022-01-03,71.23
2022-01-04,66.64
2022-01-05,68.04
2022-01-06,58.19
2022-01-07,60.55
2022-01-08,57.91
2022-01-09,47.36
2022-01-10,51.81
2022-01-11,60.7
2022-01-12,56.48
2023-01-01,63.47
2023-01-02,58.5
2023-01-03,61.22
2023-01-04,60.67
2023-01-05,62.78
2023-01-06,63.38
2023-01-07,67.57
2023-01-08,62.45
2023-01-09,58.94
2023-01-10,54.95
2023-01-11,63.04
2023-01-12,65.53
2024-01-01,59.47
2024-01-02,64.11
2024-01-03,67.11
2024-01-04,63.05
2024-01-05,62.18
2024-01-06,66.09
2024-01-07,66.55
2024-01-08,65.5
2024-01-09,63.96
2024-01-10,59.91
2024-01-11,57.43
2024-01-12,50.89
2025-01-01,53.97
2025-01-02,54.67
2025-01-03,54.04
2025-01-04,56.19
2025-01-05,60.63
2025-01-06,71.78
2025-01-07,72.81
2025-01-08,72.24
2025-01-09,80.1
2025-01-10,97
2025-01-11,90.87
2025-01-12,97.22
2026-01-01,122.41
2026-01-02,151.37
2026-01-03,123.01
2026-01-04,146.68
