date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1955-01-01,145457,4666,79483,,,,45707
1955-04-01,145551,4688,79996,,,,45429
1955-07-01,147995,4862,81131,,,,45206
1955-10-01,147119,4954,80620,,,,44762
1956-01-01,148955,5086,80855,,,,44539
1956-04-01,148835,5155,80735,,,,44706
1956-07-01,148665,5235,80858,,,,45151
1956-10-01,149607,5370,81082,,,,45040
1957-01-01,152331,5380,81617,,,,45498
1957-04-01,152285,5461,82346,,,,44068
1957-07-01,151340,5578,83241,,,,43966
1957-10-01,151857,5688,83715,,,,43660
1958-01-01,155117,5800,84302,,,,42994
1958-04-01,151257,5725,84260,,,,43090
1958-07-01,154551,5824,85263,,,,43090
1958-10-01,155042,5874,86881,,,,43525
1959-01-01,156009,5886,86928,,,,43499
1959-04-01,158487,6080,88587,,,,43962
1959-07-01,161850,6104,89029,,,,44240
1959-10-01,165941,6322,91338,,,,44333
1960-01-01,170121,6427,92398,,,,44563
1960-04-01,168948,6486,92092,,,,44830
1960-07-01,171442,6580,92703,,,,44963
1960-10-01,172382,6713,92727,,,,45273
1961-01-01,175276,6883,94376,,,,45902
1961-04-01,175974,6883,94419,,,,46417
1961-07-01,175126,7121,94853,,,,47016
1961-10-01,174768,7037,94899,,,,46888
1962-01-01,175568,7134,95671,,,,47644
1962-04-01,177216,7309,97271,,,,48014
1962-07-01,178265,7383,96640,,,,48096
1962-10-01,177632,7416,97756,,,,48383
1963-01-01,178493,7367,98300,,,,49214
1963-04-01,186171,7752,101330,,,,48698
1963-07-01,187001,7871,102469,,,,48658
1963-10-01,191230,8117,102209,,,,49728
1964-01-01,192542,8144,103740,,,,49829
1964-04-01,196109,8435,104082,,,,49910
1964-07-01,196783,8620,104664,,,,50473
1964-10-01,199854,8857,105727,,,,50312
1965-01-01,199276,9021,105546,,,,48930
1965-04-01,199419,9065,105166,,,,52504
1965-07-01,200957,9286,106325,,,,52120
1965-10-01,202259,9467,106657,,,,52120
1966-01-01,202588,9609,108134,,,,51680
