date,ftse100,EWU
2015-01-01,"6,749.40",36.08
2015-01-02,"6,946.66",38.2
2015-01-03,"6,773.04",36.02
2015-01-04,"6,960.63",38.42
2015-01-05,"6,984.43",38.66
2015-01-06,"6,520.98",36.5
2015-01-07,"6,696.28",37.08
2015-01-08,"6,247.94",34.12
2015-01-09,"6,061.61",32.78
2015-01-10,"6,361.09",34.94
2015-01-11,"6,356.09",34.36
2015-01-12,"6,242.32",32.28
2016-01-01,"6,083.79",30.72
2016-01-02,"6,097.09",29.76
2016-01-03,"6,174.90",31.36
2016-01-04,"6,241.89",32.62
2016-01-05,"6,230.79",32.24
2016-01-06,"6,504.33",30.74
2016-01-07,"6,724.43",31.2
2016-01-08,"6,781.51",31.54
2016-01-09,"6,899.33",31.68
2016-01-10,"6,954.22",30
2016-01-11,"6,783.79",30.06
2016-01-12,"7,142.83",30.69
2017-01-01,"7,099.15",31.45
2017-01-02,"7,263.44",31.91
2017-01-03,"7,322.92",32.55
2017-01-04,"7,203.94",33.1
2017-01-05,"7,519.95",34.61
2017-01-06,"7,312.72",33.33
2017-01-07,"7,372.00",34.12
2017-01-08,"7,430.62",33.84
2017-01-09,"7,372.76",34.85
2017-01-10,"7,493.08",35.06
2017-01-11,"7,326.67",35.02
2017-01-12,"7,687.77",35.82
2018-01-01,"7,533.55",37.16
2018-01-02,"7,231.91",34.67
2018-01-03,"7,056.61",34.75
2018-01-04,"7,509.30",36.25
2018-01-05,"7,678.20",36.03
2018-01-06,"7,636.93",34.78
2018-01-07,"7,748.76",35.11
2018-01-08,"7,432.42",33.57
2018-01-09,"7,510.20",34.12
2018-01-10,"7,128.10",31.81
2018-01-11,"6,980.24",31.43
2018-01-12,"6,728.13",29.35
2019-01-01,"6,968.85",31.49
2019-01-02,"7,074.73",32.57
2019-01-03,"7,279.19",33.01
2019-01-04,"7,418.22",33.76
2019-01-05,"7,161.71",31.69
2019-01-06,"7,425.63",32.32
2019-01-07,"7,586.78",31.54
2019-01-08,"7,207.18",30.34
2019-01-09,"7,408.21",31.43
2019-01-10,"7,248.38",32.53
2019-01-11,"7,346.53",32.93
2019-01-12,"7,542.44",34.1
2020-01-01,"7,286.01",32.64
2020-01-02,"6,580.61",29.3
2020-01-03,"5,671.96",23.88
2020-01-04,"5,901.21",25.25
2020-01-05,"6,076.60",25.73
2020-01-06,"6,169.74",25.76
2020-01-07,"5,897.76",25.93
2020-01-08,"5,963.57",26.64
2020-01-09,"5,866.10",25.49
2020-01-10,"5,577.27",24.34
2020-01-11,"6,266.19",28.26
2020-01-12,"6,460.52",29.29
2021-01-01,"6,407.46",29.22
2021-01-02,"6,483.43",30.37
2021-01-03,"6,713.63",31.31
2021-01-04,"6,969.81",32.53
2021-01-05,"7,022.61",33.79
2021-01-06,"7,037.47",32.7
2021-01-07,"7,032.30",32.79
2021-01-08,"7,119.70",33.01
2021-01-09,"7,086.42",32.25
2021-01-10,"7,237.57",33.68
2021-01-11,"7,059.45",32.04
2021-01-12,"7,384.54",33.14
2022-01-01,"7,464.37",33.89
2022-01-02,"7,458.25",33.49
2022-01-03,"7,515.68",33.64
2022-01-04,"7,544.55",32.3
2022-01-05,"7,607.66",33.17
2022-01-06,"7,169.28",29.96
2022-01-07,"7,423.43",30.91
2022-01-08,"7,284.15",28.91
2022-01-09,"6,893.81",26.21
2022-01-10,"7,094.53",28.04
2022-01-11,"7,573.05",31.53
2022-01-12,"7,451.74",30.66
2023-01-01,"7,771.70",32.57
2023-01-02,"7,876.28",32.28
2023-01-03,"7,631.74",32.26
2023-01-04,"7,870.57",33.93
2023-01-05,"7,446.14",31.9
2023-01-06,"7,531.53",32.35
2023-01-07,"7,699.41",33.3
2023-01-08,"7,439.13",32
2023-01-09,"7,608.08",31.64
2023-01-10,"7,321.72",30.5
2023-01-11,"7,453.75",32.39
2023-01-12,"7,733.24",33.05
2024-01-01,"7,630.57",32.43
2024-01-02,"7,630.02",32.75
2024-01-03,"7,952.62",34.21
2024-01-04,"8,144.13",34.7
2024-01-05,"8,275.38",36.32
2024-01-06,"8,164.12",34.88
2024-01-07,"8,367.98",36.26
2024-01-08,"8,376.63",37.53
2024-01-09,"8,236.95",37.41
2024-01-10,"8,110.10",35.55
2024-01-11,"8,287.30",35.8
2024-01-12,"8,173.02",33.9
2025-01-01,"8,673.96",35.61
2025-01-02,"8,809.74",37.04
2025-01-03,"8,582.81",37.47
2025-01-04,"8,494.85",38.1
2025-01-05,"8,772.38",39.92
2025-01-06,"8,760.96",39.72
2025-01-07,"9,132.81",39.81
2025-01-08,"9,187.34",41.46
2025-01-09,"9,350.43",41.97
2025-01-10,"9,717.25",42.67
2025-01-11,"9,720.51",43.15
2025-01-12,"9,931.38",43.98
2026-01-01,"10,223.54",46.16
2026-01-02,"10,910.55",48.68
2026-01-03,"10,176.45",45.56
2026-01-04,"10,618.68",48.07
