date,Labour Participation Rate,Number of People in Employment,Unemployment Rate,Continued Jobless Claims,Average Weekly Earnings,Full-Time Employment,Part-Time Employment
2000-01-01,76.7,27309,5.8,"1,162.9",305,20413,6896
2000-02-01,76.8,27362,5.8,"1,152.2",300,20450,6912
2000-03-01,76.8,27406,5.7,"1,144.0",311,20487,6919
2000-04-01,76.8,27442,5.6,"1,113.3",309,20520,6921
2000-05-01,76.7,27468,5.5,"1,104.7",311,20523,6945
2000-06-01,76.7,27528,5.3,"1,093.6",311,20550,6979
2000-07-01,76.7,27565,5.3,"1,074.7",313,20559,7007
2000-08-01,76.8,27555,5.3,"1,060.4",315,20529,7026
2000-09-01,76.7,27528,5.4,"1,044.8",317,20542,6986
2000-10-01,76.5,27516,5.3,"1,044.7",318,20522,6994
2000-11-01,76.5,27549,5.2,"1,035.6",320,20565,6984
2000-12-01,76.7,27637,5.2,"1,029.9",323,20616,7022
2001-01-01,76.7,27618,5.2,"1,008.6",321,20611,7006
2001-02-01,76.6,27623,5.1,999.5,325,20619,7004
2001-03-01,76.6,27663,5,990.9,326,20693,6971
2001-04-01,76.5,27699,4.9,975.5,326,20720,6979
2001-05-01,76.6,27707,5,974.9,327,20724,6983
2001-06-01,76.5,27699,5,961.6,328,20718,6982
2001-07-01,76.5,27719,5.1,951.8,328,20785,6934
2001-08-01,76.5,27715,5.1,951.2,331,20772,6943
2001-09-01,76.5,27735,5.1,946.1,331,20779,6956
2001-10-01,76.6,27787,5.1,953.0,333,20789,6998
2001-11-01,76.6,27803,5.2,959.7,334,20782,7021
2001-12-01,76.5,27769,5.2,966.5,334,20742,7027
2002-01-01,76.4,27781,5.1,958.2,333,20762,7019
2002-02-01,76.4,27797,5.2,951.9,334,20787,7010
2002-03-01,76.6,27856,5.2,947.5,334,20818,7038
2002-04-01,76.7,27888,5.2,954.9,338,20828,7060
2002-05-01,76.7,27933,5.2,947.1,339,20803,7130
2002-06-01,76.6,27908,5.2,949.7,340,20796,7112
2002-07-01,76.7,27949,5.2,950.0,341,20792,7157
2002-08-01,76.7,27935,5.3,945.7,341,20778,7156
2002-09-01,76.8,28023,5.2,943.7,342,20812,7211
2002-10-01,76.8,28059,5.2,939.5,342,20879,7180
2002-11-01,76.8,28110,5.1,936.4,343,20951,7159
2002-12-01,76.6,28081,5,935.2,343,20932,7149
2003-01-01,76.6,28058,5.1,939.3,339,20877,7181
2003-02-01,76.7,28099,5.2,942.5,341,20876,7224
2003-03-01,76.7,28142,5.1,941.2,349,20879,7263
2003-04-01,76.7,28199,5,936.1,347,20919,7279
2003-05-01,76.7,28226,4.9,947.2,348,20957,7270
2003-06-01,76.8,28236,5.1,947.1,349,20979,7257
2003-07-01,76.7,28228,5.1,940.2,351,20954,7275
2003-08-01,76.7,28256,5,933.3,352,20976,7279
2003-09-01,76.7,28285,5,928.7,355,20985,7299
2003-10-01,76.6,28295,4.9,922.0,356,21001,7295
2003-11-01,76.5,28304,4.9,913.0,357,20987,7317
2003-12-01,76.7,28399,4.8,906.0,357,21038,7361
2004-01-01,76.8,28438,4.8,899.2,364,21049,7389
2004-02-01,76.8,28459,4.8,892.1,352,21047,7413
2004-03-01,76.7,28449,4.8,881.0,361,21059,7390
2004-04-01,76.6,28466,4.8,871.9,362,21081,7384
2004-05-01,76.6,28470,4.8,858.1,363,21111,7360
2004-06-01,76.5,28464,4.8,846.9,364,21107,7357
2004-07-01,76.5,28480,4.7,836.4,365,21125,7355
2004-08-01,76.5,28518,4.7,834.5,367,21176,7342
2004-09-01,76.5,28544,4.7,832.9,369,21232,7312
2004-10-01,76.6,28627,4.7,831.5,372,21328,7299
2004-11-01,76.7,28673,4.7,829.5,372,21376,7297
2004-12-01,76.8,28726,4.7,826.1,373,21430,7296
2005-01-01,76.9,28794,4.8,823.7,379,21510,7284
2005-02-01,76.7,28789,4.7,821.7,371,21509,7280
2005-03-01,76.6,28759,4.7,830.1,376,21472,7287
2005-04-01,76.6,28780,4.8,840.3,379,21452,7327
2005-05-01,76.6,28802,4.8,854.1,380,21469,7333
2005-06-01,76.6,28855,4.7,863.2,380,21520,7335
2005-07-01,76.7,28906,4.7,866.7,383,21595,7311
2005-08-01,76.7,28928,4.7,868.2,386,21625,7303
2005-09-01,76.7,28913,4.9,876.1,387,21625,7288
2005-10-01,76.7,28880,5.1,888.2,388,21604,7276
2005-11-01,76.7,28880,5.1,900.9,390,21623,7257
2005-12-01,76.7,28934,5.1,908.1,390,21660,7274
2006-01-01,76.8,28988,5.2,913.5,391,21678,7309
2006-02-01,77,29048,5.2,923.8,392,21704,7344
2006-03-01,77.1,29085,5.3,935.8,398,21757,7328
2006-04-01,77,29063,5.4,945.4,395,21745,7319
2006-05-01,77.1,29106,5.5,950.8,397,21745,7360
2006-06-01,77.2,29140,5.5,955.7,401,21769,7371
2006-07-01,77.3,29224,5.5,956.7,401,21821,7402
2006-08-01,77.1,29183,5.5,951.4,401,21763,7421
2006-09-01,77.1,29189,5.5,958.1,402,21709,7480
2006-10-01,77,29204,5.4,958.5,405,21745,7459
2006-11-01,77,29214,5.5,949.2,407,21749,7466
2006-12-01,76.9,29202,5.5,939.9,412,21753,7449
2007-01-01,76.8,29175,5.5,925.6,415,21748,7427
2007-02-01,76.8,29194,5.5,911.5,419,21756,7438
2007-03-01,76.8,29232,5.5,896.8,416,21797,7435
2007-04-01,76.9,29314,5.4,878.2,412,21896,7419
2007-05-01,76.8,29322,5.4,870.8,416,21902,7420
2007-06-01,76.8,29352,5.3,861.9,418,21921,7431
2007-07-01,76.8,29376,5.3,856.3,420,21947,7428
2007-08-01,76.8,29420,5.3,851.3,422,21989,7431
2007-09-01,76.9,29470,5.2,844.5,424,22038,7433
2007-10-01,76.9,29527,5.2,836.3,423,22054,7472
2007-11-01,76.9,29576,5.2,825.2,426,22075,7501
2007-12-01,77,29614,5.2,815.2,426,22083,7531
2008-01-01,77.1,29676,5.2,792.0,429,22130,7546
2008-02-01,77,29684,5.2,778.4,435,22134,7549
2008-03-01,77.1,29706,5.3,778.5,437,22160,7546
2008-04-01,77.1,29749,5.2,792.4,432,22227,7522
2008-05-01,77.1,29722,5.4,814.7,434,22189,7533
2008-06-01,77.1,29696,5.5,848.7,433,22170,7526
2008-07-01,77,29612,5.7,882.7,435,22081,7531
2008-08-01,77,29580,5.9,924.9,435,22061,7519
2008-09-01,76.9,29535,6,968.6,435,22010,7525
2008-10-01,77.1,29556,6.2,"1,012.3",437,21959,7597
2008-11-01,77.1,29528,6.4,"1,100.4",436,21951,7578
2008-12-01,77.3,29539,6.5,"1,179.4",436,21952,7587
2009-01-01,77.2,29429,6.7,"1,240.8",421,21843,7586
2009-02-01,77.2,29366,7.1,"1,383.6",409,21768,7598
2009-03-01,77.1,29272,7.3,"1,457.1",433,21715,7557
2009-04-01,77,29155,7.6,"1,510.8",438,21585,7570
2009-05-01,76.9,29087,7.8,"1,549.4",437,21479,7609
2009-06-01,76.7,29018,7.9,"1,571.9",438,21412,7606
2009-07-01,76.8,29076,7.9,"1,585.8",437,21446,7630
2009-08-01,76.7,29069,7.8,"1,600.8",438,21388,7681
2009-09-01,76.7,29084,7.9,"1,609.7",439,21349,7734
2009-10-01,76.6,29092,7.8,"1,618.5",439,21344,7748
2009-11-01,76.6,29102,7.8,"1,610.4",440,21349,7753
2009-12-01,76.4,29057,7.7,"1,593.4",440,21291,7766
2010-01-01,76.4,29024,7.9,"1,609.0",439,21281,7743
2010-02-01,76.4,29013,8,"1,576.5",446,21234,7778
2010-03-01,76.4,29048,8,"1,548.6",441,21221,7827
2010-04-01,76.6,29144,7.9,"1,526.1",442,21265,7878
2010-05-01,76.5,29192,7.9,"1,494.8",443,21301,7891
2010-06-01,76.7,29325,7.8,"1,471.3",442,21335,7991
2010-07-01,76.7,29339,7.8,"1,458.2",443,21314,8025
2010-08-01,76.8,29385,7.8,"1,457.3",445,21341,8044
2010-09-01,76.7,29308,7.9,"1,457.1",446,21289,8019
2010-10-01,76.5,29284,7.9,"1,451.0",447,21282,8001
2010-11-01,76.5,29324,7.9,"1,452.4",448,21326,7999
2010-12-01,76.7,29391,7.9,"1,454.0",449,21387,8004
2011-01-01,76.7,29442,7.8,"1,461.8",458,21433,8009
2011-02-01,76.6,29441,7.8,"1,458.5",453,21437,8005
2011-03-01,76.5,29436,7.7,"1,463.5",453,21414,8021
2011-04-01,76.6,29466,7.8,"1,484.7",451,21451,8016
2011-05-01,76.7,29447,7.9,"1,500.4",453,21476,7971
2011-06-01,76.5,29345,8,"1,519.5",456,21452,7893
2011-07-01,76.6,29300,8.2,"1,555.1",456,21441,7858
2011-08-01,76.6,29284,8.3,"1,576.7",454,21408,7873
2011-09-01,76.7,29306,8.4,"1,596.0",454,21401,7900
2011-10-01,76.8,29333,8.5,"1,595.7",456,21381,7945
2011-11-01,76.8,29352,8.4,"1,599.2",457,21365,7977
2011-12-01,76.8,29358,8.3,"1,601.8",457,21364,7982
2012-01-01,76.8,29395,8.3,"1,609.9",457,21345,8036
2012-02-01,76.9,29470,8.2,"1,609.5",457,21372,8082
2012-03-01,76.9,29510,8.2,"1,606.7",457,21410,8081
2012-04-01,77,29585,8.1,"1,582.6",460,21475,8089
2012-05-01,77.2,29689,8,"1,585.5",460,21513,8154
2012-06-01,77.4,29768,8,"1,589.3",461,21542,8202
2012-07-01,77.4,29806,7.9,"1,583.7",463,21566,8213
2012-08-01,77.3,29788,7.8,"1,571.4",464,21568,8191
2012-09-01,77.3,29776,7.8,"1,571.3",462,21560,8185
2012-10-01,77.5,29884,7.8,"1,579.8",462,21665,8184
2012-11-01,77.6,29945,7.8,"1,576.9",463,21736,8172
2012-12-01,77.6,29930,7.8,"1,560.3",461,21753,8138
2013-01-01,77.5,29857,8,"1,550.0",462,21699,8116
2013-02-01,77.4,29884,7.8,"1,544.6",462,21734,8105
2013-03-01,77.4,29930,7.8,"1,530.6",454,21723,8160
2013-04-01,77.3,29910,7.7,"1,510.5",478,21725,8136
2013-05-01,77.5,29990,7.7,"1,489.8",468,21769,8169
2013-06-01,77.6,30049,7.7,"1,461.9",466,21867,8127
2013-07-01,77.6,30080,7.7,"1,428.4",466,21893,8131
2013-08-01,77.7,30163,7.6,"1,392.8",466,21944,8162
2013-09-01,77.7,30280,7.4,"1,342.6",466,21997,8226
2013-10-01,77.7,30360,7.2,"1,297.7",466,22111,8191
2013-11-01,77.7,30350,7.2,"1,263.8",466,22140,8151
2013-12-01,77.8,30390,7.1,"1,242.0",468,22165,8164
