date,Continued Jobless Claims
1971-01-01,533.6
1971-02-01,552.3
1971-03-01,573.5
1971-04-01,599.1
1971-05-01,641.7
1971-06-01,655.2
1971-07-01,662.9
1971-08-01,664.1
1971-09-01,684
1971-10-01,715.8
1971-11-01,747.6
1971-12-01,757.7
1972-01-01,754.1
1972-02-01,768.5
1972-03-01,779.6
1972-04-01,775.9
1972-05-01,745.8
1972-06-01,722.4
1972-07-01,709.8
1972-08-01,692.7
1972-09-01,696.7
1972-10-01,680.7
1972-11-01,666.2
1972-12-01,639.4
1973-01-01,603.7
1973-02-01,574.3
1973-03-01,560.3
1973-04-01,547.2
1973-05-01,537.6
1973-06-01,530.2
1973-07-01,506.3
1973-08-01,486.8
1973-09-01,469.4
1973-10-01,456.5
1973-11-01,441.2
1973-12-01,422.6
1974-01-01,468.7
1974-02-01,486.6
1974-03-01,494.8
1974-04-01,497.4
1974-05-01,494.3
1974-06-01,508.9
1974-07-01,510.8
1974-08-01,530.2
1974-09-01,534.3
1974-10-01,539.7
1974-11-01,544.9
1974-12-01,558.5
1975-01-01,587.8
1975-02-01,609.1
1975-03-01,641.7
1975-04-01,683.4
1975-05-01,734.4
1975-06-01,774.2
1975-07-01,818.7
1975-08-01,845.8
1975-09-01,877
1975-10-01,934.4
1975-11-01,970.1
1975-12-01,997.1
1976-01-01,"1,022.00"
1976-02-01,"1,042.30"
1976-03-01,"1,055.60"
1976-04-01,"1,070.10"
1976-05-01,"1,088.20"
1976-06-01,"1,085.50"
1976-07-01,"1,093.00"
1976-08-01,"1,107.60"
1976-09-01,"1,107.00"
1976-10-01,"1,097.80"
1976-11-01,"1,105.10"
1976-12-01,"1,108.80"
1977-01-01,"1,111.10"
1977-02-01,"1,107.40"
1977-03-01,"1,107.90"
1977-04-01,"1,117.60"
1977-05-01,"1,119.70"
1977-06-01,"1,149.30"
1977-07-01,"1,169.80"
1977-08-01,"1,172.70"
1977-09-01,"1,193.60"
1977-10-01,"1,188.10"
1977-11-01,"1,186.10"
1977-12-01,"1,181.50"
1978-01-01,"1,167.50"
1978-02-01,"1,150.90"
