date,Mining and Logging,Construction,Manufacturing,Trade Transportation and Utilities,Information,Financial Activities,Professional and Business Services,Education and Health Services,Leisure and Hospitality ,Other Services,Government
1997-01-01,368,1891,4370,5335,743,1361,2530,5012,1275,1302,1534
1997-04-01,366,1927,4343,5326,773,1380,2583,5046,1309,1331,1523
1997-07-01,372,1945,4420,5419,774,1374,2610,5063,1368,1340,1499
1997-10-01,370,2014,4385,5453,799,1350,2624,5062,1311,1322,1502
1998-01-01,367,1970,4317,5369,829,1368,2658,5102,1267,1325,1497
1998-04-01,365,1964,4360,5360,826,1372,2618,5130,1315,1351,1510
1998-07-01,377,1984,4392,5467,846,1363,2745,5130,1327,1356,1532
1998-10-01,389,2017,4320,5574,878,1350,2759,5165,1271,1340,1534
1999-01-01,387,1956,4260,5484,896,1374,2789,5262,1228,1315,1527
1999-04-01,380,1992,4185,5494,915,1338,2826,5305,1235,1345,1578
1999-07-01,392,2009,4243,5605,939,1387,2890,5236,1262,1382,1568
1999-10-01,394,2028,4198,5616,954,1391,2885,5276,1240,1388,1591
2000-01-01,386,2013,4099,5578,970,1390,2876,5322,1202,1376,1610
2000-04-01,405,2051,4066,5557,995,1384,2888,5343,1227,1406,1645
2000-07-01,402,2075,4062,5624,1032,1436,2952,5319,1278,1401,1685
2000-10-01,400,2062,4001,5632,1056,1458,2882,5371,1240,1374,1721
2001-01-01,417,2046,3949,5580,1071,1439,2917,5395,1208,1338,1740
2001-04-01,402,2096,3919,5566,1076,1427,2939,5464,1251,1328,1782
2001-07-01,412,2142,3924,5613,1089,1462,2990,5364,1291,1381,1782
2001-10-01,408,2150,3914,5631,1068,1461,3006,5428,1282,1337,1802
2002-01-01,400,2112,3826,5581,1011,1469,3026,5492,1288,1317,1804
2002-04-01,419,2102,3784,5623,990,1484,3024,5571,1355,1358,1810
2002-07-01,419,2160,3824,5693,1012,1487,3007,5537,1342,1405,1827
2002-10-01,409,2182,3816,5809,1018,1440,3021,5616,1306,1385,1839
2003-01-01,378,2163,3654,5763,1004,1457,2957,5710,1309,1404,1860
2003-04-01,370,2219,3607,5804,1010,1458,2953,5802,1276,1477,1866
2003-07-01,379,2300,3512,5831,1033,1487,2987,5789,1339,1487,1881
2003-10-01,359,2280,3432,5919,1027,1445,2987,5881,1314,1480,1888
2004-01-01,369,2298,3388,5763,1044,1444,3010,6036,1329,1462,1887
2004-04-01,377,2314,3321,5764,1045,1450,2989,6123,1318,1467,1894
2004-07-01,410,2372,3394,5777,1049,1435,2995,6092,1333,1457,1951
2004-10-01,401,2403,3375,5862,1028,1434,3045,6138,1302,1455,1923
2005-01-01,401,2397,3306,5788,1026,1443,3085,6202,1302,1413,1953
2005-04-01,398,2384,3336,5771,1013,1450,3093,6247,1317,1431,1938
2005-07-01,406,2458,3317,5815,1024,1535,3108,6289,1281,1450,1983
2005-10-01,415,2410,3260,5795,1022,1536,3117,6314,1267,1448,1967
2006-01-01,404,2431,3242,5727,1014,1522,3111,6412,1286,1426,2020
