date,Headline CPI,Core CPI,Core PPI,Headline PPI
2000-01-01,71.9,76.6,,73.3
2000-02-01,72.2,76.9,,73.4
2000-03-01,72.3,77.1,,73.6
2000-04-01,72.6,77.3,,73.6
2000-05-01,72.8,77.5,,73.6
2000-06-01,72.9,77.4,,74.1
2000-07-01,72.5,76.7,,74.2
2000-08-01,72.5,77.0,,73.9
2000-09-01,73.1,77.6,,74.2
2000-10-01,73.1,77.6,,74.4
2000-11-01,73.2,77.7,,74.4
2000-12-01,73.2,77.8,,74.1
2001-01-01,72.6,77.0,,73.5
2001-02-01,72.7,77.2,,73.2
2001-03-01,73.0,77.5,,73.4
2001-04-01,73.4,77.9,,73.7
2001-05-01,74.0,78.3,,74.0
2001-06-01,74.1,78.4,,74.1
2001-07-01,73.6,77.9,,73.9
2001-08-01,73.9,78.4,,73.7
2001-09-01,74.1,78.6,,73.6
2001-10-01,73.9,78.5,,73.4
2001-11-01,73.8,78.6,,72.7
2001-12-01,74.0,78.8,,72.4
2002-01-01,73.7,78.3,,72.6
2002-02-01,73.8,78.4,,72.6
2002-03-01,74.1,78.7,,72.8
2002-04-01,74.4,79.0,,73.3
2002-05-01,74.6,79.3,,73.4
2002-06-01,74.6,79.4,,73.3
2002-07-01,74.4,79.1,,73.3
2002-08-01,74.6,79.4,,73.3
2002-09-01,74.8,79.6,,73.5
2002-10-01,74.9,79.8,,73.6
2002-11-01,74.9,79.8,,73.5
2002-12-01,75.2,80.2,,73.6
2003-01-01,74.7,79.5,,74.0
2003-02-01,75.0,79.7,,74.4
2003-03-01,75.3,79.9,,75.2
2003-04-01,75.5,80.2,,74.7
2003-05-01,75.5,80.3,,74.3
2003-06-01,75.4,80.2,,74.1
2003-07-01,75.3,80.1,,74.2
2003-08-01,75.6,80.4,,74.4
2003-09-01,75.9,80.6,,74.5
2003-10-01,76.0,80.7,,74.4
2003-11-01,75.9,80.7,,74.5
2003-12-01,76.2,80.9,,74.6
2004-01-01,75.8,80.4,,74.8
2004-02-01,76.0,80.6,,74.9
2004-03-01,76.1,80.7,,75.2
2004-04-01,76.4,81.0,,75.5
2004-05-01,76.6,81.2,,76.1
2004-06-01,76.6,81.2,,76.2
2004-07-01,76.4,81.0,,76.4
2004-08-01,76.6,81.2,,76.9
2004-09-01,76.7,81.3,,77.4
2004-10-01,76.9,81.4,,78.1
2004-11-01,77.0,81.5,,78.2
2004-12-01,77.4,82.0,,77.7
2005-01-01,77.0,81.4,,77.5
2005-02-01,77.2,81.5,,77.8
2005-03-01,77.5,81.8,,78.4
2005-04-01,77.8,82.1,,79.2
2005-05-01,78.1,82.4,,78.9
2005-06-01,78.1,82.4,,79.0
2005-07-01,78.2,82.5,,79.9
2005-08-01,78.4,82.7,,80.2
2005-09-01,78.6,82.7,,81.1
2005-10-01,78.7,82.8,,81.0
2005-11-01,78.7,82.8,,80.6
2005-12-01,78.9,83.1,,80.3
2006-01-01,78.5,82.5,,80.7
2006-02-01,78.8,82.7,,80.9
2006-03-01,78.9,82.9,,81.3
2006-04-01,79.4,83.2,,82.0
2006-05-01,79.9,83.3,,82.6
2006-06-01,80.1,83.4,,82.7
2006-07-01,80.0,83.2,,83.1
2006-08-01,80.4,83.6,,83.2
2006-09-01,80.5,83.8,,82.7
2006-10-01,80.6,84.0,,82.0
2006-11-01,80.8,84.1,,81.9
2006-12-01,81.3,84.6,,81.9
2007-01-01,80.6,83.8,,82.1
2007-02-01,81.0,84.1,,82.4
2007-03-01,81.4,84.5,,83.2
2007-04-01,81.6,84.7,,83.7
2007-05-01,81.8,84.9,,84.3
2007-06-01,82.0,85.1,,84.7
2007-07-01,81.5,84.7,,85.0
2007-08-01,81.8,85.0,,85.1
2007-09-01,81.9,85.0,,85.6
2007-10-01,82.3,85.3,,86.2
2007-11-01,82.5,85.3,,87.3
2007-12-01,83.0,85.8,,87.8
2008-01-01,82.4,84.9,,88.8
2008-02-01,83.0,85.2,,89.4
2008-03-01,83.4,85.5,,90.7
2008-04-01,84.0,85.9,,92.4
2008-05-01,84.6,86.2,,94.9
2008-06-01,85.2,86.4,,96.5
2008-07-01,85.1,86.3,,97.1
2008-08-01,85.7,86.8,,96.0
2008-09-01,86.1,86.9,,95.8
2008-10-01,85.9,86.9,,93.8
2008-11-01,85.8,87.0,,92.0
2008-12-01,85.5,86.7,,90.1
2009-01-01,84.9,86.0,,89.5
2009-02-01,85.6,86.6,,89.5
2009-03-01,85.8,86.9,,89.4
2009-04-01,86.0,87.2,,89.6
2009-05-01,86.4,87.6,,89.7
2009-06-01,86.7,87.8,,90.2
2009-07-01,86.7,87.8,,90.0
2009-08-01,87.0,88.3,,90.1
2009-09-01,87.1,88.4,,90.3
2009-10-01,87.2,88.5,,90.7
2009-11-01,87.5,88.6,,91.3
2009-12-01,88.0,89.2,,91.5
2010-01-01,87.8,88.7,,91.6
2010-02-01,88.2,89.0,,91.7
2010-03-01,88.7,89.5,,92.9
2010-04-01,89.2,89.9,,94.0
2010-05-01,89.4,90.2,,94.2
2010-06-01,89.5,90.5,,94.0
2010-07-01,89.3,90.1,,94.0
2010-08-01,89.8,90.8,,93.9
2010-09-01,89.8,90.8,,94.1
2010-10-01,90.0,90.9,,94.8
2010-11-01,90.3,91.1,,95.4
2010-12-01,91.2,91.7,,96.5
2011-01-01,91.3,91.4,,97.8
2011-02-01,92.0,92.0,,98.6
2011-03-01,92.2,92.4,,100.2
2011-04-01,93.2,93.2,,101.2
2011-05-01,93.4,93.2,,101.2
2011-06-01,93.3,93.0,,101.4
2011-07-01,93.3,93.0,,101.7
2011-08-01,93.8,93.6,,101.6
2011-09-01,94.4,93.8,,102.0
2011-10-01,94.5,93.9,,102.0
2011-11-01,94.6,94.0,,102.3
2011-12-01,95.1,94.5,,102.0
2012-01-01,94.6,93.8,,102.3
2012-02-01,95.1,94.3,,102.8
2012-03-01,95.4,94.6,,103.7
2012-04-01,96.0,95.2,,103.9
2012-05-01,95.9,95.3,,103.1
2012-06-01,95.5,95.0,,102.1
2012-07-01,95.6,95.1,,102.2
2012-08-01,96.1,95.5,,103.2
2012-09-01,96.5,95.8,,103.7
2012-10-01,97.0,96.4,,103.8
2012-11-01,97.2,96.5,,103.3
2012-12-01,97.6,96.7,,102.9
2013-01-01,97.1,95.9,,103.4
2013-02-01,97.8,96.4,,104.7
2013-03-01,98.1,96.9,,104.8
2013-04-01,98.3,97.0,,104.1
2013-05-01,98.5,97.4,,103.8
2013-06-01,98.3,97.2,,103.9
2013-07-01,98.3,97.0,,104.6
2013-08-01,98.7,97.5,,104.8
2013-09-01,99.1,97.9,,104.8
2013-10-01,99.1,98.1,,104.0
2013-11-01,99.2,98.2,,103.7
2013-12-01,99.6,98.4,,103.7
2014-01-01,99.0,97.4,,103.8
2014-02-01,99.5,98.1,,104.0
2014-03-01,99.7,98.4,,104.0
2014-04-01,100.1,99.0,,103.9
2014-05-01,100.0,98.9,,103.8
2014-06-01,100.2,99.2,,103.6
2014-07-01,99.9,98.8,,103.5
2014-08-01,100.2,99.3,,103.3
2014-09-01,100.3,99.4,,103.0
2014-10-01,100.4,99.6,,102.3
2014-11-01,100.1,99.4,,101.8
2014-12-01,100.1,99.6,,100.8
2015-01-01,99.3,98.8,,100.0
2015-02-01,99.5,99.3,,100.3
2015-03-01,99.7,99.5,,100.6
2015-04-01,99.9,99.7,,100.7
2015-05-01,100.1,99.9,,100.9
2015-06-01,100.2,99.9,,100.7
2015-07-01,100.0,99.9,,100.3
2015-08-01,100.3,100.3,,99.8
2015-09-01,100.2,100.4,,99.6
2015-10-01,100.3,100.7,,99.4
2015-11-01,100.3,100.7,,99.1
2015-12-01,100.3,101.0,,98.7
2016-01-01,99.5,100.0,,98.8
2016-02-01,99.8,100.4,,98.9
2016-03-01,100.2,101.0,,99.2
2016-04-01,100.2,100.9,,99.3
2016-05-01,100.4,101.1,,99.4
2016-06-01,100.6,101.3,,99.8
2016-07-01,100.6,101.2,,100.3
2016-08-01,100.9,101.6,,100.5
2016-09-01,101.1,101.9,,100.7
2016-10-01,101.2,101.9,,101.7
2016-11-01,101.4,102.1,,101.7
2016-12-01,101.9,102.6,,102.0
2017-01-01,101.4,101.6,,102.8
2017-02-01,102.1,102.4,,103.1
2017-03-01,102.5,102.8,,103.4
2017-04-01,102.9,103.4,,103.5
2017-05-01,103.3,103.7,,103.5
2017-06-01,103.3,103.8,,103.6
2017-07-01,103.2,103.7,,103.8
2017-08-01,103.8,104.3,,104.3
2017-09-01,104.1,104.6,,104.8
2017-10-01,104.2,104.6,,105.1
2017-11-01,104.6,104.9,,105.5
2017-12-01,104.9,105.2,,105.8
2018-01-01,104.4,104.3,,106.0
2018-02-01,104.9,104.9,,106.0
2018-03-01,105.0,105.1,,106.2
2018-04-01,105.4,105.5,,106.7
2018-05-01,105.8,105.9,,107.6
2018-06-01,105.8,105.7,,108.1
2018-07-01,105.8,105.6,,107.9
2018-08-01,106.5,106.5,,108.3
2018-09-01,106.6,106.5,,108.8
2018-10-01,106.7,106.5,,109.2
2018-11-01,107.0,106.8,,109.0
2018-12-01,107.1,107.2,,108.4
2019-01-01,106.3,106.3,,108.3
2019-02-01,106.8,106.9,,108.5
2019-03-01,107.0,107.1,,108.7
2019-04-01,107.6,107.4,,109.2
2019-05-01,107.9,107.7,,109.7
2019-06-01,107.9,107.6,,109.5
2019-07-01,107.9,107.7,,109.9
2019-08-01,108.4,108.1,,109.8
2019-09-01,108.5,108.3,,109.7
2019-10-01,108.3,108.4,,109.4
2019-11-01,108.5,108.6,,109.0
2019-12-01,108.5,108.6,,109.0
2020-01-01,108.2,108.0,,109.2
2020-02-01,108.6,108.6,,109.0
2020-03-01,108.6,108.8,,108.5
2020-04-01,108.5,108.9,,107.3
2020-05-01,108.5,109.0,,107.2
2020-06-01,108.6,109.2,,107.7
2020-07-01,109.1,109.7,,108.0
2020-08-01,108.6,109.0,,107.9
2020-09-01,109.1,109.7,,107.8
