date,M4 Money Supply
2000-03-31,831217
2000-06-30,850192
2000-09-30,867428
2000-12-31,881561
2001-03-31,900263
2001-06-30,915148
2001-09-30,938015
2001-12-31,940114
2002-03-31,949334
2002-06-30,969550
2002-09-30,991418
2002-12-31,1005807
2003-03-31,1017622
2003-06-30,1043320
2003-09-30,1052959
2003-12-31,1077573
2004-03-31,1099149
2004-06-30,1127853
2004-09-30,1149453
2004-12-31,1173596
2005-03-31,1212719
2005-06-30,1243616
2005-09-30,1277448
2005-12-31,1322099
2006-03-31,1361195
2006-06-30,1411775
2006-09-30,1460786
2006-12-31,1492705
2007-03-31,1537548
2007-06-30,1591047
2007-09-30,1647870
2007-12-31,1669733
2008-03-31,1712533
2008-06-30,1760041
2008-09-30,1825935
2008-12-31,1933942
2009-03-31,2004805
2009-06-30,1979300
2009-09-30,2010935
2009-12-31,2043196
2010-03-31,2225297
2010-06-30,2207319
2010-09-30,2183300
2010-12-31,2155083
2011-03-31,2168316
2011-06-30,2161649
2011-09-30,2132483
2011-12-31,2086620
2012-03-31,2072318
2012-06-30,2069623
2012-09-30,2080057
2012-12-31,2090210
2013-03-31,2096071
2013-06-30,2097970
2013-09-30,2144180
2013-12-31,2104825
2014-03-31,2115609
2014-06-30,2111754
2014-09-30,2111432
2014-12-31,2103454
2015-03-31,2110567
2015-06-30,2111099
2015-09-30,2099304
2015-12-31,2115160
2016-03-31,2134784
2016-06-30,2188885
2016-09-30,2228792
2016-12-31,2246155
2017-03-31,2292226
2017-06-30,2313614
2017-09-30,2355565
2017-12-31,2355063
2018-03-31,2358891
2018-06-30,2374782
2018-09-30,2383020
2018-12-31,2410983
2019-03-31,2420452
2019-06-30,2426998
2019-09-30,2474596
2019-12-31,2508025
2020-03-31,2619068
2020-06-30,2752055
2020-09-30,2783090
2020-12-31,2812052
2021-03-31,2875313
2021-06-30,2917150
2021-09-30,2948802
2021-12-31,2989561
2022-03-31,3029680
2022-06-30,3033112
2022-09-30,3108989
2022-12-31,3036526
2023-03-31,3037234
2023-06-30,3033388
2023-09-30,2981831
2023-12-31,3000959
2024-03-31,3025146
2024-06-30,3044464
2024-09-30,3070358
2024-12-31,3068472
2025-03-31,3129091
2025-06-30,3144975
2025-09-30,3182185
2025-12-31,3212250
