date,GB2YT,GB10YT
2015-01-01,0.364,1.341
2015-01-02,0.449,1.789
2015-01-03,0.426,1.579
2015-01-04,0.529,1.835
2015-01-05,0.5,1.804
2015-01-06,0.569,2.03
2015-01-07,0.561,1.882
2015-01-08,0.68,1.95
2015-01-09,0.568,1.765
2015-01-10,0.628,1.926
2015-01-11,0.611,1.83
2015-01-12,0.656,1.961
2016-01-01,0.34,1.561
2016-01-02,0.379,1.337
2016-01-03,0.451,1.418
2016-01-04,0.52,1.598
2016-01-05,0.43,1.431
2016-01-06,0.11,0.871
2016-01-07,0.112,0.686
2016-01-08,0.154,0.642
2016-01-09,0.11,0.748
2016-01-10,0.267,1.246
2016-01-11,0.132,1.418
2016-01-12,0.079,1.24
2017-01-01,0.131,1.418
2017-01-02,0.098,1.151
2017-01-03,0.127,1.14
2017-01-04,0.076,1.087
2017-01-05,0.127,1.049
2017-01-06,0.358,1.259
2017-01-07,0.271,1.231
2017-01-08,0.176,1.036
2017-01-09,0.45,1.366
2017-01-10,0.459,1.333
2017-01-11,0.517,1.331
2017-01-12,0.446,1.188
2018-01-01,0.664,1.512
2018-01-02,0.778,1.502
2018-01-03,0.82,1.35
2018-01-04,0.775,1.418
2018-01-05,0.61,1.229
2018-01-06,0.722,1.278
2018-01-07,0.764,1.331
2018-01-08,0.727,1.429
2018-01-09,0.821,1.574
2018-01-10,0.745,1.437
2018-01-11,0.768,1.364
2018-01-12,0.75,1.269
2019-01-01,0.755,1.22
2019-01-02,0.83,1.303
2019-01-03,0.633,0.996
2019-01-04,0.762,1.186
2019-01-05,0.603,0.888
2019-01-06,0.616,0.832
2019-01-07,0.428,0.609
2019-01-08,0.402,0.479
2019-01-09,0.368,0.486
2019-01-10,0.51,0.631
2019-01-11,0.553,0.7
2019-01-12,0.536,0.825
2020-01-01,0.511,0.526
2020-01-02,0.315,0.44
2020-01-03,0.134,0.355
2020-01-04,0.011,0.227
2020-01-05,-0.043,0.185
2020-01-06,-0.082,0.172
2020-01-07,-0.072,0.105
2020-01-08,-0.05,0.313
2020-01-09,-0.014,0.232
2020-01-10,-0.024,0.263
2020-01-11,-0.018,0.306
2020-01-12,-0.155,0.196
2021-01-01,-0.101,0.329
2021-01-02,0.129,0.823
2021-01-03,0.105,0.846
2021-01-04,0.084,0.843
2021-01-05,0.066,0.796
2021-01-06,0.059,0.718
2021-01-07,0.061,0.566
2021-01-08,0.158,0.622
2021-01-09,0.411,1.022
2021-01-10,0.71,1.032
2021-01-11,0.479,0.811
2021-01-12,0.679,0.972
2022-01-01,1.044,1.309
2022-01-02,1.053,1.415
2022-01-03,1.359,1.607
2022-01-04,1.608,1.909
2022-01-05,1.578,2.1
2022-01-06,1.878,2.24
2022-01-07,1.714,1.853
2022-01-08,3.008,2.799
2022-01-09,4.301,4.096
2022-01-10,3.274,3.523
2022-01-11,3.28,3.163
2022-01-12,3.707,3.669
2023-01-01,3.453,3.334
2023-01-02,3.682,3.824
2023-01-03,3.441,3.49
2023-01-04,3.78,3.716
2023-01-05,4.33,4.179
2023-01-06,5.263,4.387
2023-01-07,4.979,4.308
2023-01-08,5.145,4.36
2023-01-09,4.908,4.447
2023-01-10,4.785,4.518
2023-01-11,4.591,4.176
2023-01-12,3.977,3.539
2024-01-01,4.227,3.798
2024-01-02,4.308,4.126
2024-01-03,4.157,3.938
2024-01-04,4.505,4.351
2024-01-05,4.419,4.324
2024-01-06,4.219,4.176
2024-01-07,3.81,3.971
2024-01-08,4.113,4.016
2024-01-09,3.9835,4.007
2024-01-10,4.425,4.445
2024-01-11,4.2305,4.244
2024-01-12,4.3665,4.566
2025-01-01,4.21,4.534
2025-01-02,4.1745,4.4835
2025-01-03,4.189,4.676
2025-01-04,3.804,4.439
2025-01-05,4.025,4.648
2025-01-06,3.82,4.486
2025-01-07,3.87,4.567
2025-01-08,3.951,4.722
2025-01-09,3.991,4.701
2025-01-10,3.769,4.408
2025-01-11,3.744,4.442
2025-01-12,3.714,4.474
2026-01-01,3.722,4.525
2026-01-02,3.52,4.236
2026-01-03,4.411,4.918
2026-01-04,4.224,4.799
