date,Official Reserves Excluding Gold
2006-01-01,54549.6131176
2006-02-01,54320.6366319
2006-03-01,54310.8227707
2006-04-01,55805.2209772
2006-05-01,56049.3143999
2006-06-01,56892.9142222
2006-07-01,56517.7338299
2006-08-01,55564.7420145
2006-09-01,55175.9590331
2006-10-01,54547.3746565
2006-11-01,55663.8869794
2006-12-01,54853.8747610
2007-01-01,54022.3047083
2007-02-01,55040.5644475
2007-03-01,55509.5694659
2007-04-01,55678.4815190
2007-05-01,54966.4435065
2007-06-01,55085.9909500
2007-07-01,55988.1514580
2007-08-01,56467.2770058
2007-09-01,58029.3283862
2007-10-01,58585.3887074
2007-11-01,59924.9062286
2007-12-01,59524.2344641
2008-01-01,60975.5853836
2008-02-01,62362.9672847
2008-03-01,64723.0757022
2008-04-01,63330.5680240
2008-05-01,64128.9355602
2008-06-01,64698.6256725
2008-07-01,63790.8117484
2008-08-01,61519.3555575
2008-09-01,60792.9728861
2008-10-01,58721.9142286
2008-11-01,62337.3591639
2008-12-01,66607.0060995
2009-01-01,64322.5254758
2009-02-01,62157.7389989
2009-03-01,63916.5097963
2009-04-01,64073.5328983
2009-05-01,70696.7730996
2009-06-01,70447.5528800
2009-07-01,71890.2090579
2009-08-01,115805.0097682
2009-09-01,123254.9296210
2009-10-01,123649.0379306
2009-11-01,123978.9201541
2009-12-01,119718.8725959
2010-01-01,118919.2127713
2010-02-01,118251.7012528
2010-03-01,116479.7000355
2010-04-01,115440.3789360
2010-05-01,113133.3427058
2010-06-01,113472.9856810
2010-07-01,118086.0935322
2010-08-01,117405.6675410
2010-09-01,122057.9964934
2010-10-01,124350.6766777
2010-11-01,119241.1699546
2010-12-01,121391.8061979
2011-01-01,122902.1054680
2011-02-01,123613.6676265
2011-03-01,128273.5151386
2011-04-01,131947.5272476
2011-05-01,135904.8844203
2011-06-01,136618.7629493
2011-07-01,138662.4788847
2011-08-01,139612.6760866
2011-09-01,137445.5631406
2011-10-01,139654.0843567
2011-11-01,136987.2656394
2011-12-01,136912.2267385
2012-01-01,138238.8053205
2012-02-01,137840.4979081
2012-03-01,138036.8190251
2012-04-01,141421.6396328
2012-05-01,137823.7792221
2012-06-01,138789.3040347
2012-07-01,138342.5171558
2012-08-01,140460.1303212
2012-09-01,142034.3229402
2012-10-01,141187.2526606
2012-11-01,140234.4591843
2012-12-01,139133.8708574
2013-01-01,140853.8848999
2013-02-01,137796.3207249
2013-03-01,135287.6292792
2013-04-01,135753.5888818
2013-05-01,133000.6483388
2013-06-01,134661.5961100
2013-07-01,136385.7000227
