date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
2000-01-01,13878.147,10002.179,9039.743,2351.223,1280.897,1661.851,2831.903
2000-04-01,14130.908,10247.720,9124.152,2490.501,1319.937,1714.792,2859.814
2000-07-01,14145.312,10318.165,9211.569,2466.375,1351.623,1776.491,2847.750
2000-10-01,14229.765,10435.744,9292.050,2471.534,1338.104,1779.089,2865.194
2001-01-01,14183.120,10470.231,9325.751,2358.969,1321.256,1756.138,2909.984
2001-04-01,14271.694,10599.000,9344.486,2362.652,1282.544,1699.930,2960.454
2001-07-01,14214.516,10598.020,9377.003,2311.409,1216.869,1661.369,2957.571
2001-10-01,14253.574,10660.465,9528.302,2196.554,1174.568,1644.162,3006.637
2002-01-01,14372.785,10783.500,9549.516,2262.071,1200.226,1690.878,3059.334
2002-04-01,14460.848,10887.460,9597.820,2298.939,1235.950,1747.541,3082.755
2002-07-01,14519.633,10984.040,9664.988,2295.983,1239.872,1769.759,3098.595
2002-10-01,14537.580,11061.433,9718.745,2293.746,1221.597,1801.535,3121.374
2003-01-01,14614.141,11174.129,9766.616,2312.465,1217.842,1793.694,3124.051
2003-04-01,14743.567,11312.766,9878.442,2327.492,1219.986,1819.841,3152.710
2003-07-01,14988.782,11566.669,10018.122,2411.638,1253.316,1848.341,3159.860
2003-10-01,15162.760,11772.234,10087.092,2493.928,1309.666,1907.048,3178.923
2004-01-01,15248.680,11923.447,10181.141,2498.140,1339.286,1960.461,3193.302
2004-04-01,15366.850,12112.815,10236.694,2597.507,1367.358,2037.690,3201.827
2004-07-01,15512.619,12305.307,10356.936,2638.672,1371.930,2065.934,3207.809
2004-10-01,15670.880,12527.214,10474.084,2693.575,1404.510,2114.053,3205.846
2005-01-01,15844.727,12767.286,10540.638,2769.261,1430.827,2132.265,3221.699
2005-04-01,15922.782,12922.656,10657.449,2733.225,1462.813,2160.811,3219.797
2005-07-01,16047.587,13142.642,10745.873,2769.106,1462.546,2172.945,3230.377
2005-10-01,16136.734,13324.204,10765.680,2857.350,1507.833,2242.978,3232.898
2006-01-01,16353.835,13599.160,10883.075,2899.229,1568.985,2289.138,3273.905
2006-04-01,16396.151,13753.424,10939.498,2882.564,1598.092,2311.934,3272.721
2006-07-01,16420.738,13870.188,11009.748,2871.589,1596.037,2335.034,3267.713
2006-10-01,16561.866,14039.560,11114.771,2818.228,1656.573,2332.033,3294.635
2007-01-01,16611.690,14215.651,11183.323,2800.037,1689.392,2365.980,3299.115
2007-04-01,16713.314,14402.082,11212.669,2827.010,1714.981,2378.558,3329.139
2007-07-01,16809.587,14564.117,11287.468,2794.526,1768.587,2391.879,3344.222
2007-10-01,16915.191,14715.058,11331.949,2762.518,1809.181,2369.287,3370.950
2008-01-01,16843.003,14706.538,11316.411,2686.998,1838.024,2378.171,3378.654
2008-04-01,16943.291,14865.701,11347.595,2641.850,1892.001,2355.670,3407.753
2008-07-01,16854.295,14898.999,11260.136,2589.254,1883.563,2325.941,3435.100
2008-10-01,16485.350,14608.209,11158.801,2338.938,1772.800,2241.832,3458.839
2009-01-01,16298.262,14430.902,11130.464,2073.135,1631.257,2028.740,3498.103
2009-04-01,16269.145,14381.236,11075.748,1952.641,1641.991,1946.352,3549.027
2009-07-01,16326.281,14448.882,11150.230,1946.867,1702.680,2026.658,3558.540
2009-10-01,16502.754,14651.249,11137.946,2128.516,1796.464,2125.297,3565.188
2010-01-01,16582.710,14764.610,11202.495,2174.335,1836.914,2178.743,3549.775
2010-04-01,16743.162,14980.193,11302.955,2288.469,1877.331,2278.127,3560.566
2010-07-01,16872.266,15141.607,11383.596,2390.072,1930.963,2357.757,3535.371
2010-10-01,16960.864,15309.474,11453.368,2383.297,1983.824,2366.425,3512.905
2011-01-01,16920.632,15351.448,11497.120,2338.901,2000.839,2377.978,3469.798
2011-04-01,17035.114,15557.539,11508.950,2434.538,2034.722,2386.867,3446.079
2011-07-01,17031.313,15647.680,11543.975,2445.296,2062.730,2413.346,3396.917
2011-10-01,17222.583,15842.259,11563.890,2633.829,2078.364,2445.030,3394.613
2012-01-01,17367.010,16068.805,11647.297,2692.179,2103.747,2457.077,3380.162
2012-04-01,17444.525,16207.115,11667.753,2752.614,2124.460,2466.212,3362.330
2012-07-01,17469.650,16319.541,11691.414,2759.860,2137.473,2479.452,3357.201
2012-10-01,17489.852,16420.419,11738.007,2736.423,2139.526,2456.092,3324.137
2013-01-01,17662.400,16648.189,11814.326,2845.380,2150.631,2453.983,3293.099
2013-04-01,17709.671,16728.687,11848.089,2882.489,2170.131,2489.615,3288.858
2013-07-01,17860.450,16953.838,11896.258,2998.991,2188.712,2507.502,3272.825
2013-10-01,18016.147,17192.019,12001.027,3027.805,2251.769,2527.321,3247.579
2014-01-01,17953.974,17197.738,12044.203,2998.148,2230.209,2559.945,3233.646
2014-04-01,18185.911,17518.508,12159.899,3121.321,2278.387,2618.248,3238.033
2014-07-01,18406.941,17804.228,12280.086,3193.152,2287.790,2623.176,3259.900
2014-10-01,18500.031,17912.079,12421.595,3203.351,2306.749,2692.035,3257.472
2015-01-01,18666.621,18063.529,12516.902,3314.895,2288.491,2732.128,3277.170
2015-04-01,18782.243,18279.784,12603.053,3328.049,2294.628,2753.525,3309.301
2015-07-01,18857.418,18401.626,12691.790,3335.270,2276.101,2772.301,3326.769
2015-10-01,18892.206,18435.137,12743.411,3315.334,2273.012,2780.142,3341.055
2016-01-01,19001.690,18525.933,12839.618,3301.090,2266.512,2776.830,3371.646
2016-04-01,19062.709,18711.702,12903.306,3287.033,2284.053,2780.375,3369.042
2016-07-01,19197.938,18892.639,12993.064,3301.079,2321.136,2800.667,3383.696
2016-10-01,19304.352,19089.379,13060.061,3391.749,2303.823,2841.006,3389.649
2017-01-01,19398.343,19280.084,13160.475,3382.703,2359.904,2885.003,3380.244
2017-04-01,19506.949,19438.643,13225.743,3435.929,2367.862,2912.428,3389.811
2017-07-01,19660.766,19692.595,13315.382,3493.166,2381.788,2923.573,3394.009
2017-10-01,19882.352,20037.088,13460.902,3558.859,2443.487,3005.351,3424.498
2018-01-01,20044.077,20328.553,13558.373,3612.936,2459.308,3017.795,3431.709
2018-04-01,20150.476,20580.912,13630.967,3612.389,2472.656,3021.689,3456.309
2018-07-01,20276.154,20798.730,13693.790,3722.248,2441.791,3064.175,3483.628
2018-10-01,20304.874,20917.867,13736.572,3724.752,2451.936,3096.191,3488.352
2019-01-01,20431.641,21111.600,13758.331,3755.530,2474.928,3094.294,3536.600
2019-04-01,20602.275,21397.938,13875.705,3790.049,2462.392,3111.425,3584.587
2019-07-01,20843.322,21717.171,14033.222,3819.940,2462.912,3097.883,3625.512
2019-10-01,20985.448,21933.217,14125.274,3770.431,2477.908,3039.834,3654.831
2020-01-01,20709.212,21751.238,13887.048,3676.274,2386.717,2931.505,3694.317
2020-04-01,19077.992,19958.291,12685.319,3163.508,1886.408,2435.856,3773.803
2020-07-01,20558.879,21704.437,13813.706,3755.526,2115.807,2837.626,3709.590
2020-10-01,20791.917,22087.160,14001.366,3878.929,2242.313,3049.403,3713.073
2021-01-01,21082.134,22680.693,14319.617,3849.329,2247.373,3107.094,3765.689
2021-04-01,21440.929,23425.910,14820.014,3799.029,2270.167,3174.424,3721.606
2021-07-01,21617.828,23982.379,14943.244,3937.300,2268.632,3225.508,3693.852
2021-10-01,21988.737,24813.600,15086.862,4191.773,2402.502,3387.133,3693.416
2022-01-01,21932.710,25250.347,15100.850,4272.382,2377.526,3484.366,3665.467
2022-04-01,21967.045,25861.292,15224.357,4176.990,2451.687,3544.731,3652.407
2022-07-01,22125.625,26336.304,15295.828,4105.292,2538.933,3492.024,3667.845
2022-10-01,22278.345,26770.514,15326.248,4184.980,2520.098,3464.615,3705.121
2023-01-01,22439.607,27216.445,15495.754,4108.542,2543.543,3455.733,3742.908
2023-04-01,22580.499,27530.055,15553.719,4180.752,2509.264,3437.378,3773.544
2023-07-01,22840.989,28074.846,15671.906,4275.527,2536.726,3462.895,3821.238
2023-10-01,23033.780,28424.722,15789.717,4313.169,2574.628,3508.776,3865.061
2024-01-01,23082.119,28708.161,15857.704,4296.251,2603.639,3567.779,3887.055
2024-04-01,23286.508,29147.044,16009.637,4381.983,2607.960,3640.206,3919.170
2024-07-01,23478.570,29511.664,16165.768,4392.176,2664.338,3729.233,3971.281
2024-10-01,23586.542,29825.182,16320.890,4315.564,2658.454,3727.448,4003.781
2025-01-01,23548.210,30042.113,16345.793,4547.947,2659.528,4040.246,3993.923
2025-04-01,23770.976,30485.729,16445.685,4382.819,2647.279,3705.316,3992.974
2025-07-01,24026.834,31098.027,16585.878,4383.186,2708.774,3664.266,4014.983
2025-10-01,24055.749,31422.526,16665.219,4408.299,2686.754,3655.411,3957.098
2026-01-01,24174.527,31856.257,16731.167,4501.152,2769.377,3836.900,3999.713
