date,Domestic Financial Sector Equities,Central Government Debt Liabilities,Nonfinancial Corporate Equities,State Local Government Debt Liabilities,Nonfinancial Corporate Debt Liabilities,Household Nonprofit Debt Liabilities,Rest Of World Debt Liabilities
2000-01-01,2620331,4326404,16264154,1198428,6786731,4611355,796953
2000-04-01,2546732,4147231,15615227,1205311,6931193,4732594,779534
2000-07-01,2968214,4107482,15260386,1200170,7114812,4780204,810885
2000-10-01,3030513,4090025,13360898,1212519,7248274,4828149,837115
2001-01-01,2719294,4122030,11800946,1240117,7306169,4849323,846659
2001-04-01,2942814,3976229,12656812,1275225,7508837,4940705,834084
2001-07-01,2603657,4058181,10609401,1281690,7762033,4960195,812200
2001-10-01,2831305,4145237,11943242,1319612,7891964,4969379,829453
2002-01-01,2954502,4183973,12002924,1340883,8021818,4977621,846789
2002-04-01,2804077,4213894,10417477,1390777,8207037,4978330,871000
2002-07-01,2416140,4314504,8666573,1414729,8424641,4970234,872641
2002-10-01,2550363,4427328,9268698,1462866,8668354,4986640,954427
2003-01-01,2429185,4517892,9023337,1490086,8851716,4979367,931107
2003-04-01,2846974,4585543,10368991,1545328,9240759,4995320,952650
2003-07-01,2963234,4702629,10766593,1555237,9494296,5019570,922957
2003-10-01,3319052,4848035,11931450,1585929,9749490,5022088,1155574
2004-01-01,3509389,4970105,12338980,2362139,9938456,5088676,1183229
2004-04-01,3398287,5018844,12636620,2426023,10252190,5120272,1175630
2004-07-01,3419754,5117264,12344618,2461276,10521348,5167525,1219844
2004-10-01,3723693,5250883,13516522,2505462,10880717,5253240,1280939
2005-01-01,3547080,5403995,13463935,2559550,11084467,5305074,1296682
2005-04-01,3694841,5356972,13737023,2607459,11409019,5396107,1327047
2005-07-01,3750937,5443776,14223254,2635623,11758453,5436572,1346349
2005-10-01,3982053,5584775,14216722,2672538,12053688,5535584,1343414
2006-01-01,4163071,5726756,15232648,2678463,12414576,5624490,1385426
2006-04-01,4064908,5656530,14744630,2717585,12767132,5753372,1466497
2006-07-01,4292939,5714828,15145284,2739370,13087576,5803558,1585080
2006-10-01,4622609,5803923,16022452,2792955,13347410,5948632,1648837
2007-01-01,4555756,5940824,16655893,2853911,13524993,6058840,1715336
2007-04-01,4636930,5819983,17392120,2904933,13819955,6274906,1824983
2007-07-01,4518763,5941940,17569246,2922713,14051221,6470009,1930411
2007-10-01,4138698,6074315,16913585,2972768,14243314,6641589,1980191
2008-01-01,3648869,6259453,15604794,2998259,14369890,6758814,2002847
2008-04-01,3208193,6217605,15443315,3006373,14314991,6891764,1931186
2008-07-01,3308529,6762926,13819458,3005548,14445107,6951429,1701448
2008-10-01,2694732,7376817,11037133,3020986,14163363,6919005,1585221
2009-01-01,2261619,7820167,9957366,3050377,14064536,6859758,1606417
2009-04-01,2752255,8162894,11350929,3084362,14030349,6808046,1753927
2009-07-01,3359163,8557508,12975330,3106363,14016493,6642804,1915555
2009-10-01,3338433,8882645,13673867,3166738,14002904,6477691,1992381
2010-01-01,3703552,9343729,14221536,3198845,13900951,6446643,2072136
2010-04-01,3360991,9692462,12774684,3196020,13843788,6382093,2063013
2010-07-01,3577231,10099248,14162081,3205407,13779651,6426731,2244987
2010-10-01,3962434,10528562,15565085,3266679,13770472,6375555,2272750
2011-01-01,4145060,10774648,16567097,3249433,13740622,6411761,2365956
2011-04-01,4003347,10885275,16518551,3221724,13689720,6502687,2512692
2011-07-01,3290507,11276944,14189926,3222872,13676596,6605617,2485615
2011-10-01,3555479,11667250,15596989,3242287,13662117,6714331,2494762
2012-01-01,4454547,12049105,17018707,3256743,13602049,6763762,2483166
2012-04-01,4219903,12253605,16544754,3273428,13571155,6837371,2538471
2012-07-01,4143203,12503109,17646886,3276845,13578451,6974731,2699628
2012-10-01,4256238,12847828,17484535,3256918,13553368,7125956,2798928
2013-01-01,4710977,13195652,19638659,3268163,13518855,7169218,2862520
2013-04-01,4900167,13104008,19999619,3253160,13540141,7327312,2812348
2013-07-01,5123146,13257919,21082861,3232490,13596372,7484821,2895083
2013-10-01,5608937,13705127,22683952,3267739,13766140,7584536,2918906
2014-01-01,5745554,13954551,23437300,3273669,13751895,7722885,3007728
2014-04-01,5911572,13911001,24512153,3263420,13817301,7840275,3203287
2014-07-01,5968200,14141265,24322139,3194882,13805490,7965681,3194649
2014-10-01,6331413,14441054,25320305,3207208,13866322,8130085,3230574
2015-01-01,6370555,14519909,25497135,3233089,13836128,8313788,3245835
2015-04-01,6533325,14505616,25189326,3245713,13959029,8545014,3219899
2015-07-01,6035280,14600730,23284705,3242636,14075910,8651289,3139840
2015-10-01,6266444,15165626,24352281,3241069,14077819,8737290,3122644
2016-01-01,6047960,15401755,24766471,3259648,14093052,8927768,3189989
2016-04-01,6185746,15409707,25256560,3282671,14219769,8988373,3252604
2016-07-01,6550529,15668297,25848598,3280003,14386078,9073702,3274746
2016-10-01,7324811,16008291,25859850,3284722,14487244,9028576,3203800
2017-01-01,7674866,16005625,27264628,3274227,14541321,9203622,3338725
2017-04-01,8009024,15964128,27699127,3274827,14693742,9334457,3445339
2017-07-01,8418428,16267151,28462120,3261345,14840522,9394116,3548119
2017-10-01,8991728,16606939,30027851,3299737,15032907,9580249,3746934
2018-01-01,8917181,17070617,29749632,3279383,15079504,9694070,3828155
2018-04-01,8929744,17114196,30848969,3278322,15203316,10066725,3813024
2018-07-01,9311528,17440621,32564623,3269095,15367909,10143618,3878091
2018-10-01,8192247,17865026,27928374,3255899,15499332,10286308,3905529
2019-01-01,8882974,18143779,31842863,3240113,15515827,10525344,3947938
2019-04-01,9361216,18053021,32628387,3224964,15708578,10662299,4128315
2019-07-01,9373830,18616233,32784212,3221841,15899031,10822523,4197606
2019-10-01,10167107,19039898,35067526,3256841,16080607,10885289,4260739
2020-01-01,7630142,19539608,28006514,3268189,16099976,11698205,4062769
2020-04-01,8829029,22391682,34552363,3295245,16100834,12157550,4277514
2020-07-01,9338834,22920579,38116010,3333995,16352666,12007073,4357094
2020-10-01,11119393,23621060,43789813,3364090,16616457,11957679,4523110
2021-01-01,12388359,23962809,46709500,3386893,16775060,12149026,4671962
2021-04-01,13462318,24321359,50520724,3404402,17485916,12352736,4754486
2021-07-01,13711058,24449968,50552060,3418977,17825750,12479783,4962234
2021-10-01,14937798,25304484,54267369,3429455,18203416,12695292,5033339
2022-01-01,14530162,26035871,51242409,3404927,18501226,12971989,4848976
2022-04-01,12522283,26070381,42362863,3414188,18871410,13121887,4674249
2022-07-01,12046923,26488094,40369805,3408969,19199244,13148674,4586130
