date,sp500,nasdaq100,Real Estate
2015-01-01,"1,994.99","4,148.43",
2015-01-02,"2,104.50","4,440.67",
2015-01-03,"2,067.89","4,333.69",
2015-01-04,"2,085.51","4,414.25",
2015-01-05,"2,107.39","4,508.25",
2015-01-06,"2,063.11","4,396.76",
2015-01-07,"2,103.84","4,588.91",
2015-01-08,"1,972.18","4,274.58",
2015-01-09,"1,920.03","4,181.06",
2015-01-10,"2,079.36","4,648.83",
2015-01-11,"2,080.41","4,664.51",30.75
2015-01-12,"2,043.94","4,593.27",31.18
2016-01-01,"1,940.24","4,279.17",29.19
2016-01-02,"1,932.23","4,201.12",29.33
2016-01-03,"2,059.74","4,483.65",32.16
2016-01-04,"2,065.30","4,341.30",31.38
2016-01-05,"2,096.96","4,523.89",31.92
2016-01-06,"2,098.86","4,417.70",33.59
2016-01-07,"2,173.60","4,730.23",34.68
2016-01-08,"2,170.95","4,771.06",33.38
2016-01-09,"2,168.27","4,875.70",32.77
2016-01-10,"2,126.15","4,801.27",30.95
2016-01-11,"2,198.81","4,810.81",30.01
2016-01-12,"2,238.83","4,863.62",30.75
2017-01-01,"2,278.87","5,116.77",30.71
2017-01-02,"2,363.64","5,330.31",32.14
2017-01-03,"2,362.72","5,436.23",31.6
2017-01-04,"2,384.20","5,583.53",31.65
2017-01-05,"2,411.80","5,788.80",31.86
2017-01-06,"2,423.41","5,646.92",32.2
2017-01-07,"2,470.30","5,880.33",32.59
2017-01-08,"2,471.65","5,988.60",32.92
2017-01-09,"2,519.36","5,979.30",32.24
2017-01-10,"2,575.26","6,248.56",32.5
2017-01-11,"2,647.58","6,365.56",33.45
2017-01-12,"2,673.61","6,396.42",32.94
2018-01-01,"2,823.81","6,949.99",32.31
2018-01-02,"2,713.83","6,854.42",30.11
2018-01-03,"2,640.87","6,581.13",31.08
2018-01-04,"2,648.05","6,605.57",30.89
2018-01-05,"2,705.27","6,967.73",31.58
2018-01-06,"2,718.37","7,040.80",32.71
2018-01-07,"2,816.29","7,231.98",33.05
2018-01-08,"2,901.52","7,654.55",33.85
2018-01-09,"2,913.98","7,627.65",32.61
2018-01-10,"2,711.74","6,967.10",32.09
2018-01-11,"2,760.17","6,949.01",33.85
2018-01-12,"2,506.85","6,329.97",31
2019-01-01,"2,704.10","6,906.84",34.33
2019-01-02,"2,784.49","7,097.52",34.71
2019-01-03,"2,834.40","7,378.77",36.22
2019-01-04,"2,945.83","7,781.46",36.03
2019-01-05,"2,752.06","7,127.96",36.47
2019-01-06,"2,941.76","7,671.07",36.77
2019-01-07,"2,980.38","7,848.78",37.41
2019-01-08,"2,926.46","7,691.00",39.21
2019-01-09,"2,976.74","7,749.45",39.34
2019-01-10,"3,037.56","8,083.83",39.33
2019-01-11,"3,140.98","8,403.68",38.65
2019-01-12,"3,230.78","8,733.07",38.67
2020-01-01,"3,225.52","8,991.51",39.23
2020-01-02,"2,954.22","8,461.83",36.79
2020-01-03,"2,584.59","7,813.50",31
2020-01-04,"2,912.43","9,000.51",33.92
2020-01-05,"3,044.31","9,555.52",34.65
2020-01-06,"3,100.29","10,156.85",34.81
2020-01-07,"3,271.12","10,905.88",36.26
2020-01-08,"3,500.31","12,110.70",36.25
2020-01-09,"3,363.00","11,418.06",35.27
2020-01-10,"3,269.96","11,052.95",34.15
2020-01-11,"3,621.63","12,268.32",36.5
2020-01-12,"3,756.07","12,888.28",36.56
2021-01-01,"3,714.24","12,925.38",36.76
2021-01-02,"3,811.15","12,909.44",37.34
2021-01-03,"3,972.89","13,091.44",39.49
2021-01-04,"4,181.17","13,860.76",42.77
2021-01-05,"4,204.11","13,686.51",43.26
2021-01-06,"4,297.50","14,554.80",44.33
2021-01-07,"4,395.26","14,959.90",46.38
2021-01-08,"4,522.68","15,582.51",47.68
2021-01-09,"4,307.54","14,689.62",44.45
2021-01-10,"4,605.38","15,850.47",47.82
2021-01-11,"4,567.00","16,135.92",47.39
2021-01-12,"4,766.18","16,320.08",51.81
2022-01-01,"4,515.55","14,930.05",47.34
2022-01-02,"4,373.94","14,237.81",45.07
2022-01-03,"4,530.41","14,838.49",48.32
2022-01-04,"4,131.93","12,854.80",46.6
2022-01-05,"4,132.15","12,642.10",44.22
2022-01-06,"3,785.38","11,503.72",40.86
2022-01-07,"4,130.29","12,947.98",44.34
2022-01-08,"3,955.00","12,272.03",41.85
2022-01-09,"3,585.62","10,971.22",36.01
2022-01-10,"3,871.98","11,405.57",36.73
2022-01-11,"4,080.11","12,030.06",39.24
2022-01-12,"3,839.50","10,939.76",36.93
2023-01-01,"4,076.60","12,101.93",40.59
2023-01-02,"3,970.15","12,042.12",38.21
2023-01-03,"4,109.31","13,181.35",37.38
2023-01-04,"4,169.48","13,245.99",37.75
2023-01-05,"4,179.83","14,254.09",36.04
2023-01-06,"4,450.38","15,179.21",37.69
2023-01-07,"4,588.96","15,757.00",38.19
2023-01-08,"4,507.66","15,501.07",37.02
2023-01-09,"4,288.05","14,715.24",34.07
2023-01-10,"4,193.80","14,409.78",33.1
2023-01-11,"4,567.80","15,947.87",37.23
2023-01-12,"4,769.83","16,825.93",40.06
2024-01-01,"4,845.65","17,137.24",38.13
2024-01-02,"5,096.27","18,043.85",39.11
2024-01-03,"5,254.35","18,254.69",39.53
2024-01-04,"5,035.69","17,440.69",36.19
2024-01-05,"5,277.51","18,536.65",38.05
2024-01-06,"5,460.48","19,682.87",38.41
2024-01-07,"5,522.30","19,362.43",41.19
2024-01-08,"5,648.40","19,574.64",43.55
