date,sp500,nasdaq100,Dow Jones Industrial Average,US Small Cap 2000,VIX,EUSA,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Materials,Real Estate,Technology,Utilities,US10YT,Central Bank Policy Rate
2015-01-01,"1,994.99","4,148.43","17,164.95","1,165.39",20.97,43.15,,34.99,48.02,36.68,18.68,68.82,54.57,23.84,,19.95,24.16,1.639,0.11
2015-02-01,"2,104.50","4,440.67","18,132.70","1,233.37",13.34,45.36,,37.99,50.01,38.36,19.77,71.77,57.49,25.75,,21.55,22.61,1.997,0.11
2015-03-01,"2,067.89","4,333.69","17,776.12","1,252.77",15.29,44.53,,37.67,48.74,37.66,19.58,72.03,55.77,24.39,,20.72,22.22,1.927,0.11
2015-04-01,"2,085.51","4,414.25","17,840.52","1,220.13",14.55,44.68,,37.65,48.37,40.14,19.59,71.25,55.63,25.21,,21.29,22.11,2.035,0.12
2015-05-01,"2,107.39","4,508.25","18,010.68","1,246.53",13.84,45.45,,38.15,48.79,38.06,19.98,74.46,55.81,25.31,,21.68,22.25,2.123,0.12
2015-06-01,"2,063.11","4,396.76","17,619.51","1,253.95",18.23,44.5,,38.24,47.6,36.49,19.8,73.91,54.06,24.19,,20.7,20.73,2.349,0.13
2015-07-01,"2,103.84","4,588.91","17,689.86","1,238.68",12.12,45.2,,40.11,50.31,33.68,20.47,76.09,54.22,22.98,,21.29,22,2.187,0.13
2015-08-01,"1,972.18","4,274.58","16,528.03","1,159.45",28.43,42.6,,37.49,47.31,32.25,19.03,70.03,51.29,21.68,,20.11,21.23,2.214,0.14
2015-09-01,"1,920.03","4,181.06","16,284.70","1,100.69",24.5,40.5,,37.13,47.19,29.71,18.4,65.8,49.89,19.96,,19.75,21.65,2.035,0.14
2015-10-01,"2,079.36","4,648.83","17,663.54","1,161.86",15.07,43.67,,40.49,49.88,33.03,19.55,70.88,54.27,22.64,,21.83,21.88,2.146,0.12
2015-11-01,"2,080.41","4,664.51","17,719.92","1,198.11",16.13,43.65,,40.39,49.42,33.02,19.94,70.65,54.74,22.86,30.75,21.98,21.41,2.208,0.12
2015-12-01,"2,043.94","4,593.27","17,425.03","1,135.89",18.21,42.2,,39.08,50.49,29.28,19.35,71.56,53.01,21.71,31.18,21.42,21.64,2.269,0.24
2016-01-01,"1,940.24","4,279.17","16,466.30","1,035.38",20.2,39.22,,37.06,50.76,28.26,17.64,66.04,49.99,19.39,29.19,20.62,22.71,1.923,0.34
2016-02-01,"1,932.23","4,201.12","16,516.50","1,033.90",20.55,39.8,,37.22,50.92,27.47,17.13,65.8,52.12,20.9,29.33,20.49,23.15,1.738,0.38
2016-03-01,"2,059.74","4,483.65","17,685.09","1,114.03",13.95,42.67,,39.55,53.06,30.05,18.27,67.34,55.47,22.41,32.16,22.18,24.81,1.77,0.36
2016-04-01,"2,065.30","4,341.30","17,773.64","1,130.84",15.7,43.32,,39.6,52.3,32.77,18.93,69.34,56.16,23.55,31.38,21.07,24.21,1.835,0.37
2016-05-01,"2,096.96","4,523.89","17,787.20","1,154.79",14.19,44.16,,39.62,52.66,32.46,19.29,70.89,55.92,23.47,31.92,22.09,24.58,1.851,0.37
2016-06-01,"2,098.86","4,417.70","17,929.99","1,151.92",15.63,43.86,,39.03,55.15,33.13,18.56,71.24,56.01,23.17,33.59,21.68,26.24,1.475,0.38
