date,Manufacturing Durable Goods Orders,Business Conditions Diffusion Index,Industrial Production Index,Services Consumption (Nominal),Services Consumption (Real)
1992-02-01,114535,0.6,61.8955,159189,114855
1992-03-01,120025,15,62.4232,158647,114052
1992-04-01,124470,20,62.897,159921,114721
1992-05-01,125822,17,63.104,160471,114868
1992-06-01,122834,15,63.1363,161205,115064
1992-07-01,122590,27.6,63.7176,162855,115911
1992-08-01,120411,16.7,63.3613,162412,115349
1992-09-01,120711,21,63.5703,164361,116485
1992-10-01,127392,-4.8,63.9995,166063,117193
1992-11-01,122374,18.2,64.2422,166124,116906
1992-12-01,126080,25.4,64.3507,167691,117843
1993-01-01,121637,31.1,64.5978,169500,118697
1993-02-01,128854,34.3,64.9089,168840,117987
1993-03-01,126762,16.2,64.8522,167682,117015
1993-04-01,127395,23.3,65.0301,172102,119682
1993-05-01,126529,14.8,64.784,172960,119945
1993-06-01,130212,3.5,64.9301,173018,119902
1993-07-01,128111,-3.2,65.1052,175822,121676
1993-08-01,129378,-0.3,65.0267,175233,121017
1993-09-01,127233,7.3,65.3717,176608,121799
1993-10-01,133168,8.9,65.8509,177588,121970
1993-11-01,130391,18.9,66.1518,179758,123122
1993-12-01,133565,41.4,66.5436,181077,123771
1994-01-01,138498,27.2,66.7351,179615,122772
1994-02-01,137141,21.2,66.774,183101,124813
1994-03-01,136548,19.8,67.4552,186721,126935
1994-04-01,140336,16.8,67.8541,186423,126646
1994-05-01,142630,22.1,68.1663,185616,125841
1994-06-01,145063,25,68.6265,187800,126978
1994-07-01,145013,17.8,68.7178,188062,126726
1994-08-01,145884,18.5,69.1785,190771,128034
1994-09-01,145487,18.4,69.3961,192585,128992
1994-10-01,149547,26.1,69.9544,193914,129795
1994-11-01,150038,24.7,70.4326,194425,129790
1994-12-01,152489,23.3,71.1523,194939,129873
1995-01-01,150459,8.8,71.2734,195908,130171
1995-02-01,153856,9.2,71.193,193068,127944
1995-03-01,152888,2,71.3113,195179,129087
1995-04-01,151401,-11.2,71.1882,195310,128663
1995-05-01,152838,-8.5,71.5378,198060,130217
1995-06-01,150051,-20.7,71.7749,200383,131485
1995-07-01,148915,-20.4,71.4748,199110,130478
1995-08-01,154372,1.2,72.4223,201078,131509
1995-09-01,160175,26.2,72.7144,201337,131507
1995-10-01,155473,21.7,72.5866,200597,130682
1995-11-01,156146,5.5,72.7779,203545,132430
1995-12-01,163279,19.6,73.0305,204032,132574
1996-01-01,155806,-14.7,72.6125,203793,131734
1996-02-01,150773,4.8,73.6752,206875,133468
1996-03-01,164976,-3.5,73.585,207650,133537
1996-04-01,156830,21.3,74.3172,209294,134077
1996-05-01,164502,19.6,74.8726,211157,135011
1996-06-01,164599,21,75.4433,209474,133678
1996-07-01,163588,29.5,75.4549,210827,134285
1996-08-01,157310,13.8,75.8411,210846,134126
