date,Primary Metals New Orders,Fabricated Metal Products New Orders,Electrical Equipment New Orders,Computers New Orders,Machinery New Orders,Transportation Equipment New Orders,New Orders ex Transport,Manufacturing New Orders,Durable Goods New Orders,Core New Orders
2000-01-01,13799,22789,25307,34317,11050,61747,139613,144856,201360,63975
2000-02-01,13331,21512,22649,33171,10175,51486,132425,130377,183911,58497
2000-03-01,13412,22730,24874,35912,10286,52289,139841,137161,192130,63642
2000-04-01,13303,23277,25145,36415,10504,53706,141338,139928,195044,64414
2000-05-01,12240,22256,24512,36124,10455,50716,137890,135833,188606,63753
2000-06-01,12627,22608,25604,41154,11006,76249,143496,165607,219745,68292
2000-07-01,12733,22243,25085,35704,10337,51297,137968,137103,189265,63581
2000-08-01,12101,22542,24960,37713,10211,50097,138633,138771,188730,64759
2000-09-01,13000,22509,25709,37504,10470,58484,141463,145618,199947,66733
2000-10-01,12329,22433,23556,36320,10236,48894,137264,134557,186158,63580
2000-11-01,12173,22081,23150,36567,10749,53347,136045,139206,189392,62569
2000-12-01,12254,22772,23986,34449,10729,53336,135323,137810,188659,62554
2001-01-01,12095,21713,23462,33966,9930,45410,131646,129101,177056,60808
2001-02-01,11824,21320,23363,33420,10338,48941,131335,130032,180276,60697
2001-03-01,11794,21372,22227,30957,9878,56641,125568,131606,182209,58146
2001-04-01,11518,20805,21451,27554,9454,51050,120800,123025,171850,54841
2001-05-01,11831,22847,22483,28736,9546,51591,126158,126796,177749,56599
2001-06-01,12245,21156,22334,29088,9525,51212,125138,126051,176350,55428
2001-07-01,11544,20946,21166,27625,9199,48368,121761,120027,170129,53436
2001-08-01,11302,21005,22182,27598,8990,48423,122061,120481,170484,54169
2001-09-01,11255,19635,21984,26632,8495,45716,118407,115746,164123,50735
2001-10-01,10513,19638,19904,26377,8322,56405,115125,122937,171530,49736
2001-11-01,10980,19578,20582,27061,8591,46647,117164,114240,163811,51335
2001-12-01,11091,20477,20559,26986,8841,46917,118387,114782,165304,51290
2002-01-01,11089,19916,19237,23957,7913,49693,113631,112406,163324,47643
2002-02-01,11088,19926,19390,25330,8670,56674,115732,122233,172406,50422
2002-03-01,11416,20098,19389,24249,8385,53201,114652,118940,167853,47371
2002-04-01,11802,20494,20288,25393,8941,52970,118882,118664,171852,49964
2002-05-01,12152,20891,20921,25011,8802,51910,119944,119235,171854,50680
2002-06-01,11907,20378,19998,23810,8973,48877,117193,113950,166070,48847
2002-07-01,11561,20661,20935,23565,8088,57289,116993,120438,174282,49531
2002-08-01,11915,19979,20838,23643,8381,60083,117043,122932,177126,51112
2002-09-01,11828,21007,21476,21537,8516,50377,116461,115066,166838,48089
2002-10-01,12133,20837,21100,21460,8464,52510,116624,115754,169134,49106
2002-11-01,11273,20532,21052,23049,8469,53076,116947,117084,170023,49620
2002-12-01,11201,19732,20998,22776,8645,48195,115767,112831,163962,48744
2003-01-01,11809,19617,20885,22955,8100,54385,115609,116048,169994,48896
2003-02-01,11588,22329,20695,23152,8095,56015,118098,121274,174113,49128
2003-03-01,10745,20539,22278,22826,8599,55319,116926,119034,172245,51757
2003-04-01,11364,19592,20629,23420,7983,54324,115023,117051,169347,49199
2003-05-01,11113,20214,20967,24063,7949,55239,116303,118306,171542,50849
2003-06-01,11545,20561,21493,23387,8365,55788,117719,119931,173507,49941
2003-07-01,11617,20770,21034,23871,8051,55105,118215,117404,173320,49408
2003-08-01,11673,20307,21883,24607,8236,53113,119931,119296,173044,50447
2003-09-01,11323,20865,21904,25217,8420,57358,121332,121830,178690,51971
2003-10-01,13410,21506,20960,26376,8590,58509,125195,127269,183704,51088
2003-11-01,13068,21712,22707,24876,8516,56537,125148,125879,181685,52318
2003-12-01,12605,21426,22836,26323,8519,56710,124803,126251,181513,53325
2004-01-01,13389,22072,21702,24374,8416,55468,123228,124471,178696,50190
2004-02-01,14161,21462,22280,24571,8579,57852,123810,126174,181662,51210
2004-03-01,15493,22733,24203,25899,9038,59224,131645,132836,190869,54995
2004-04-01,14454,22757,22639,24683,9064,56412,127956,127885,184368,52065
2004-05-01,15374,21582,22984,25327,8808,54677,128782,128297,183459,52405
2004-06-01,15585,21993,23409,24662,8295,57082,128558,129908,185640,53213
2004-07-01,16498,21640,22842,23513,9045,58985,127850,134104,186835,53699
2004-08-01,16523,22852,22901,23646,9029,53281,130447,127182,183728,51950
2004-09-01,16170,21577,24828,25956,8984,55989,132455,132132,188444,56227
2004-10-01,15374,23551,24451,25080,8719,53009,132178,129177,185187,53948
2004-11-01,16541,23405,24024,24707,9397,58423,134122,135582,192545,55318
2004-12-01,17269,23348,25685,25105,8744,56597,136981,135216,193578,56631
2005-01-01,16813,23898,25472,25188,9556,57544,137331,137025,194875,57884
2005-02-01,17475,24212,25853,25326,9293,57337,139138,138279,196475,57580
2005-03-01,17074,23457,24669,25735,8848,49798,136810,130044,186608,56576
2005-04-01,16057,24485,25870,24351,9205,57583,137264,135587,194847,58138
2005-05-01,15993,24736,25263,24635,9327,69265,137358,148200,206623,57105
2005-06-01,15904,25443,26630,26798,9254,68779,141241,151407,210020,58903
2005-07-01,16039,24118,25352,23857,9300,58501,135974,136292,194475,57606
2005-08-01,17391,25141,26171,26049,10175,61766,143073,145606,204839,60352
2005-09-01,19168,25640,26137,24689,10030,60156,143841,142335,203997,58344
2005-10-01,19361,25995,26756,24296,10136,64178,145723,148450,209901,59751
2005-11-01,19928,25935,27824,25067,9844,72690,148043,160126,220733,60459
2005-12-01,18583,26292,28141,25292,10164,73647,147852,159419,221499,61271
2006-01-01,19209,26650,28600,25290,10440,58587,150953,146814,209540,62469
2006-02-01,18647,26958,27412,26526,10069,68920,150818,156798,219738,62592
2006-03-01,18956,26917,28408,28871,9915,73971,153217,163893,227188,65096
2006-04-01,19047,27070,27795,28248,10377,62673,151952,154052,214625,63272
2006-05-01,20559,27188,29140,26587,10757,62085,153734,153173,215819,64145
