date,Average Hourly Earnings (Total Private),Private Service-Providing,Federal,State Government,Local Government,Full-Time Employment,Part-Time Employment,Manufacturing,Total Nonfarm,Construction,Education and Health Services,Financial Activities,Goods-Producing,Government,Information,Leisure and Hospitality,Mining and Logging,Professional and Business Services,Total Private,Other Services,Trade Transportation and Utilities
2006-03-01,20.04,91568,2733,5059,14111,119175,24542,14210,136038,7689,18042,8352,22567,21903,3055,13034,668,17530,114135,5426,26129
2006-04-01,20.17,91664,2733,5064,14122,119336,24325,14223,136210,7726,18068,8374,22627,21919,3047,13074,678,17552,114291,5426,26123
2006-05-01,20.13,91729,2734,5072,14120,119033,24989,14200,136249,7713,18100,8376,22594,21926,3039,13052,681,17611,114323,5435,26116
2006-06-01,20.22,91821,2736,5069,14117,119615,24774,14210,136337,7699,18109,8366,22594,21922,3036,13061,685,17680,114415,5433,26136
2006-07-01,20.29,91969,2740,5075,14158,119680,24477,14185,136529,7712,18133,8366,22587,21973,3031,13130,690,17720,114556,5428,26161
2006-08-01,20.32,92115,2733,5084,14194,119948,24629,14154,136692,7720,18186,8372,22566,22011,3035,13152,692,17766,114681,5432,26172
2006-09-01,20.40,92211,2732,5099,14251,120308,24549,14120,136826,7718,18251,8386,22533,22082,3028,13150,695,17756,114744,5447,26193
2006-10-01,20.42,92326,2731,5097,14240,120609,24784,14068,136843,7682,18287,8381,22449,22068,3024,13187,699,17760,114775,5454,26233
2006-11-01,20.49,92577,2729,5100,14254,120573,24958,14034,137060,7666,18333,8391,22400,22083,3024,13251,700,17828,114977,5457,26293
2006-12-01,20.58,92763,2730,5098,14260,120793,25226,14009,137249,7685,18377,8391,22398,22088,3034,13292,704,17863,115161,5466,26340
2007-01-01,20.59,92943,2731,5087,14277,121159,24986,14004,137472,7725,18413,8388,22434,22095,3030,13338,705,17927,115377,5466,26381
2007-02-01,20.68,93100,2732,5114,14285,121020,25016,13993,137560,7626,18452,8393,22329,22131,3034,13361,710,17960,115429,5474,26426
