date,Continued Jobless Claims,Initial Jobless Claims
1967-01-07,1134000,208000
1967-01-14,1119000,207000
1967-01-21,1119000,217000
1967-01-28,1103000,204000
1967-02-04,1131000,216000
1967-02-11,1153000,229000
1967-02-18,1167000,229000
1967-02-25,1199000,242000
1967-03-04,1235000,310000
1967-03-11,1234000,241000
1967-03-18,1236000,245000
1967-03-25,1268000,247000
1967-04-01,1291000,259000
1967-04-08,1273000,257000
1967-04-15,1278000,299000
1967-04-22,1277000,245000
1967-04-29,1286000,255000
1967-05-06,1308000,254000
1967-05-13,1284000,231000
1967-05-20,1265000,230000
1967-05-27,1253000,228000
1967-06-03,1265000,248000
1967-06-10,1251000,238000
1967-06-17,1248000,224000
1967-06-24,1220000,218000
1967-07-01,1193000,209000
1967-07-08,1248000,240000
1967-07-15,1258000,241000
1967-07-22,1252000,240000
1967-07-29,1280000,209000
1967-08-05,1240000,221000
1967-08-12,1215000,202000
1967-08-19,1202000,215000
1967-08-26,1180000,213000
1967-09-02,1204000,218000
1967-09-09,1189000,231000
1967-09-16,1179000,220000
1967-09-23,1178000,209000
1967-09-30,1157000,204000
1967-10-07,1165000,231000
1967-10-14,1189000,206000
1967-10-21,1174000,223000
1967-10-28,1161000,207000
1967-11-04,1176000,222000
1967-11-11,1142000,214000
1967-11-18,1133000,198000
1967-11-25,1142000,191000
1967-12-02,1150000,196000
1967-12-09,1153000,221000
1967-12-16,1188000,204000
1967-12-23,1195000,219000
1967-12-30,1167000,216000
1968-01-06,1158000,222000
1968-01-13,1187000,222000
1968-01-20,1191000,221000
1968-01-27,1157000,198000
1968-02-03,1173000,244000
1968-02-10,1175000,210000
1968-02-17,1143000,196000
1968-02-24,1165000,193000
1968-03-02,1151000,190000
1968-03-09,1147000,204000
1968-03-16,1143000,190000
1968-03-23,1136000,200000
1968-03-30,1119000,192000
1968-04-06,1079000,191000
1968-04-13,1079000,171000
1968-04-20,1059000,183000
1968-04-27,1087000,251000
1968-05-04,1079000,209000
1968-05-11,1091000,194000
1968-05-18,1071000,199000
1968-05-25,1073000,194000
1968-06-01,1063000,199000
1968-06-08,1097000,192000
1968-06-15,1071000,194000
1968-06-22,1060000,189000
1968-06-29,1038000,194000
1968-07-06,1097000,214000
1968-07-13,1076000,186000
1968-07-20,1033000,180000
1968-07-27,1036000,205000
1968-08-03,1072000,206000
1968-08-10,1088000,218000
1968-08-17,1107000,192000
1968-08-24,1094000,193000
1968-08-31,1064000,188000
1968-09-07,1067000,189000
1968-09-14,1044000,195000
1968-09-21,1047000,191000
1968-09-28,1048000,189000
1968-10-05,1060000,185000
1968-10-12,1045000,186000
1968-10-19,1035000,191000
1968-10-26,1033000,182000
1968-11-02,1028000,181000
1968-11-09,1028000,183000
1968-11-16,1076000,192000
1968-11-23,1023000,199000
1968-11-30,1056000,162000
1968-12-07,1063000,188000
1968-12-14,1061000,195000
1968-12-21,1063000,192000
1968-12-28,1116000,223000
1969-01-04,1118000,190000
1969-01-11,1099000,191000
1969-01-18,1072000,192000
1969-01-25,1077000,193000
1969-02-01,1099000,203000
1969-02-08,1088000,197000
1969-02-15,1115000,192000
1969-02-22,1092000,192000
1969-03-01,1098000,201000
1969-03-08,1099000,191000
1969-03-15,1080000,189000
1969-03-22,1071000,181000
1969-03-29,1041000,183000
1969-04-05,1076000,182000
1969-04-12,1050000,190000
1969-04-19,1025000,187000
1969-04-26,992000,177000
1969-05-03,1003000,177000
1969-05-10,1018000,183000
1969-05-17,1007000,179000
1969-05-24,1006000,180000
1969-05-31,988000,187000
1969-06-07,992000,192000
1969-06-14,1010000,182000
1969-06-21,1012000,191000
1969-06-28,1021000,203000
1969-07-05,1072000,227000
1969-07-12,1092000,210000
1969-07-19,1072000,206000
1969-07-26,1110000,192000
1969-08-02,1126000,196000
1969-08-09,1093000,203000
1969-08-16,1067000,199000
1969-08-23,1060000,199000
1969-08-30,1074000,195000
1969-09-06,1111000,182000
1969-09-13,1082000,209000
1969-09-20,1083000,195000
1969-09-27,1086000,193000
1969-10-04,1103000,193000
1969-10-11,1100000,200000
1969-10-18,1118000,199000
1969-10-25,1136000,205000
1969-11-01,1143000,198000
1969-11-08,1146000,211000
1969-11-15,1181000,197000
1969-11-22,1158000,217000
1969-11-29,1211000,202000
1969-12-06,1226000,202000
1969-12-13,1233000,222000
1969-12-20,1252000,232000
1969-12-27,1304000,223000
1970-01-03,1332000,230000
1970-01-10,1353000,242000
1970-01-17,1371000,268000
1970-01-24,1388000,256000
1970-01-31,1385000,239000
1970-02-07,1397000,256000
1970-02-14,1445000,265000
