date,Consumer Sentiment (University of Michigan),Leading Economic Index (Conference Board)
1978-01-01,83.7,55.20
1978-02-01,84.3,55.50
1978-03-01,78.8,56.00
1978-04-01,81.6,56.60
1978-05-01,82.9,56.90
1978-06-01,80.0,57.10
1978-07-01,82.4,57.00
1978-08-01,78.4,57.40
1978-09-01,80.4,57.60
1978-10-01,79.3,57.60
1978-11-01,75.0,57.30
1978-12-01,66.1,57.30
1979-01-01,72.1,57.00
1979-02-01,73.9,56.90
1979-03-01,68.4,57.40
1979-04-01,66.0,56.40
1979-05-01,68.1,56.70
1979-06-01,65.8,56.40
1979-07-01,60.4,55.90
1979-08-01,64.5,55.70
1979-09-01,66.7,55.40
1979-10-01,62.1,54.90
1979-11-01,63.3,54.20
1979-12-01,61.0,53.80
1980-01-01,67.0,53.70
1980-02-01,66.9,53.50
1980-03-01,56.5,52.20
1980-04-01,52.7,50.60
1980-05-01,51.7,49.90
1980-06-01,58.7,50.20
1980-07-01,62.3,50.60
1980-08-01,67.3,50.90
1980-09-01,73.7,51.40
1980-10-01,75.0,51.70
1980-11-01,76.7,51.80
1980-12-01,64.5,51.50
1981-01-01,71.4,50.90
1981-02-01,66.9,50.50
1981-03-01,66.5,50.70
1981-04-01,72.4,51.00
1981-05-01,76.3,50.60
1981-06-01,73.1,50.20
1981-07-01,74.1,49.80
1981-08-01,77.2,49.60
1981-09-01,73.1,48.90
1981-10-01,70.3,48.60
1981-11-01,62.5,48.40
1981-12-01,64.3,48.30
1982-01-01,71.0,47.80
1982-02-01,66.5,48.00
1982-03-01,62.0,47.80
1982-04-01,65.5,47.80
1982-05-01,67.5,47.50
1982-06-01,65.7,47.20
1982-07-01,65.4,47.20
1982-08-01,65.4,46.90
1982-09-01,69.3,47.30
1982-10-01,73.4,47.40
1982-11-01,72.1,47.60
1982-12-01,71.9,48.00
1983-01-01,70.4,48.90
1983-02-01,74.6,49.40
1983-03-01,80.8,50.10
1983-04-01,89.1,50.50
1983-05-01,93.3,51.20
1983-06-01,92.2,51.90
1983-07-01,92.8,52.40
1983-08-01,90.9,52.60
1983-09-01,89.9,53.20
1983-10-01,89.3,53.90
1983-11-01,91.1,54.30
1983-12-01,94.2,54.90
1984-01-01,100.1,55.50
1984-02-01,97.4,56.00
1984-03-01,101.0,56.10
1984-04-01,96.1,56.40
1984-05-01,98.1,56.80
1984-06-01,95.5,57.00
1984-07-01,96.6,57.20
1984-08-01,99.1,57.20
1984-09-01,100.9,57.20
1984-10-01,96.3,57.40
1984-11-01,95.7,57.70
1984-12-01,92.9,58.10
1985-01-01,96.0,58.40
1985-02-01,93.7,58.70
1985-03-01,93.7,58.90
1985-04-01,94.6,59.00
1985-05-01,91.8,59.20
1985-06-01,96.5,59.60
1985-07-01,94.0,59.80
1985-08-01,92.4,60.00
1985-09-01,92.1,60.20
1985-10-01,88.4,60.30
1985-11-01,90.9,60.50
1985-12-01,93.9,60.80
1986-01-01,95.6,61.00
1986-02-01,95.9,61.20
1986-03-01,95.1,61.30
1986-04-01,96.2,61.60
1986-05-01,94.8,61.80
1986-06-01,99.3,62.30
1986-07-01,97.7,62.30
1986-08-01,94.9,62.40
1986-09-01,91.9,62.60
1986-10-01,95.6,62.70
1986-11-01,91.4,62.90
1986-12-01,89.1,63.30
1987-01-01,90.4,63.30
1987-02-01,90.2,63.80
1987-03-01,90.8,63.90
