date,Headline CPI,Core CPI,Core PPI,Headline PPI
2000-01-01,169.300,179.300,146.800,135.200
2000-02-01,170.000,179.400,147.300,136.600
2000-03-01,171.000,180.000,147.400,137.300
2000-04-01,170.900,180.300,147.400,136.900
2000-05-01,171.200,180.700,147.800,137.000
2000-06-01,172.200,181.100,147.800,138.100
2000-07-01,172.700,181.500,148.100,138.200
2000-08-01,172.700,181.900,148.200,137.900
2000-09-01,173.600,182.300,148.600,139.000
2000-10-01,173.900,182.600,148.500,139.500
2000-11-01,174.200,183.100,148.700,140.200
2000-12-01,174.600,183.300,148.900,140.500
2001-01-01,175.600,183.900,149.500,141.700
2001-02-01,176.000,184.400,149.200,141.900
2001-03-01,176.100,184.700,149.500,141.200
2001-04-01,176.400,185.100,149.800,142.000
2001-05-01,177.300,185.300,150.100,142.300
2001-06-01,177.700,186.000,150.200,141.800
2001-07-01,177.400,186.400,150.500,140.100
2001-08-01,177.400,186.700,150.500,140.700
2001-09-01,178.100,187.100,150.700,141.300
2001-10-01,177.600,187.400,149.800,139.000
2001-11-01,177.500,188.100,150.200,138.500
2001-12-01,177.400,188.400,150.400,138.000
2002-01-01,177.700,188.700,150.000,137.700
2002-02-01,178.000,189.100,150.100,138.000
2002-03-01,178.500,189.200,150.000,138.800
2002-04-01,179.300,189.700,150.300,138.700
2002-05-01,179.500,190.000,150.200,138.400
2002-06-01,179.600,190.200,150.500,138.800
2002-07-01,180.000,190.500,150.000,138.600
2002-08-01,180.500,191.100,149.900,138.700
2002-09-01,180.800,191.300,150.300,139.200
2002-10-01,181.200,191.500,150.500,140.000
2002-11-01,181.500,191.900,150.300,140.000
2002-12-01,181.800,192.100,149.500,139.700
2003-01-01,182.600,192.400,149.800,141.100
2003-02-01,183.600,192.500,149.900,142.700
2003-03-01,183.900,192.500,150.700,144.000
2003-04-01,183.200,192.500,149.900,142.200
2003-05-01,182.900,192.900,150.100,141.900
2003-06-01,183.100,193.000,150.100,142.700
2003-07-01,183.700,193.400,150.300,142.800
2003-08-01,184.500,193.600,150.500,143.700
2003-09-01,185.100,193.700,150.400,144.000
2003-10-01,184.900,194.000,151.100,144.800
2003-11-01,185.000,194.000,151.000,144.600
2003-12-01,185.500,194.200,151.000,145.100
2004-01-01,186.300,194.600,151.400,145.900
2004-02-01,186.700,194.900,151.300,145.800
2004-03-01,187.100,195.500,151.800,146.200
2004-04-01,187.400,195.900,151.900,147.200
2004-05-01,188.200,196.200,152.300,148.400
2004-06-01,188.900,196.600,152.800,148.400
2004-07-01,189.100,196.800,152.500,148.200
2004-08-01,189.200,196.900,152.900,148.600
2004-09-01,189.800,197.500,153.200,148.800
2004-10-01,190.800,197.900,153.700,151.200
2004-11-01,191.700,198.300,154.100,152.100
2004-12-01,191.700,198.600,154.500,151.400
2005-01-01,191.600,199.000,155.400,151.900
2005-02-01,192.400,199.400,155.300,152.700
2005-03-01,193.100,200.100,155.600,153.700
2005-04-01,193.700,200.200,156.000,154.200
2005-05-01,193.600,200.500,156.400,153.900
2005-06-01,193.700,200.600,156.200,153.900
2005-07-01,194.900,200.900,156.800,155.000
2005-08-01,196.100,201.100,156.900,156.300
2005-09-01,198.800,201.300,157.100,158.800
2005-10-01,199.100,202.000,156.800,160.500
2005-11-01,198.100,202.500,156.800,158.700
2005-12-01,198.100,202.800,156.800,159.600
2006-01-01,199.300,203.200,157.500,160.500
2006-02-01,199.400,203.600,158.000,158.700
2006-03-01,199.700,204.300,158.400,159.300
2006-04-01,200.700,204.800,158.500,160.600
2006-05-01,201.300,205.400,158.900,160.600
