date,M1 Money Supply,M2 Money Supply
2000-01-01,1122.1,4667.6
2000-02-01,1108.6,4680.9
2000-03-01,1107.5,4711.7
2000-04-01,1115.6,4767.8
2000-05-01,1104.9,4755.7
2000-06-01,1102.6,4773.6
2000-07-01,1103.5,4791.3
2000-08-01,1100.2,4819.5
2000-09-01,1099.7,4855.2
2000-10-01,1098.7,4871.3
2000-11-01,1092.4,4882.7
2000-12-01,1088.6,4927.6
2001-01-01,1096.7,4978.3
2001-02-01,1101.2,5017
2001-03-01,1108.9,5074.8
2001-04-01,1116.7,5139.1
2001-05-01,1118.5,5137.2
2001-06-01,1126.2,5180.1
2001-07-01,1138.9,5210
2001-08-01,1150.2,5243.8
2001-09-01,1205.7,5355.1
2001-10-01,1165.7,5343.8
2001-11-01,1171,5387.5
2001-12-01,1183.2,5440.5
2002-01-01,1190.7,5460.9
2002-02-01,1190.6,5490.2
2002-03-01,1193.3,5502
2002-04-01,1186.9,5502.1
2002-05-01,1189.3,5528.3
2002-06-01,1193.3,5553.3
2002-07-01,1199.1,5596
2002-08-01,1187.1,5638.3
2002-09-01,1196.1,5662.3
2002-10-01,1204,5707.1
2002-11-01,1209.6,5758.1
2002-12-01,1220.2,5779.4
2003-01-01,1227.3,5812.1
2003-02-01,1238.2,5848.2
2003-03-01,1239.3,5868.4
2003-04-01,1250,5905.5
2003-05-01,1268.8,5965.3
2003-06-01,1281,6002.2
2003-07-01,1287.5,6049.1
2003-08-01,1296.4,6107.1
2003-09-01,1297.2,6079.7
2003-10-01,1297.8,6070
2003-11-01,1299.1,6075.5
2003-12-01,1306.2,6073.8
2004-01-01,1306,6082.1
2004-02-01,1321.4,6121.8
2004-03-01,1328.7,6157.9
2004-04-01,1332.8,6198.9
2004-05-01,1333.3,6275.7
2004-06-01,1342.7,6277.9
2004-07-01,1340.8,6291.1
2004-08-01,1354.3,6317.8
2004-09-01,1362.5,6352.2
2004-10-01,1362.3,6379.8
2004-11-01,1374.2,6406.3
2004-12-01,1376,6424.5
2005-01-01,1367.1,6430.8
2005-02-01,1371.1,6438.9
2005-03-01,1370.9,6448.3
