date,M1 Money Velocity,M2 Money Velocity
2000-01-01,8.989,2.134
2000-04-01,9.251,2.150
2000-07-01,9.370,2.140
2000-10-01,9.546,2.132
2001-01-01,9.499,2.084
2001-04-01,9.459,2.057
2001-07-01,9.098,2.011
2001-10-01,9.086,1.978
2002-01-01,9.050,1.966
2002-04-01,9.150,1.970
2002-07-01,9.199,1.950
2002-10-01,9.132,1.924
2003-01-01,9.048,1.912
2003-04-01,8.932,1.899
2003-07-01,8.941,1.903
2003-10-01,9.048,1.938
2004-01-01,9.042,1.948
2004-04-01,9.065,1.938
2004-07-01,9.098,1.947
2004-10-01,9.138,1.956
2005-01-01,9.321,1.983
2005-04-01,9.445,1.993
2005-07-01,9.557,1.998
2005-10-01,9.686,1.999
2006-01-01,9.852,2.014
2006-04-01,9.957,2.015
2006-07-01,10.126,2.003
2006-10-01,10.254,1.994
2007-01-01,10.399,1.991
2007-04-01,10.469,1.983
2007-07-01,10.595,1.975
2007-10-01,10.703,1.974
2008-01-01,10.639,1.936
2008-04-01,10.645,1.924
2008-07-01,10.418,1.904
2008-10-01,9.548,1.810
2009-01-01,9.155,1.732
2009-04-01,8.827,1.705
2009-07-01,8.691,1.707
2009-10-01,8.698,1.723
2010-01-01,8.708,1.735
2010-04-01,8.742,1.742
2010-07-01,8.671,1.744
2010-10-01,8.433,1.741
2011-01-01,8.186,1.723
2011-04-01,8.022,1.708
2011-07-01,7.511,1.651
2011-10-01,7.316,1.644
2012-01-01,7.239,1.638
2012-04-01,7.156,1.627
2012-07-01,6.911,1.608
2012-10-01,6.700,1.582
2013-01-01,6.699,1.580
2013-04-01,6.617,1.570
2013-07-01,6.591,1.570
2013-10-01,6.460,1.561
2014-01-01,6.264,1.537
2014-04-01,6.240,1.545
2014-07-01,6.259,1.550
2014-10-01,6.124,1.538
2015-01-01,5.998,1.520
2015-04-01,6.059,1.525
2015-07-01,6.037,1.519
2015-10-01,5.974,1.498
2016-01-01,5.859,1.471
2016-04-01,5.747,1.462
2016-07-01,5.713,1.455
2016-10-01,5.686,1.447
2017-01-01,5.585,1.440
2017-04-01,5.506,1.434
2017-07-01,5.495,1.438
2017-10-01,5.518,1.448
2018-01-01,5.517,1.457
2018-04-01,5.574,1.461
2018-07-01,5.610,1.463
2018-10-01,5.587,1.462
2019-01-01,5.577,1.455
2019-04-01,5.579,1.456
2019-07-01,5.579,1.451
2019-10-01,5.515,1.436
2020-01-01,5.273,1.390
2020-04-01,1.585,1.126
2020-07-01,1.279,1.176
2020-10-01,1.255,1.165
2021-01-01,1.234,1.155
2021-04-01,1.220,1.150
2021-07-01,1.218,1.152
2021-10-01,1.225,1.163
2022-01-01,1.222,1.163
2022-04-01,1.250,1.191
2022-07-01,1.289,1.219
2022-10-01,1.342,1.252
2023-01-01,1.407,1.286
2023-04-01,1.483,1.324
2023-07-01,1.537,1.352
2023-10-01,1.578,1.370
2024-01-01,1.593,1.373
2024-04-01,1.617,1.387
2024-07-01,1.630,1.393
2024-10-01,1.628,1.392
2025-01-01,1.623,1.390
2025-04-01,1.632,1.395
2025-07-01,1.650,1.408
2025-10-01,1.651,1.410
2026-01-01,1.645,1.409
